"","sentence_text_new"
"62","Despite some points of promise and potential, Britain's balance sheet shows how much still needs to be done."
"63","The following pages reveal the extent to which, in the economy, in the environment, in education, and in local services, successive British governments have failed to realise the opportunities of the past decades."
"64","Although there are bright sports, the general picture is one of relative decline in relation to other advanced democracies."
"65","Forty years of failure are the result not only of misjudged policies from both Conservative and Labour Governments."
"66","Even more crucially, they are the product of an outdated political system which has consistently sacrificed the long term to the short term and abandoned principles for expediency."
"69","The Economic Balance Sheet. Positives. In some ways, British industry is thriving."
"70","In 1991, UK exports climbed to a record level of GBP 103,804 million."
"71","Industrial relations have improved markedly since the 1970s."
"72","Trade unions have become more responsible and democratic."
"73","Days lost through strikes fell from more than 29 million in 1979 to under a million in the year to October 1991."
"74","The excessively high income-tax rates inherited from the last Labour Government have been brought down - from a top rate of 83% in 1979 to 40% in 1992."
"76","Negatives. Unemployment has been the most obvious cost of the current recession."
"77","The latest figures show 2,604,100 out of work."
"78","The number unemployed for more than six months has doubled in the past year."
"79","The recession is biting deeply into industry."
"80","Business bankruptcies have jumped from 28,935 in 1990 to 47,777 in 1991."
"81","High interest rates are throttling the chances of economic recovery."
"82","British three-month rates stood at 10.7% in February, compared to 9.5% in Germany, 5.3% in Japan and 4.3% in the US."
"83","Britain is failing to invest for the long term."
"84","Investment in manufacturing industry fell from GBP 3.1 billion in the first quarter of 1990 to GBP 2.5 billion in the last quarter of 1991."
"85","This failure to invest for the long term can be een also in innovation, the development of new ideas and products."
"86","In 1984-1988 only 3.4% of patents granted in the US to other national went to Britons (3.7% in 1979-83)."
"87","By comparison, France had grown from 3.3% to 3.4%, and Japan managed 18.8% (against 12.9% in the earlier period)."
"88","Britain's record of economic growth is very poor."
"89","The UK economy contracted by 2.2% in 1991 - the biggest annual fall since the 1930s - while Italy's grew by 1.3% and German's by 1.9%. "
"90","Conservative management of the economy has stoked the biggest credit boom in Britain's history."
"91","Average personal debt as a proportion of disposable household income mushroomed from 57% in 1980 to 114% in 1990."
"92","Conservative taxation policies may have reduced high marginal income-tax rates, but it was the rich who benefited, not the country as a whole."
"93","From the beginning to the end of the 1980s, take-home pay rose by 41.4% for those on 1.5 times the national average, by 37% for those on the national average, and by only 32% for those on half the average."
"96","The Environmental Balance Sheet. Positives. Britain has a massive advantage in natural resources that gives it the potential to be at the forefront of renewable energy generation."
"97","Government estimates show that up to 45% of electricity demand could be met from wind power."
"98","Government action can significantly affect standards of environmental protection."
"99","The market share of unleaded petrol rose from 1.1% to 43.0% between August 1998 and November 1991, due to widening tax differentials."
"100","Britain has a positive record on protecting its countryside."
"101","More of our land is protected in National Parks than any other EC member, and one more has recently been announced, in the New Forest."
"103","Negatives. In too many ways Britain unfortunately deserves its nickname of The Dirty Man of Europe."
"104","Carbon dioxide emissions - the main source of global warming - increased in the UK from 525 million tonnes in 1986 to 530 million in 1989."
"105","The UK produces more sulphur dioxide, the main cause of acid rain, than any other EC member, but is only now beginning to install pollution-control devices to power stations."
"106","Germany started in 1984."
"107","Prosecutions for water pollution more than doubled between 1981 and 1988, while an additional 40 beaches were found not to be complying with EC standards in 1990 - making a total of 20% of all British beaches."
"108","The Government has failed to invest in the development of renewable energy sources - despite the fact that they avoid the pollution problems associated with coal, oil and gas."
"109","Currently, just over GBP 20 million is spent annually on renewable energy research and development, compared to more than GBP 200 million a year on nuclear power."
"110","Even worse, the Government has cut the budget of the Energy Efficiency Office, while investment in energy conservation would save money and reduce pollution."
"111","The 1990-91 level of funding, a meagre GBP 23 million, is lower than it was four years before."
"112","Pollution from road transport has risen from 884 million tonnes of nitrogen oxides in 1980 to 1,298 million tonnes in 1989."
"113","At the same time, the proportion of freight carried on the railways between 1980 and 1990 dropped from 9% to 7%, while the proportion using road transport rose to 83%."
"114","Rail transport is placed at a disadvantage in Britain."
"115","Levele of government support for the railways fell throughout the 1980s, from GBP 1262 million in 1980-1981 to GBP 462 million in 1990-91."
"118","The Educational Balance Sheet. Positives. In some ways educational standards are improving."
"119","The number of teachers in nursery and primary education grew from 176,228 in 1986 to 193,516 in 1991."
"120","Similarly, pupil-teacher ratios fell from 18.2 in 1980-81 to 16.9 in 1990-91."
"121","Some of the Government's changes have been for the better."
"122","The idea of Local Management of Schools has, in some places, produced school management of imagination and quality."
"124","Negatives. Overall, government funding of education is inadequate."
"125","The proportion of Britain's gross domestic product devoted to education fell from 5.6% in 1981-82 to 5.0% in 1990-91."
"126","The number of secondary school teachers fell from 224,618 in 1986 to 198,030 in 1991."
"127","There has been a serious decline in the number of people qualifying as teachers, down from 25,000 in 1980 to 18,500 in 1988."
"128","The Government is planning further cuts in teacher-training facilities."
"129","British children lose out in critical areas of education."
"130","The proportion of children in pre-compulsory education in 1987-1988 was a mere 3.6%, compared to 13.5% in Germany, 17.0% in Belgium and 18.4% in France."
"131","Compared to our competitors, not enough of our young people stay on to post-compulsory education."
"132","The proportion of 16-18 year olds in full-time education or training was 35% in Britain in 1988, compared to 47% in Germany, 66% in France and 79% in the USA."
"133","Investment in scientific research and development has fallen from 0.35% to 0.28% of GDP (while in Germany it stands at 0.40%), not only affecting our higher education system but creating a knock-on effect throughout the British economy."
"136","The Social Balance Sheet. Positives. Overall, British standards of health are improving."
"137","Life expectancy for men rose from 70.8 years in 1981 to 73.2 years in 1991, and for women from 76.8 to 78.8 years."
"138","Home ownership in Britain rose from 55.8% of households in 1981 to 67.3% in 1991."
"139","The size of the police establishment has increased by 15% since 1978-79."
"140","Expenditure on the policy rose by 55% in real terms over the same period, and policy pay showed a 29% real rise."
"141","While the NHS hospital sector's purchasing power grew by 15.6% between 1980-81 and 1990-91, expenditure requirements (due to demographic change and the rising cost of medical technology) in fact increased by 21.3%."
"142","The total number of people waiting for NHS treatment in the UK rose to more than one million in March 1990, 25% of inpatients wait for longer than a year for treatment."
"143","The number of sign tests has fallen by 21% since the introduction of charges in 1988."
"144","The Government has withdrawn funding for new house building, and refused to allow councils to spend the receipts they have gained from new home owners."
"145","As a result, the amount of local authority housing built has fallen from more than 65,300 homes in 1979 to a mere 8,600 in 1990."
"146","The number of people accepted by local authorities as homeless rose from 70,000 in 1979 to almost 170,000 in 1990 - and this does not include the single homeless."
"147","With the massive expansion of mortgage lending and the subsequent use of interest rates to bring down inflation, the number of mortgages over 12 months in arrears rose from 59,690 in June 1991 to 91,740 by the end of the year."
"148","The number of properties repossessed rose by 74% over the 1990 figure to 75,540 in 1991."
"149","Outcomes have failed disastrously to match the input of additional resources to law and order."
"150","Recorded rate of notified crime have increased year on year by 5.5% on average, and by a massive 16% in 1990-91."
"151","At the same time, crime clear-up rates have declined by 32%."
"152","Britain has proportionately the largest prison population of any Community country - and we also have more prisoners serving life sentences than the rest of the EC combined."
"154","Policies for the new century. It is clear from our analysis of Britain's balance sheet that Britain needs change."
"155","Here are our first steps, the key measures which we believe must be taken straight away if we are to break the cycle of Britain's decline, unlock the full scope of Britain's potential and pave the way to future success."
"157","The first steps. Britain's political institutions need thorough-going reform: stable and representative government, elected Parliaments in Scotland and Wales, decentralisation of power to the English regions and to local government, freedom of information and a Bill of Rights."
"158","As the essential measure to secure and entrench lasting reform we will introduce fair votes by proportional representation for Parliamentary elections."
"159","In the middle of the recession, the economy needs new impetus not a tax cut."
"160","We will immediately introduce an emergency programme of investment in the infrastructure and in public works in order to get companies and people back to work, thus reducing unemployment by 600,000 over the next two years."
"161","Lower inflation and a stable climate for industry to plan and prosper will lead to long-term prosperity."
"162","We will give the Bank of England independent responsibility for monetary policy, with a requirement to promote price stability."
"163","We will put the pound into the narrow band of the Exchange Rate Mechanism."
"164","Environmental priorities must be built into all economic decision-making, ensuring that economic success goes hand in hand with environmental responsibility."
"165","We will introduce new environmental incentives."
"166","The skllls and capabilities of the British people must be adequate to meet the challenges of the new century."
"167","We will increase investment in education by GBP 2 billion, funding this by an increase of 1p on income tax."
"168","Older people deserve greater security."
"169","We will protect private pensions, and increase the basic state pension, making it payable as of right without means testing."
"170","Britain's future must be safeguarded by active membership of the European Community which is united and democratic and in which decisions are taken as close to the people as possible."
"171","We will take decisive steps towards the economic, monetary and political union of a democratic Europe."
"172","Only when these key steps have been taken will government and individual alike be able to plan for the long term, instead of focusing on the short term and the next election."
"173","The balance of this manifesto sets out the Liberal Democrat vision of the future: our long-term programme for government."
"174","The detailed costing and revenue-raising effects of our proposals are contained in a separate supplement."
"176","1.Britain's Prosperity: Public Investment  Private Enterprise."
"177","Liberal Democrats aim to encourage a competitive and enterprising economy which is environmentally sustainable, founded on partnership and advanced skills and closely integrated with Europe."
"178","What the economy needs is a new impetus."
"179","The Government's proposed tax cut will not achive this."
"180","Only new investment will provide the kick-start needed to escape from recession and reduce the waste of talent and energy which results from unemployment."
"181","But Liberal Democrats also recognise Britain's long-term needs."
"182","We are committed to a free market, to free trade and to the creation of a competitive and enterprising economy."
"183","We do not believe it is government's job to run business - people do that much better."
"184","We see government's role as enabling firms and entrepreneurs to have the best possible chance."
"185","That means encouraging competition, investing in skills, involving employees in the success of their companies, nurturing small businesses, playing a positive part in the construction of the new European economy and, above all, bringing greater stability to national economic management."
"186","Our long-term aim is to shift the burden of taxation away from the things the country needs more of - income, savings and value added - and on to the things we want less of, such as pollution and resource depletion."
"188","Turning Britain Round. The current recession is undermining Britain's competitiveness and future success."
"189","Unemployment and business closures lead to a wastage of talent and a loss of resources."
"190","At the same time, essential investment in our country's future, in infrastructure, in education and training and in innovation, is being neglected."
"191","Liberal Democrats will introduct an emergency programme of investment to end the slump."
"192","We will immediately put in hand a major programme of public capital investment, funded by reversing the Tory tax cut together with a prudent increase in borrowing."
"193","This, combined with a freeze in business rates and new investment in education to increase the nation's skills, will kick-start recovery and create jobs."
"194","We will: Attack unemployment by creating new employment opportunities."
"195","Our emergency programme should reduce unemployement by at least 600,000 over two years."
"196","We will increase spending on public transport, housing, hospitals and schools, on energy efficiency and conservation projects and on education and training - all sensible investments for the country's future."
"197","We will aim to guarantee everyone out of work for six months or more a place on either a high quality training programme or on a work programme with a strong element of training."
"198","Invest in infrastructure."
"199","We will provide support for transport infrastructure, including a dedicated high-speed rail link from the Channel Tunnel to connect with the major routes to the North and West of Britain, and the extension of electrification throughout the country."
"200","We will encourage the expansion of airports outside the South East."
"201","Freeze business rates this year, thus effectively reducing them in real terms, a larger reduction than that promised by the Government."
"202","Create a training incentive for firms through the introduction of a levy equal to 2% of payroll, from which they would deduct their expenditure on training."
"203","We will require employers to release their employees aged under 19 for a minimum of two days a week futher education and/or training for nationally recognised qualifications."
"204","We will establish a fully integrated system of skills training, leading to recognised qualifications for a broad range of skills."
"205","We will increase 'access' courses for mature students and retraining for women returners and those in mid-career."
"206","We will fund crash courses in the main areas of skill shortage, aimed in particular at the long-term unemployed."
"207","Invest in local economies."
"208","We will set up and fund new regional development and local enterprise agencies."
"209","We will encourage TECs to become strong, locally based, employer-led organisations providing business services, acting as an effective voice for business at local leve, and overseeing training of those in employment."
"210","We will encourage decentralisation of banks and other financial institutions."
"211","We will end the present Government's policy of clawing back from local authorities, amounts equivalent to those they receive from the European Community's regional development fund."
"212","Invest in research, innovation and design."
"213","We will increase immediately the government science budget to 0.35% of GDP and raise it steadily thereafter."
"214","We will establish regional technology transfer centres to bring together the resources of industry, colleges, and government labs."
"215","We will encourage industry to invest in innovation and to improve the provision of seedcorn capital."
"216","We will reverse cuts in design consultancy schemes and provide additional funding for the Design Council."
"218","Making Britain Competitive. A climate of enterprise and competition is vital if British industry and products are to compete effectively in overseas markets."
"219","Yet the current Government has concentrated instead on converting public into private monopolies."
"220","We will: Stimulate competition."
"221","We will take tough action against monopolies, mergers and financial raids."
"222","The Monopolies and Mergers Commission will be combined with the Office of Fair Trading and made independent of government, increasing its effectiveness."
"223","We will introduce a Restrictive Practices Act to penalise anti-competitive behaviour and end price-fixing by cartels."
"224","We will encourage greater competition in the banking sector."
"225","Break up monopolies."
"226","We will break up the monopoly providers of services such as British Telecom and British Gas."
"227","We will permit access by private operators to the British Rail track network."
"228","We will liberalise the coal industry by transferring ownership of coal reserves to the Crown (in line with other minerals), and issuing licences to operate pits to other groups, as well as British Coal."
"229","Promote consumer rights."
"230","We will take the lead within the EC to ensure that all products come with accurate, full and simple product and service information."
"231","We will give consumer watchdogs, including the regulators and trading standards departments, greater powers, and improve redress for inadequate goods and services."
"232","Encourage decentralised wage bargaining."
"233","Our plans to spread employee ownership and participation will encourage wages to be st according to the profitability of individual firms rather than to some national 'going rate'."
"234","In addition, we will encourage moves towards greater decentralisation of wage bargaining at company level and, in the longer term as national and regional government develops, in the public sector."
"236","Promoting Enterprise. Government needs to provide an immediate impetus to get the economy moving."
"237","But long-term private investment in the production of high-quality tradable goods and services is essential for long-term success."
"238","This will only be possible if we encourage a climate of investment, enterprise and partnership."
"239","We will: Reform taxation to increase investment."
"240","We will increase investment substantially in schemes such as SMART to encourage innovation in industry, particularly in small and medium-sized enterprises, especially those involved in manufacturing."
"241","We will reform corporation tax and the taxation of savings to achieve even treatment for different forms of savings."
"242","This will reduce the current tax penalties on investment in industry."
"243","Encourage a long-term approach to private investment."
"244","We will reverse the burden of proof for acquisitions away from the target company towards the predator, and require companies to ballot their shareholders on bid plans."
"245","We will reform company law to require greater disclosure of information such as expenditure on research and development."
"246","We will define the responsibilities of non-executive directors and insist that all publicly quoted companies have them on their boards."
"247","Encourage small business and the self-employed, and ensure a 'level playing field' for them in competing with their larger counterparts."
"248","This will include relieving the administrative burden on small business, legislating to make interest payable on overdue debt, and encouraging TECs, chambers of commerce and local enterprise agencies to reorganise to form a network of business-led 'one-stop shops'."
"249","We will encourage, and if necessary legislate for, banks to treat small businesses fairly by agreeing contracts for services."
"250","Encourage flexibility in working patterns, including part-time and flexi-time work, job-sharing and homeworking, adequate backup for carers of the young or old, and access to appropriate training."
"251","We will encourage a new system of tax-free child-care vouchers for parents of children under five, given by employers and usable in workplace, local authority and private nurseries and for individual qualified carers."
"252","Share success in industry."
"253","We will legislate to establish the right of every private sector employee in a substantial company to have access to a share in ownership and/or in the profits they help to create."
"254","We will encourage profit-related pay, employee share-ownership schemes and employee buy-outs."
"255","We will relaunch the Cooperative Development Agency."
"256","Build partnership in industry."
"257","We will ensure that every employee has a right to participate in decision-making in their enterprise."
"258","We will set up a new Industrial Partnership Agency to help companies and their employees find the precide forms of partnership which best suit them."
"260","Serving Customers. Many financial institutions, and particularly some of the high-street banks, have a poor record of customer service, for individuals and businesses."
"261","It is far too common to see charges applied to accounts, or interest rates changed, without customers being fully informed, and to see new types of accounts opened without existing customers being told that they could benefit from them."
"262","Banks which are responsive to their customers will be good for the economy."
"263","We will ensure that commercial borrowers are entitled to a full contract specifying the terms, conditions and duration of the services provided."
"264","We will introduce rights for customers of all financial instutions, ensuring they are fully informed when changes are made which do or might affect them."
"266","Child Care Vouchers. Britain seriously lags behind its continental neighbours in provision for child care for working parents."
"267","This not only unfairly impedes opportunity for the people concerned."
"268","It holds back the contribution to the economy of many highly skilled workers."
"269","We will encourage the introduction of a system of child care vounchers, provided by employers to parents with children under school age."
"270","They will be usable to pay for child care in a range of places - workplace, local authority or private nurseries, play groups or by individual qualified carers."
"271","The parent will chose, topping up the value if they wish."
"272","Child care vounchers will be deductible expenses for the employers and tax free for the parents."
"273","Self-employed people will be able to purchase vouchers and receive similar tax advantages."
"274","In due course the principle could be extended to cover child care for older children."
"276","Creating Long-Term Prosperity. We will change the ways in which economic policy is made and implemented, to bring greater stability and a sensible framework to economic management - ending the present 'boom, bust' approach."
"277","This requires fuller integration with the European Community."
"278","Our key changes are: Establishing an operationally independent Bank of England to become the Central Bank of the UK, to ensure disciplined economic management, to end political manipulation of the economy and to form the rock upon which a long-term anti-inflationary strategy can be built."
"279","This will also help progress towards an independent European Central Bank."
"280","Moving sterling to the narrow band of the European Exchange Rate Mechanism as sson as possible, helping stable progress towards lower interest rates."
"281","Taxes and public spending to be set to reach a 'savings target' for the nation over a period of years."
"282","We will set a target as a total of private- and public-sector savings, and adjust fiscal policy to achieve the target over the medium term."
"283","If the country does not save enough to achieve the target, we will alter taxes and public spending accordingly, to ensure adequate longt-term investment and keep the economy developing in a non-inflationary way."
"284","We will encourage individual savings by giving tax relief on all income piad into new Registered Savings Account."
"286","Reform of the annual Budget. We will publish a draft Budget four months before the final version, to promote open discussion of economic and taxation and policy."
"287","This will facilitate the integration of spending and revenue-raising, a measure we have long advocated."
"288","This will also make it easier to measure the impact of economic policy on the environment."
"289","We will establish an indpendent National Statistics Commission to collect and publish statistics and improve their quality."
"290","Working towards European economic and monetary union, including the establishment of an independent European Central Bank and a single European currency."
"291","We will renounce the Conservatives' Maastricht 'opt-out' clause, accept the timetabled approach to EMU, and renegotiate the Social Chapter with a positive British input."
"293","Changing the Economy for Good. Liberal Democrats recognise that if we are to improve Britain's disappointing economic performance we have to change the governmental system which produces it."
"294","Our proposals for electoral and constitutional reform are a prerequisite for better economic performance."
"295","Proportional representation will produce greater stability in government, ending the economic disruption caused by sudden sharp swings in government policies before and after elections."
"296","Home rule and decentralisation will ensure that economic power and prosperity is spread through Britain."
"297","Integration within Europe will create the framework for long-term economic strength."
"298","Freedom of information legislation and open government will improve competition and encourage informed debate."
"299","A written constitution will ensure that politicians can no longer ignore long-term priorities for short-term expediency and political advantage."
"301"," 2.Britain's Environment: Environmental Protection and Conservation. Liberal Democrats are determined to ensure that Britain changes its way so that it becomes a leader, not a laggard, in facing the environmental challenge."
"302","Polluters will pay and conservers will be rewarded."
"303","Taxation will be gradually shifted from the things we want more of - income, savings and value added - to the things we want less of: pollution and resource depletion."
"304","The accelerating destruction of the environment is one of the most serious challenges we face today."
"305","Its symptoms are becoming clearer every year, from global warming to holes in the ozone layer to poisoned rivers and polluted air at home."
"306","They threaten not just our ability to enjoy our towns and countryside but our health and our children's future."
"307","Liberal Democrats aim to cut pollution and clean up the local environment."
"308","We aim to build a society that does not create wealth at the expense of the environment."
"309","Our economy currently functions unsustainably, producing unacceptable levels of pollution and rates of resource depletion."
"310","We will create new incentives to follow environmentally sensitive strategies and behaviour."
"312","Protecting our heritage. Conserving and enhancing the physical environment, countryside and townscape alike, is of crucial importance to everyone's quality of life."
"313","Liberal Democrats will: Improve countryside protection policies for National Parks, heritage coasts, areas of outstanding natural beauty, and sites of special scientific interest."
"314","We will tighten controls against exploitation, we will create more National Parks and we will improve access to the countryside."
"315","Introduce Countryside Management Agreements for farmers and landowners who wish to take them up."
"316","These will be drawn up in conjunction with local planning authorities with the aim of managing the countryside to develop sustainable agriculture, safeguard plant and animal wildlife, and preserve traditional landscape features, such as woods, hedgerows and dry-stone walls."
"317","Reform land use planning so that the protection of the natural environment becomes a major feature of the planning system."
"318","We will decentralise planning decisions as much as possible, giving a key role to the local plan drawn up by the local authority."
"320","Clean up the cities. We will improve public transport, reduce traffic congestion, and encourage pedestrianisation and cycling schemes."
"321","We will encourage more parks, gardens and green spaces."
"322","We will provide more resources for councils to deal with noise complaints and make compensation for excesive commercial noise more widely available."
"323","Promote better waste management."
"324","We will provide grants for recycling schemes, introduce regulations on the use of packaging materials, and encourage local authorities to clean up litter."
"325","We will clean up beaches and coastlines by ensuring full treatment of sewage."
"327","Improve standards of animal protection. We will set up an Animal Proection Commision to enforce and recommend changes to legislation."
"328","We will phase out battery cages and unacceptable systems of factory farming, tighten controls on the export of live animals for slaughter, and establish a dog registration schem."
"329","We will prohibit experiments involving pain or distress for non-medical and non-veterinary purposes, promote alternatives to the use of animals in research and education, and ensure that laws against badger-baiting and dog-fighting are enforced."
"330","On hunting with hounds, Liberal Democrats as a party have declared their opposition, but recognise, like the Conservative and Labour parties, that legislation is a matter of conscience for each individual MP."
"331","We aim to build a society that does not create wealth at the expense of the environment."
"332","We will create new incentives to follow environmentally sensitive strategies and behaviour."
"333","We will issue factories and power stations with licences setting a ceiling on permitted emissions of pollutants."
"335","Air Pollution Index. Air pollution threatens the health of millions of people - particularly children, elderly people and anyone with a respiratory problem such as asthma."
"336","Government monitoring stations measure levels of pollutants such as nitrogen oxides or low-level ozone but fail to publicise them widely."
"337","When levels exceed World Health Organisation guidelines, the result is described as 'good' - in other countries it would be called 'poor'."
"338","We will increase the number of monitoring stations, ensuring that all major urban areas are covered."
"339","We will publish a regular air pollution index and encourage newspapers and TV and radio weather forecasts to use it."
"340","This will increase public consciousness of the pollution issue and prove of real benefit to the health of vulnerable people."
"342","Controlling Pollution. We will need market mechanisms, where feasible, to reduce pollution by ensuring that environmental costs and benefits are fed into the economy."
"343","Direct controls will still be needed in some cases."
"344","We will: Set targets for cutting pollution."
"345","These include a 30% reduction in carbon dioxide emissions from the UK by the year 2005"
"346"," our energy policy is greated to this target."
"347","We will ban the use of CFCs and halons by 1994."
"348","Introduce a system of tradable emission licenses."
"349","We will issue factories and power stations with licences setting a ceiling on permitted emissions of pollutants such as sulphur dioxide."
"350","These will be tradable: those who are most efficient at reducing pollution would have surplus licences which they could then sell either to those less efficient, or back to government."
"351","The targets for emissions - and therefore number of licences available - will be reduced year by year, leading to a steady fall in pollution."
"352","Create a new Department of Natural Resources will sole responsibility for environmental protection, leaving the Department of the Environment to cover local government and housing."
"353","We will set up an independent and powerful Environmental Protection Agency to work with the new European Environment Agency."
"354","Put forward plans for a powerful United Nations Environmental Programme to lead global efforts to protect the environment, operating within the framework of an 'Earth Charter'."
"355","We wish to see a world market in tradable emissions licences for carbon dioxide and other pollutants."
"356","This would not only provide incentives to cut pollution but also act as a channel for transferring resources to developing countries."
"358","Conserving Energy. Withoutout an effective energy policy, government canot have an effective environmental policy."
"359","Britain's national energy strategy must be set within an overall European framework, with the aim of reducing pollution, improving energy efficiency and boosting the use of renewables."
"360","We will: Support a Community-wide Energy Tax on all energy sources."
"361","This will be related to levels of carbon dioxide emitted and will provide a strong incentive for saving energy and investing in cleaner sources."
"362","Extra revenue raised through the tax will be fed back into the economy by reducing other taxes such as VAT and by protecting those least able to adapt to the higher price of energy."
"363","Invest in energy conservation and efficiency."
"364","We will set new energy efficiency standards for homes, offices and factories, and for products such as light bulbs, fridges and cookiers."
"365","We will give grants for home insulation and the installation of solar panels, and introduce energy audits of buildings."
"366","We will encourage combined heat and power and district heating schemes."
"367","Double government spending on renewable energy research."
"368","We will establish a Renewable Energy Office to promote research, development, and application, in particular of wave power, hot rocks geothermal energy, passive solar design of buildings, small-scale hydropower schemes and wind energy."
"369","We will complete the study on the construction of a Severn Barrage."
"370","Start to phase out nuclear fission power stations, which are prohibitively expensive and potentially hazardous."
"371","We aim to complete the phase-out at the latest by the year 2020 (and earlier if feasible), and we will not proceed further with the construction of the Sizewell B PWR."
"372","We will continue nuclear research, but at a lower cost."
"373","Reprocessing spent nuclear fuel rods increases the volume of waste and should be undertaken only when necessary for safety reasons."
"375","Water District Discount. According to the Government, water bills will rise by 50% within the next few years."
"376","For many households (in, for example, Wales), water bills are now higher than bills for all local government services put together."
"377","Since 1989 nearly a million summonses have been issued to people who could not pay their water bills."
"378","At present water companies have a Bult Supply Discount for commercial customers - a 'wholesale price' for their water."
"379","Liberal Democrats will alter the licensing conditions for water companies to extend this to groups of domestic consumers who live on large estates and in sheltered housing complexes."
"380","This District Discount will keep down bills for elderly people and many low-income inner-city residents living on large estates."
"382","Making Transport Clean and Efficient. By expanding the provision and quality of public transport and reducing society's dependence on the private car, we will improve travel efficiency and protect the environment."
"383","We will achieve this by: Investment in public transport, increasing its frequency of services, speed and safety, and reducing its cost to the individual - especially in isolated rural areas where the need is greatest."
"384","We will encourage new schemes, using light railways and trams in cities."
"385","We will require local authorities to define minimum standards of accessibility in their areas and draw up transport plans which meet them."
"386","Immediate improvements in the rail network, allowing more movement of goods and passengers by rail and less environmental damage."
"387","We will construct a high-speed link from the Channel Tunnel to connect with the major rail routes to the North and West, and extend electrification throughout the country."
"388","We oppose the privatisation of British Rail, but will allow private operators access to the rail network, while giving BR the freedom to raise investment capital on the open market."
