"","sentence_text_new"
"114","Maternity leave has increased to 26 weeks and maternity pay has almost doubled."
"115","There are 1.2 million more older people in employment."
"116","The employment rate for people aged between 50 and pension age has increased by over five percentage points to 70 per cent."
"118","Britain strong in the world. Britain's interests are at the heart of an enlarged European Union, with economic reform putting jobs first."
"119","Our international aid budget for the world's poorest countries has more than doubled."
"120","We have successfully pressed for the restarting of world trade talks which will focus on the needs of developing countries."
"121","Our strong, effective and responsive armed forces are ensuring the defence of Britain's interests."
"122","We introduced greenhouse-gas trading to cut pollution - the first country to do so - reducing emissions by 9.8 million tonnes in the first two years."
"123","Labour's economic record is unprecedented - the highest employment ever, longest period of uninterrupted growth in modern history, lowest sustained interest and inflation rates for a generation."
"124","Our economic policies will build on the platform of stability and growth in three ways: entrenching a lowdebt/high-employment economy which generates investment in public services"
"125"," supporting enterprise and wealth creation by making Britain the best place to do business"
"126"," and helping ever y part of Britain and every person in Britain to contribute to and gain from the strength of our economy."
"127","And as we work globally to tackle climate change we recognise the challenge and the opportunity of achieving sustainable development at home."
"130","Chapter 1 Economy: Rising prosperity in an opportunity society. Forward to increased prosperity, not back to boom and bust. 1979-1997: Interest rates average over ten per cent."
"131","1997-2005: Britain, the fourth largest economy in the world, with the longest ever period of continuous growth."
"132","2010: Full employment in every region and nation."
"134","The new Labour case. Our economic record has finally laid to rest the view that Labour could not be trusted with the economy."
"135","We are winning the argument that economic dynamism and social justice must go hand in hand."
"136","In the future the countries that do best will be those with a shared purpose about the long-term changes and investments they need to make - and have the determination to equip their people for that future."
"137","So, we approach new challenges with a progressive strategy for growth."
"138","In our third term we will build new ladders of social mobility and advancement on the firm foundations of stability, investment and growth."
"140","Low debt and high employment. In the last eight years we have pioneered a British way to economic stability."
"141","Our economy has grown in every quarter with this Government."
"142","Interest rates have averaged 5.3 per cent since 1997, saving mortgage payers on average nearly £4,000 per year compared to the Tory years."
"143","Only with Labour, which constructed this framework, will this continue."
"144","We will maintain our inflation target at two per cent."
"145","We will continue to meet our fiscal rules: over the economic cycle, we will borrow only to invest, and keep net debt at a stable and prudent level."
"147","Public spending and taxation. The longest period of uninterrupted economic growth in modern times has enabled the Government to deliver the longest period of sustained investment in public services for a generation."
"148","Social security bills for unemployment have been halved since 1997, saving £5 billion a year, and we are also saving £4 billion a year on debt interest payments."
"149","Over the ten-year period 1997-98 to 2007-08, real-terms investment per year in education will have risen by 4.8 per cent and in health by 6.5 per cent."
"150","We are winning the argument that economic dynamism and social justice must go hand in hand."
"151","Every pound we invest goes further because of our drive for efficiency and reform."
"152","Labour will complete the implementation of Sir Peter Gershon's recommendations to improve public-service efficiency and root out waste, liberating over £21 billion for investment in frontline services."
"153","Labour believes tax policy should continue to be governed by the health of the public finances, the requirement for public investment and the needs of families, business and the environment."
"154","We will not raise the basic or top rates of income tax in the next Parliament."
"155","We renew our pledge not to extend VAT to food, children's clothes, books, newspapers and public transport fares."
"156","We will continue to make targeted tax cuts for families and to support work."
"157","As a result of personal tax and benefit measures introduced since 1997, by October 2005 families with children will be on average £1,400 a year better off in real terms."
"158","Living standards in Britain have been rising, on average, by 2.5 per cent per year since 1997 - a total increase of nearly 20 per cent."
"159","We want a tax regime that supports British business."
"160","That is why we have cut corporation tax to its lowest ever level, introduced the best regime of capital gains tax in any industrialised country, and introduced a new Research and Development tax credit."
"162","Full employment. Our goal is employment opportunity for all, the modern definition of full employment."
"163","Britain has more people in work than ever before, with the highest employment rate in the G7."
"164","Our long-term aim is to raise the employment rate to 80 per cent."
"165","And, as we move more people from welfare to work, the savings on unemployment benefits will go towards investing more in education."
"166","We will make work pay."
"167","With Labour's tax credits a family with two children pays no net tax until their earnings reach £21,000."
"168","We will implement the recommendations of the Low Pay Commission to raise the minimum wage to £5.05 from October 2005 and £5.35 from October 2006."
"169","The New Deals and the creation of JobCentre Plus have made a major contribution to cutting unemployment."
"170","The active welfare state created since 1997 is working."
"171","The Tories trebled the number on incapacity benefits."
"172","We will help people who can work into rehabilitation and eventually into employment, recognising the practical assistance to disabled people of the Access to Work scheme."
"173","We will build on the successful Pathways to Work programme and reform Incapacity Benefit, with the main elements of the new benefit regime in place from 2008."
"174","The majority of claimants with more manageable conditions will be required to engage in both work-focused interviews and in activity to help them prepare for a return to work."
"175","Those with the most severe conditions will also be encouraged to engage in activity and should receive more money than now."
"176","We will continue to welcome new independent and voluntary sector partners to provide job-seeking services."
"178","Supporting enterprise. Government does not create wealth but it must support the wealth creators."
"179","That is why our priorities are the national infrastructure of skills, science, regulation and planning, and transport."
"180","The economy of the future will be based on knowledge, innovation and creativity."
"181","That applies both to manufacturing and services."
"182","In a fast changing global economy, government cannot postpone or prevent change."
"183","The modern role for government - the case for a modern employment and skills policy - is to equip people to succeed, to be on their side, helping them become more skilled, adaptable and flexible for the job ahead rather than the old Tory way of walking away leaving people unaided to face change."
"184","Successful manufacturing industries are vital to our future prosperity."
"185","The Labour Government backs manufacturing: from launch investment for Airbus A380 Super Jumbo to the successful Manufacturing Advisory Service helping 13,000 of our smaller manufacturing businesses in its first year."
"186","In a third term we will continue to do so."
"187","Public procurement is a big opportunity for business in Britain and the source of many jobs."
"188","We will promote a public procurement strategy that safeguards UK jobs and skills, under EU rules, to ensure that British industry can compete fairly with the rest of Europe."
"189","Britain has some of the strongest capital markets in the world."
"190","We are determined they - and our financial services industry - should prosper."
"191","We will ensure that companies have the right framework of corporate governance and relationships with the institutions that invest our pension funds and savings in them."
"192","In our third term we will build new ladders of social mobility and advancement on the firm foundations of stability, investment and growth."
"194","Skills at work. Our reforms to 14-19 education (see chapter 2) will raise the quality and quantity of apprenticeships and vocational education."
"195","We are now putting in place a comprehensive and ambitious strategy to help everyone get on at work: "
"196"," All adults to get free access to basic skills in literacy, language and numeracy."
"197"," A new national programme, working with employers, to ensure that employees who did not reach GCSE standard (level 2) at school will get time off for free training up to level 2."
"198"," A new partnership between government and employers to fund workplace training at level 3 (technician level) "
"199"," A genuinely employer-driven training system - in every sector there will be a Sector Skills Council determining the training strategy and a leading edge Skills Academy."
"200"," A nationwide system of advice - bringing together support on skills, jobs and careers - helping people to get on at work."
"201"," A strong partnership with trade unions to boost workplace training including a new TUC Academy and continued support for Union Learning Reps."
"203","Supporting science. The alliance of scientific research and business creativity is key to our continued prosperity."
"204","Looking ahead, we are committed to a ten-year strategy on science and innovation that will continue to invest in our science and industrial base at least in line with trend GDP."
"205","Our ambition now is to raise the UK's total private and public sector investment in research and development, as a proportion of national income, from its current 1.9 per cent to 2.5 per cent by 2014."
"206","Our pharmaceutical and biotechnology industries are world leaders."
"207","We have created one of the world's best environments for stem-cell research."
"208","We have now passed legislation to protect our researchers from the activities of animal rights extremists."
"209","Across a range of environmental issues - from soil erosion to the depletion of marine resources, from water scarcity to air pollution - it is clear now not just that economic activity is their cause but that these problems in themselves threaten future economic activity and growth."
"210","We will continue to work with the environmental goods and services sector - which is already worth £25 billion to the economy to promote new green technologies and industries in the UK and internationally, and use the purchasing power of government to support environmental improvement."
"212","Competition, planning and regulation. Competition is a driving force for innovation."
"213","Our competition regime has been toughened with independent competition bodies and stronger penalties."
"214","To the benefit of business and household consumers we are liberalising the postal services market, while protecting the universal service at a uniform tariff."
"215","As we said in our policy document Britain is Working, we have given the Royal Mail greater commercial freedom and have no plans to privatise it."
"216","Our ambition is to see a publicly owned Royal Mail fully restored to good health, providing customers with an excellent service and its employees with rewarding employment."
"217","We will review the impact on the Royal Mail of market liberalisation, which is being progressively introduced under the Postal Services Act 2000 and which allows alternative carriers to the Royal Mail to offer postal services."
"218","We have reformed our energy markets to make them open and competitive."
"219","And we are a leading force in the campaign to make Europe's energy markets the same."
"220","Our wider energy policy has created a framework that places the challenge of climate change - as well as the need to achieve security of supply - at the heart of our energy policy."
"221","We have a major programme to promote renewable energy, as part of a strategy of having a mix of energy sources from nuclear power stations to clean coal to micro-generators."
"222","We will only regulate where necessary and will set exacting targets for reducing the costs of administering regulations."
"223","We will rationalise business inspections."
"224","The merger of the Inland Revenue and Customs and Excise will cut the administrative costs of tax compliance for small businesses."
"225","We will take further action in Europe to ensure that EU regulations are proportionate and better designed."
"226","We strongly support the creation of an EU single market in services to match the single market in goods - and want an effective directive to provide real benefits to consumers and new opportunities to British business."
"227","We will protect our employment standards."
"228","In developing the directive we will want to avoid any undermining of our regulatory framework."
"229","We will continue to work to protect the rights of consumers, bringing forward proposals to strengthen and streamline consumer advocacy."
"230","We look forward to action from the banking industry to remove delays in processing cheques and other payments and, if necessary, will legislate to ensure this early in the next Parliament."
"231","There are many bank accounts that are lying dormant and unclaimed, often because people have forgotten about them or because the owner has died."
"232","We will work with the financial services industry to establish a common definition and a comprehensive record of unclaimed assets."
"233","We will then expect banks, over the course of the Parliament, to either reunite those assets with their owners or to channel them back into the community."
"234","An effective planning regime protects the environment while promoting economic growth - and does so quickly and responsively."
"235","In the next term, we will ensure that our planning system continues to protect the sustainability of local and regional environments - and we will continue to develop a regime which is simpler, faster and more responsive to local and business needs including the need to create jobs and regenerate our cities."
"237","Fostering entrepreneurship. There are 300,000 more businesses now than in 1997."
"238","We are tackling barriers to financing for small and growing businesses - especially enterprises in deprived areas."
"239","Through Business Links we will offer star t-ups, social enterprises and small businesses access to tailored intensive support and coaching."
"240","To foster the entrepreneurs of tomorrow, by 2006 every school in the country will offer enterprise education, and every college and university should be twinned with a business champion."
"242","Modern transport infrastructure. An efficient transport system is vital to the country's future, to our economy and to our quality of life."
"243","We welcome the freedom that additional travel provides and support the continuing development of a competitive and efficient freight sector."
"244","Investment, better management of road and rail, and planning ahead are vital to deal with the pressures on the system in a way that respects our environmental objectives."
"245","We have doubled transport spending since 1997 and will increase it year on year - committing over £180 billion in public money between now and 2015 as well as private investment."
"246","The Eddington Review will work with the Government to advise on how this investment should be targeted - in particular, where transport is vital to underpin economic growth."
"247","We are now taking charge of setting the strategy for rail to further raise the standard of service and reliability."
"248","We will examine options for increasing capacity, including a new generation of high-speed trains on intercity routes and a new life for rural branch lines as community railways."
"249","We are committed to continuing to work to develop a funding and finance solution for the Crossrail project"
"250"," and will look at the feasibility and affordability of a new North-South high-speed link."
"251","We will support light-rail improvements where they represent value for money and are part of the best integrated transport solution."
"252","To that end, we are working with cities across the country and have committed £520 million to Manchester for Metrolink."
"253","We will support the continuing upgrade of the London Underground and the extension of the East London line."
"254","Major investment is planned to expand capacity on the M1, M6 and M25."
"255","We must also manage road space better."
"256","We are examining the potential benefits of a parallel Expressway on the M6 corridor."
"257","We will introduce car-pool lanes for cars with more than one passenger on suitable roads and explore other ways to lock in the benefit of new capacity."
"258","We will complete the introduction of Traffic Management Officers to keep traffic flowing."
"259","Because of the long-term nature of transport planning, we will seek political consensus in tackling congestion, including examining the potential of moving away from the current system of motoring taxation towards a national system of road-pricing."
"260","We will give all over-60s, and disabled people, free off-peak local bus travel and give local authorities the freedom to provide more generous schemes."
"261","We will continue to support growth in bus provision including innovation in school transport, with greater opportunity for local authorities to control their bus networks where they are demonstrating value for money and taking strong measures to tackle congestion."
"262","To facilitate improved public transport provision, we will explore giving Passenger Transport Executives greater powers over local transport."
"263","We will continue funding local authorities and voluntary groups to make cycling and walking more attractive."
"264","We are committed to reducing child deaths and serious injuries on the road by 50 per cent, and we will continue to work to reduce dangerous driving, especially drink driving and uninsured driving."
"265","We will work with industry to make travel on public transport safer and more secure."
"266","Government will continue to support technological innovation to reduce carbon emissions such as the hydrogen fuel-cell buses in London."
"267","We will explore the scope for further use of economic instruments as well as other measures to promote lower vehicle emissions."
"268","We will continue to support air travel by implementing the balanced policies set out in our aviation white paper."
"269","We are committed to using the UK's 2005 presidency of the European Union to promote the inclusion of aviation in the EU's emissions trading scheme."
"270","For shipping, our introduction of the tonnage tax has led to a trebling in size of the fleet since 1997."
"271","We want more ships to fly the British flag, to boost jobs and training, and to increase shipping and port capacity."
"273","Opportunity for all. We are determined to spread the benefits of enterprise to every community in the country."
"274","Every regional economy has different strengths, and Regional Development Agencies now play an essential role in regional economic development."
"275","Our economy has grown in every quarter under this Government."
"276","We have given local authorities a direct incentive to promote local business creation, allowing them to keep up to £1 billion over three years of increased rate revenues to spend on their own priorities."
"277","The Local Enterprise Growth Initiative will work through local author ities to remove barriers to enterprise in the most deprived areas of England."
"278","In 1997, many parts of our towns and cities were suffering from deeply entrenched and multiple disadvantage."
"279","To tackle this we established a ten-year programme, the New Deal for Communities, empowering local communities - and this is already delivering improvements in education outcomes and crime reduction."
"280","No area in our country should be excluded from the opportunity to get ahead, to benefit from improving public services, and to be secure and safe."
"281","We will maintain our commitment to tackling issues of worklessness, low skills, crime, poor environment and health in our poorest neighbourhoods."
"283","Fairness at work. Since 1997, the Labour Government has introduced new rights for people at work and new opportunities for trade unions to represent their members."
"284","We see modern, growing trade unions as an important part of our society and economy."
"285","They provide protection and advice for employees, and we welcome the positive role they have played in developing a modern model of social partnership with business representatives."
"286","The Labour Party has agreed a set of policies for the workplace (the Warwick Agreement) and we will deliver them in full."
"287","They will be good for employees and for the economy."
"288","We have introduced, for the first time, an entitlement for every employee to four weeks' paid holiday, and we propose to extend this by making it additional to bank holiday entitlement."
"290","Promoting equality at work. A strong economy draws on the talents of all."
"291","We have extended legislation to protect people from discrimination at work to cover not only gender, disability, race and ethnicity but also religion and sexual orientation and - from 2006 - age."
"292","Labour has transformed legal rights for disabled people."
"293","We will empower disabled people further by joining up services and expanding personalised budgets."
"294","We will take further action to narrow the pay and promotion gap between men and women."
"295","The Women and Work Commission will report to the Prime Minister later this year."
"296","We will implement the National Employment Panel's report on measures to promote employment and small business growth for ethnic and faith minorities."
"297","We will take forward the Strategy for Race Equality to ensure that we combat discrimination on the grounds of race and ethnicity across a range of services."
"298","The Equalities Review repor ting to the Prime Minister in 2006 will make practical recommendations on the priorities for tackling disadvantage and promoting equality of opportunity for all groups."
"300","Thriving rural areas. Since 1997, Labour has made it more difficult to close rural schools, put in £750 million to support rural post offices and introduced a 50 per cent rate relief on village shops."
"301","Through our £51 million Rural Bus Subsidy Grant we have delivered over 2,200 new bus services in rural areas this year."
"302","We set targets for the creation of affordable homes in rural areas, which we have now exceeded."
"303","We will explore how to ensure a proportion of all new housing development is made available and affordable to local residents and their families."
"304","Because of our success in achieving extensive reforms in the Common Agricultural Policy (CAP), 2005 will be the first year for decades when farmers will be free to produce for the market and not simply for subsidy."
"305","We will continue to push for further reform of the CAP in the next Parliament, starting with the sugar regime."
"306","We will continue to promote the competitiveness of the whole food sector, and assure the safety and quality of its products."
"307","We will introduce an explicit policy for schools, hospitals and government offices to consider local sourcing of fresh produce."
"308","We will continue to improve the environmental performance of agriculture, rewarding every farmer in England for environmental protection and enhancement work through our new Stewardship schemes."
"309","We will also promote biomass, bio-fuels and non-food crops."
"310","We will work to tackle diffuse water pollution through addressing impacts across water catchments without the costs falling on water customers."
"311","Under difficult circumstances, Labour is working with the fishing industry to create a sustainable long-term future for the fishing communities of the United Kingdom."
"312","We have reformed the Common Fisheries Policy and will continue to protect the marine environment and ensure fish stocks and their exploitation are set at sustainable levels."
"313","We will introduce the Animal Welfare Bill as soon as possible in the new Parliament."
"315","The choice for 2010. The Conservatives are the party of high interest rates, high inflation, mass unemployment and house repossessions."
"316","Their taxand-spend promises do not add up"
"317"," and they would cut £35 billion from public investment."
"318","With new Labour, Britain can seize the opportunities of globalisation, creating jobs and prosperity for people up and down the country."
"319","We can only do so if we build a clear sense of shared national economic purpose, not just around economic stability but also investment in infrastructure, skills, science and enterprise."
"320","The choice is to go forward to economic stability, rising prosperity and wider opportunities with new Labour."
"321","Or go back to the bad old days of Tory cuts, insecurity and instability."
"324","Chapter 2 Education: More children making the grade. Forward to personalised learning, not back to mass failure. 1997: 42nd in the World Education League 2005: Third best in the world for literacy at age ten and fastest improving for maths."
"325","2010: Every 16-year-old offered school, college, training or apprenticeship  "
"326","Education is still our number one priority."
"327","In our first term, we transformed recruitment, training and methods of teaching, with record results in primary schools."
"328","In our second term we have driven fundamental reform in secondary provision - more teachers and support staff, more money, specialist schools and the Academies programmes."
"329","Our plan now is to tailor our education system to individual pupil needs, with parents supporting teachers and support staff in further raising standards."
"330","That means music, art, sport and languages as well as English and maths in primary school"
"331"," a good secondary school for every child, with modern buildings and excellent specialist teaching"
"332"," catch-up support for all children who need it"
"333"," the guarantee of a sixth-form place, apprenticeship or further education at 16"
"334"," sufficient quality and quantity in higher education."
"335","At each stage we send a clear message - every child has a right to a good education, but no child has the right to disrupt the education of other children."
"337","The new Labour case. For generations our country has been held back by an education system that excelled for the privileged few but let down the majority."
"338","Every child can and should be able to fulfil their potential."
"339","We will achieve this by uniting our commitment to equal opportunities for all children with a reform programme which gives every child and young person, from pre-school to sixth-form or apprenticeship and beyond, the personalised package of learning and support they need."
"340","In a third term, we will entrench high expectations for every child, ensure the flexibility of provision to meet all needs and make parents true partners as we aim for the highest ever school standards."
"342","Every pupil with better teaching. There is no greater responsibility than teaching the next generation."
"343","Head teachers, teachers and support staff deserve support and respect."
"344","There are now over 28,000 more teachers and 105,000 more support staff than in 1997"
"345"," graduate teacher applications are up 70 per cent"
"346"," average salaries are up by more than 30 per cent."
"347","The remodelling of the school workforce is benefiting staff and helping to tailor provision to pupil need."
"348","We will now go further - to intensify in-service training for teachers, to widen further routes into teaching, to help more teachers and pupils get the benefit of the range of support staff now working in schools, from learning mentors to music and arts specialists."
"349","The goal is clear: ever y pupil with extra support in their weakest subjects and extra opportunities in their strongest."
"350","We want to see every pupil mastering the basics."
"351","If they are not mastered by 11, there will be extra time in the secondary curriculum to get them right: schools will be judged on how pupils do in English and maths at the ages of 11, 14 and 16."
"352","We want every pupil to be stretched, including the brightest, so we will develop extended projects at A-level, harder A-level questions to challenge the most able, and give universities the individual module marks - as well as overall grades - of A-level students."
"353","`Our plan now is to tailor our education system to individual pupil needs, with parents supporting teachers and support staff in further raising standards.'  "
"355","Every school with more money and effective leadership. Since 1997, school funding has risen by £1,000 per pupil."
"356","Education spending that was 4.7 per cent of national income in 1997 will rise to 5.5 per cent this year."
"357","We will continue to raise the share of national income devoted to education."
"358","And we will continue to recognise the additional needs of disadvantaged pupils."
"359","We will also ensure fundamental reform in the way the money is spent."
"360","Funding will be allocated on a multi-year timescale."
"361","There will be a dedicated national schools budget set by central government, with a guaranteed per pupil increase for every school."
"362","Heads and governors will be in control."
"363","Successful schools and colleges will have the independence to take decisions about how to deploy resources and develop their provision."
"364","Schools will work together to raise standards."
"365","New provision will be created where standards are too low or innovation is needed."
"366","Local authorities have a vital role in championing the parent interest and providing support services."
"367","A strong, effective governing body is essential to the success of every school and governors must be given support to help them play this role."
"368","We will allow more flexibility in the structure of governing bodies, including the ability to have smaller governing bodies, of ten members or less, to streamline management while strengthening the position of parents."
"370","Parents as partners. Our aim for the education system is to nurture the unique talents of every child."
"371","But children and schools do best with real and effective parental engagement."
"372","Parents should have the information and support they need to encourage their children, from the first reading book to the key choices they make at 14 and 16."
"373","And parents should be central to the process of assessing school performance and driving improvement, as well as their vital role in promoting good behaviour and raising the quality of school meals (see chapter 4)."
"374","All schools should have good home-school links, building on the new school and pupil profiles."
"375","Some schools are using ICT to make contact between parents and schools easier and better for both sides."
"376","We will encourage all schools to follow suit."
"377","Ofsted now actively seeks the views of parents when undertaking inspections."
"378","Ofsted will be given new powers to respond to parental complaints and where necessary to close failing schools or replace failing management."
"380","Enriching primary schools. International studies show that our ten-year-olds are the third highest achievers in literacy in the world and the fastest improving in maths."
"381","Three-quarters of 11-year-olds now reach high standards in reading, writing and maths."
"382","We will intensify our literacy and numeracy programme to help an extra 50,000 pupils achieve high standards at age 11, reaching our targets of 85 per cent of pupils succeeding at the basics."
"383","All primary school children will have access to high-quality tuition in the arts, music, sport and foreign languages."
"384","We have set aside funds for this purpose, working with head teachers to develop support programmes and modernise the school workforce."
"385","We have abolished infant class sizes of more than 30, and almost all primar y schools have gained improved facilities since 1997."
"386","We will now upgrade primary schools nationwide in a 15-year Building Schools for the Future programme, including under-fives and childcare facilities where needed."
"387","Primary schools will become the base for a massive expansion of out-of-school provision (see chapter 6)."
"388","Foundation schools operate within the local family of state schools, and are funded in the same way as others, but manage their own assets and employ their staff directly."
"389","We will allow successful primary schools, like secondary schools, to become foundation schools by a simple vote of their governing body following consultation with their parents."
