"","language","speechno","sentence_text","pre_sentence","post_sentence"
"SV1_11","SV",1,"Ett argument är att de bestämmelser för statligt stöd som antogs 2002, och som snart kommer att upphöra att gälla, gick ut på att kolgruvedriften skulle fasas ut.","Det kan emellertid också bero på att de inte har förstått innehållet. Inga av argumenten till stöd för detta förslag kan tas på allvar, för de är inte korrekta.","Detta är förstås helt felaktigt. Det rörde sig om efterföljande bestämmelser."
"SV1_12","SV",1,"Detta är förstås helt felaktigt.","Inga av argumenten till stöd för detta förslag kan tas på allvar, för de är inte korrekta. Ett argument är att de bestämmelser för statligt stöd som antogs 2002, och som snart kommer att upphöra att gälla, gick ut på att kolgruvedriften skulle fasas ut.","Det rörde sig om efterföljande bestämmelser. Jag vet detta eftersom jag var där, och jag var föredragande för parlamentet 2002."
"SV1_13","SV",1,"Det rörde sig om efterföljande bestämmelser.","Ett argument är att de bestämmelser för statligt stöd som antogs 2002, och som snart kommer att upphöra att gälla, gick ut på att kolgruvedriften skulle fasas ut. Detta är förstås helt felaktigt.","Jag vet detta eftersom jag var där, och jag var föredragande för parlamentet 2002. Detta var när fördraget om upprättandet av Europeiska kol- och stålgemenskapen (EKSG) upphörde att gälla efter 50 år och det behövdes efterföljande bestämmelser, inte bara om stöd utan också om andra frågor."
"SV1_14","SV",1,"Jag vet detta eftersom jag var där, och jag var föredragande för parlamentet 2002.","Detta är förstås helt felaktigt. Det rörde sig om efterföljande bestämmelser.","Detta var när fördraget om upprättandet av Europeiska kol- och stålgemenskapen (EKSG) upphörde att gälla efter 50 år och det behövdes efterföljande bestämmelser, inte bara om stöd utan också om andra frågor. Om detta hade handlat om ren utfasning, vad skulle då ha hänt exempelvis med EKSG:s tillgångar?"
"SV1_15","SV",1,"Detta var när fördraget om upprättandet av Europeiska kol- och stålgemenskapen (EKSG) upphörde att gälla efter 50 år och det behövdes efterföljande bestämmelser, inte bara om stöd utan också om andra frågor.","Det rörde sig om efterföljande bestämmelser. Jag vet detta eftersom jag var där, och jag var föredragande för parlamentet 2002.","Om detta hade handlat om ren utfasning, vad skulle då ha hänt exempelvis med EKSG:s tillgångar? Det var inte bestämmelser om utfasning - det var efterföljande bestämmelser."
"SV1_16","SV",1,"Om detta hade handlat om ren utfasning, vad skulle då ha hänt exempelvis med EKSG:s tillgångar?","Jag vet detta eftersom jag var där, och jag var föredragande för parlamentet 2002. Detta var när fördraget om upprättandet av Europeiska kol- och stålgemenskapen (EKSG) upphörde att gälla efter 50 år och det behövdes efterföljande bestämmelser, inte bara om stöd utan också om andra frågor.","Det var inte bestämmelser om utfasning - det var efterföljande bestämmelser. Vid denna tidpunkt kom vi på goda grunder överens om att dessa efterföljande bestämmelser skulle gälla i åtta år."
"SV1_17","SV",1,"Det var inte bestämmelser om utfasning - det var efterföljande bestämmelser.","Detta var när fördraget om upprättandet av Europeiska kol- och stålgemenskapen (EKSG) upphörde att gälla efter 50 år och det behövdes efterföljande bestämmelser, inte bara om stöd utan också om andra frågor. Om detta hade handlat om ren utfasning, vad skulle då ha hänt exempelvis med EKSG:s tillgångar?","Vid denna tidpunkt kom vi på goda grunder överens om att dessa efterföljande bestämmelser skulle gälla i åtta år. Därefter skulle frågan behandlas på nytt."
"SV1_18","SV",1,"Vid denna tidpunkt kom vi på goda grunder överens om att dessa efterföljande bestämmelser skulle gälla i åtta år.","Om detta hade handlat om ren utfasning, vad skulle då ha hänt exempelvis med EKSG:s tillgångar? Det var inte bestämmelser om utfasning - det var efterföljande bestämmelser.","Därefter skulle frågan behandlas på nytt. Därför är detta argument felaktigt."
"SV1_19","SV",1,"Därefter skulle frågan behandlas på nytt.","Det var inte bestämmelser om utfasning - det var efterföljande bestämmelser. Vid denna tidpunkt kom vi på goda grunder överens om att dessa efterföljande bestämmelser skulle gälla i åtta år.","Därför är detta argument felaktigt. Det andra argumentet som framförs är frågan om hållbarhet."
"SV1_20","SV",1,"Därför är detta argument felaktigt.","Vid denna tidpunkt kom vi på goda grunder överens om att dessa efterföljande bestämmelser skulle gälla i åtta år. Därefter skulle frågan behandlas på nytt.","Det andra argumentet som framförs är frågan om hållbarhet. Vi är alla för detta, och vi vet att kol givetvis ger upphov till stora koldioxidutsläpp."
"SV1_21","SV",1,"Det andra argumentet som framförs är frågan om hållbarhet.","Därefter skulle frågan behandlas på nytt. Därför är detta argument felaktigt.","Vi är alla för detta, och vi vet att kol givetvis ger upphov till stora koldioxidutsläpp. Ett beslut från kommissionen kan emellertid inte upphäva vetenskapens lagar."
"SV1_22","SV",1,"Vi är alla för detta, och vi vet att kol givetvis ger upphov till stora koldioxidutsläpp.","Därför är detta argument felaktigt. Det andra argumentet som framförs är frågan om hållbarhet.","Ett beslut från kommissionen kan emellertid inte upphäva vetenskapens lagar. Vad kommer att hända efteråt?"
"SV1_23","SV",1,"Ett beslut från kommissionen kan emellertid inte upphäva vetenskapens lagar.","Det andra argumentet som framförs är frågan om hållbarhet. Vi är alla för detta, och vi vet att kol givetvis ger upphov till stora koldioxidutsläpp.","Vad kommer att hända efteråt? Inhemskt kol kommer att ersättas av importerat kol."
"SV1_24","SV",1,"Vad kommer att hända efteråt?","Vi är alla för detta, och vi vet att kol givetvis ger upphov till stora koldioxidutsläpp. Ett beslut från kommissionen kan emellertid inte upphäva vetenskapens lagar.","Inhemskt kol kommer att ersättas av importerat kol. Det är det enda som kommer att ske."
"SV1_25","SV",1,"Inhemskt kol kommer att ersättas av importerat kol.","Ett beslut från kommissionen kan emellertid inte upphäva vetenskapens lagar. Vad kommer att hända efteråt?","Det är det enda som kommer att ske. Importerat kol orsakar precis lika stora koldioxidutsläpp som inhemskt kol."
"SV1_26","SV",1,"Det är det enda som kommer att ske.","Vad kommer att hända efteråt? Inhemskt kol kommer att ersättas av importerat kol.","Importerat kol orsakar precis lika stora koldioxidutsläpp som inhemskt kol. Problemet är helt enkelt att om vi inte längre har några referenspunkter kommer vi inte att kunna använda dem för att utveckla ny, modern teknik för gruvdrift och kraftverk."
"SV1_27","SV",1,"Importerat kol orsakar precis lika stora koldioxidutsläpp som inhemskt kol.","Inhemskt kol kommer att ersättas av importerat kol. Det är det enda som kommer att ske.","Problemet är helt enkelt att om vi inte längre har några referenspunkter kommer vi inte att kunna använda dem för att utveckla ny, modern teknik för gruvdrift och kraftverk. Europa är ledande på detta område och har en exportfördel."
"SV1_28","SV",1,"Problemet är helt enkelt att om vi inte längre har några referenspunkter kommer vi inte att kunna använda dem för att utveckla ny, modern teknik för gruvdrift och kraftverk.","Det är det enda som kommer att ske. Importerat kol orsakar precis lika stora koldioxidutsläpp som inhemskt kol.","Europa är ledande på detta område och har en exportfördel. Detta bör vi enligt min åsikt inte bara ge upp utan vidare."
"SV1_29","SV",1,"Europa är ledande på detta område och har en exportfördel.","Importerat kol orsakar precis lika stora koldioxidutsläpp som inhemskt kol. Problemet är helt enkelt att om vi inte längre har några referenspunkter kommer vi inte att kunna använda dem för att utveckla ny, modern teknik för gruvdrift och kraftverk.","Detta bör vi enligt min åsikt inte bara ge upp utan vidare. Det tredje argumentet är att stöd är skadligt och att det vore bättre att lägga dessa pengar på annat."
"SV1_30","SV",1,"Detta bör vi enligt min åsikt inte bara ge upp utan vidare.","Problemet är helt enkelt att om vi inte längre har några referenspunkter kommer vi inte att kunna använda dem för att utveckla ny, modern teknik för gruvdrift och kraftverk. Europa är ledande på detta område och har en exportfördel.","Det tredje argumentet är att stöd är skadligt och att det vore bättre att lägga dessa pengar på annat. Man kan inte invända mot detta argument eller mot marknadsradikalers inställning."
"SV1_31","SV",1,"Det tredje argumentet är att stöd är skadligt och att det vore bättre att lägga dessa pengar på annat.","Europa är ledande på detta område och har en exportfördel. Detta bör vi enligt min åsikt inte bara ge upp utan vidare.","Man kan inte invända mot detta argument eller mot marknadsradikalers inställning. Man kan inte motsäga en ideologi med fakta."
"SV1_32","SV",1,"Man kan inte invända mot detta argument eller mot marknadsradikalers inställning.","Detta bör vi enligt min åsikt inte bara ge upp utan vidare. Det tredje argumentet är att stöd är skadligt och att det vore bättre att lägga dessa pengar på annat.","Man kan inte motsäga en ideologi med fakta. Emellertid bör exempelvis påståendet att fortsatt stöd skulle bli för kostsamt ses i ljuset av vad en abrupt nedläggning av gruvdriften verkligen skulle innebära, om 2014 skulle bli ett abrupt stopp för kolbrytningen."
"SV1_33","SV",1,"Man kan inte motsäga en ideologi med fakta.","Det tredje argumentet är att stöd är skadligt och att det vore bättre att lägga dessa pengar på annat. Man kan inte invända mot detta argument eller mot marknadsradikalers inställning.","Emellertid bör exempelvis påståendet att fortsatt stöd skulle bli för kostsamt ses i ljuset av vad en abrupt nedläggning av gruvdriften verkligen skulle innebära, om 2014 skulle bli ett abrupt stopp för kolbrytningen. Det skulle resultera i ökade kostnader för att bekämpa arbetslöshet och framför allt ökade långsiktiga kostnader i samband med nedläggningar av gruvor."
"SV1_34","SV",1,"Emellertid bör exempelvis påståendet att fortsatt stöd skulle bli för kostsamt ses i ljuset av vad en abrupt nedläggning av gruvdriften verkligen skulle innebära, om 2014 skulle bli ett abrupt stopp för kolbrytningen.","Man kan inte invända mot detta argument eller mot marknadsradikalers inställning. Man kan inte motsäga en ideologi med fakta.","Det skulle resultera i ökade kostnader för att bekämpa arbetslöshet och framför allt ökade långsiktiga kostnader i samband med nedläggningar av gruvor. Detta är ett mycket komplicerat och komplext ämne."
"SV1_35","SV",1,"Det skulle resultera i ökade kostnader för att bekämpa arbetslöshet och framför allt ökade långsiktiga kostnader i samband med nedläggningar av gruvor.","Man kan inte motsäga en ideologi med fakta. Emellertid bör exempelvis påståendet att fortsatt stöd skulle bli för kostsamt ses i ljuset av vad en abrupt nedläggning av gruvdriften verkligen skulle innebära, om 2014 skulle bli ett abrupt stopp för kolbrytningen.","Detta är ett mycket komplicerat och komplext ämne. Kostnader för långsiktiga nedläggningar av gruvor fortsätter att uppstå i åratal, till och med i årtionden, efter det att kolbrytningen upphört."
"SV1_36","SV",1,"Detta är ett mycket komplicerat och komplext ämne.","Emellertid bör exempelvis påståendet att fortsatt stöd skulle bli för kostsamt ses i ljuset av vad en abrupt nedläggning av gruvdriften verkligen skulle innebära, om 2014 skulle bli ett abrupt stopp för kolbrytningen. Det skulle resultera i ökade kostnader för att bekämpa arbetslöshet och framför allt ökade långsiktiga kostnader i samband med nedläggningar av gruvor.","Kostnader för långsiktiga nedläggningar av gruvor fortsätter att uppstå i åratal, till och med i årtionden, efter det att kolbrytningen upphört. Dessa kostnader måste betalas ur den offentliga kassan."
"SV1_37","SV",1,"Kostnader för långsiktiga nedläggningar av gruvor fortsätter att uppstå i åratal, till och med i årtionden, efter det att kolbrytningen upphört.","Det skulle resultera i ökade kostnader för att bekämpa arbetslöshet och framför allt ökade långsiktiga kostnader i samband med nedläggningar av gruvor. Detta är ett mycket komplicerat och komplext ämne.","Dessa kostnader måste betalas ur den offentliga kassan. Vissa medlemsstater har emellertid system som gör att staten inte är ansvarig för dessa kostnader."
"SV1_38","SV",1,"Dessa kostnader måste betalas ur den offentliga kassan.","Detta är ett mycket komplicerat och komplext ämne. Kostnader för långsiktiga nedläggningar av gruvor fortsätter att uppstå i åratal, till och med i årtionden, efter det att kolbrytningen upphört.","Vissa medlemsstater har emellertid system som gör att staten inte är ansvarig för dessa kostnader. Därför håller inte heller detta argument."
"SV1_39","SV",1,"Vissa medlemsstater har emellertid system som gör att staten inte är ansvarig för dessa kostnader.","Kostnader för långsiktiga nedläggningar av gruvor fortsätter att uppstå i åratal, till och med i årtionden, efter det att kolbrytningen upphört. Dessa kostnader måste betalas ur den offentliga kassan.","Därför håller inte heller detta argument. Av dessa skäl rekommenderar jag att man tänker över detta igen så snart som möjligt och att man då tar hänsyn till vad som sägs i konsekvensbedömningen."
"SV1_40","SV",1,"Därför håller inte heller detta argument.","Dessa kostnader måste betalas ur den offentliga kassan. Vissa medlemsstater har emellertid system som gör att staten inte är ansvarig för dessa kostnader.","Av dessa skäl rekommenderar jag att man tänker över detta igen så snart som möjligt och att man då tar hänsyn till vad som sägs i konsekvensbedömningen. Annars kommer resultatet att bli regionala och socialpolitiska snedvridningar, vilket vi inte vill ha."
"SV1_41","SV",1,"Av dessa skäl rekommenderar jag att man tänker över detta igen så snart som möjligt och att man då tar hänsyn till vad som sägs i konsekvensbedömningen.","Vissa medlemsstater har emellertid system som gör att staten inte är ansvarig för dessa kostnader. Därför håller inte heller detta argument.","Annars kommer resultatet att bli regionala och socialpolitiska snedvridningar, vilket vi inte vill ha. Därför är förslaget om 2018 som tidsgräns högst förnuftigt."
"SV1_42","SV",1,"Annars kommer resultatet att bli regionala och socialpolitiska snedvridningar, vilket vi inte vill ha.","Därför håller inte heller detta argument. Av dessa skäl rekommenderar jag att man tänker över detta igen så snart som möjligt och att man då tar hänsyn till vad som sägs i konsekvensbedömningen.","Därför är förslaget om 2018 som tidsgräns högst förnuftigt."
"SV1_43","SV",1,"Därför är förslaget om 2018 som tidsgräns högst förnuftigt.","Av dessa skäl rekommenderar jag att man tänker över detta igen så snart som möjligt och att man då tar hänsyn till vad som sägs i konsekvensbedömningen. Annars kommer resultatet att bli regionala och socialpolitiska snedvridningar, vilket vi inte vill ha.",""
"SV2_1","SV",2,"Fru talman! Ett stort tack till Bernhard Rapkay för hans betänkande för parlamentets utskott för ekonomi och valutafrågor.","","Kommissionen har med stort intresse noggrant analyserat såväl betänkandet som de ändringsförslag som lagts fram inför denna debatt, och vi har konstaterat att betänkandet uttryckligen stöder en förlängning av tidsfristen för att lägga ned gruvor som inte är konkurrenskraftiga till 2018. Kommissionen är också medveten om att i de debatter som nyligen ägt rum i Ständiga representanternas kommitté (Coreper) stödde majoriteten tidsgränsen 2018, liksom föreslås i Bernhard Rapkays betänkande."
"SV2_2","SV",2,"Kommissionen har med stort intresse noggrant analyserat såväl betänkandet som de ändringsförslag som lagts fram inför denna debatt, och vi har konstaterat att betänkandet uttryckligen stöder en förlängning av tidsfristen för att lägga ned gruvor som inte är konkurrenskraftiga till 2018.","Fru talman! Ett stort tack till Bernhard Rapkay för hans betänkande för parlamentets utskott för ekonomi och valutafrågor.","Kommissionen är också medveten om att i de debatter som nyligen ägt rum i Ständiga representanternas kommitté (Coreper) stödde majoriteten tidsgränsen 2018, liksom föreslås i Bernhard Rapkays betänkande. När vi i kommissionen utarbetade förslaget till förordning och analyserade situationen var vi givetvis fullständigt medvetna om de sociala och regionala följderna av nedläggningar av kolgruvor i vissa regioner i EU."
"SV2_3","SV",2,"Kommissionen är också medveten om att i de debatter som nyligen ägt rum i Ständiga representanternas kommitté (Coreper) stödde majoriteten tidsgränsen 2018, liksom föreslås i Bernhard Rapkays betänkande.","Fru talman! Ett stort tack till Bernhard Rapkay för hans betänkande för parlamentets utskott för ekonomi och valutafrågor. Kommissionen har med stort intresse noggrant analyserat såväl betänkandet som de ändringsförslag som lagts fram inför denna debatt, och vi har konstaterat att betänkandet uttryckligen stöder en förlängning av tidsfristen för att lägga ned gruvor som inte är konkurrenskraftiga till 2018.","När vi i kommissionen utarbetade förslaget till förordning och analyserade situationen var vi givetvis fullständigt medvetna om de sociala och regionala följderna av nedläggningar av kolgruvor i vissa regioner i EU. När vi utarbetade förordningen tog vi emellertid också hänsyn till att vissa av gruvorna inte är konkurrenskraftiga."
"SV2_4","SV",2,"När vi i kommissionen utarbetade förslaget till förordning och analyserade situationen var vi givetvis fullständigt medvetna om de sociala och regionala följderna av nedläggningar av kolgruvor i vissa regioner i EU.","Kommissionen har med stort intresse noggrant analyserat såväl betänkandet som de ändringsförslag som lagts fram inför denna debatt, och vi har konstaterat att betänkandet uttryckligen stöder en förlängning av tidsfristen för att lägga ned gruvor som inte är konkurrenskraftiga till 2018. Kommissionen är också medveten om att i de debatter som nyligen ägt rum i Ständiga representanternas kommitté (Coreper) stödde majoriteten tidsgränsen 2018, liksom föreslås i Bernhard Rapkays betänkande.","När vi utarbetade förordningen tog vi emellertid också hänsyn till att vissa av gruvorna inte är konkurrenskraftiga. Den enda anledningen till att de har överlevt hittills är de ständiga tillskotten av offentliga medel och offentliga subventioner."
"SV2_5","SV",2,"När vi utarbetade förordningen tog vi emellertid också hänsyn till att vissa av gruvorna inte är konkurrenskraftiga.","Kommissionen är också medveten om att i de debatter som nyligen ägt rum i Ständiga representanternas kommitté (Coreper) stödde majoriteten tidsgränsen 2018, liksom föreslås i Bernhard Rapkays betänkande. När vi i kommissionen utarbetade förslaget till förordning och analyserade situationen var vi givetvis fullständigt medvetna om de sociala och regionala följderna av nedläggningar av kolgruvor i vissa regioner i EU.","Den enda anledningen till att de har överlevt hittills är de ständiga tillskotten av offentliga medel och offentliga subventioner. Enligt vårt förslag till förordning får medlemsstaterna därför möjlighet att bevilja ytterligare driftsstöd, men nu endast i syfte att underlätta en gradvis nedläggning av kolgruvor som inte är konkurrenskraftiga."
"SV2_6","SV",2,"Den enda anledningen till att de har överlevt hittills är de ständiga tillskotten av offentliga medel och offentliga subventioner.","När vi i kommissionen utarbetade förslaget till förordning och analyserade situationen var vi givetvis fullständigt medvetna om de sociala och regionala följderna av nedläggningar av kolgruvor i vissa regioner i EU. När vi utarbetade förordningen tog vi emellertid också hänsyn till att vissa av gruvorna inte är konkurrenskraftiga.","Enligt vårt förslag till förordning får medlemsstaterna därför möjlighet att bevilja ytterligare driftsstöd, men nu endast i syfte att underlätta en gradvis nedläggning av kolgruvor som inte är konkurrenskraftiga. Jag vill diskutera tre punkter som behandlas i betänkandet."
"SV2_7","SV",2,"Enligt vårt förslag till förordning får medlemsstaterna därför möjlighet att bevilja ytterligare driftsstöd, men nu endast i syfte att underlätta en gradvis nedläggning av kolgruvor som inte är konkurrenskraftiga.","När vi utarbetade förordningen tog vi emellertid också hänsyn till att vissa av gruvorna inte är konkurrenskraftiga. Den enda anledningen till att de har överlevt hittills är de ständiga tillskotten av offentliga medel och offentliga subventioner.","Jag vill diskutera tre punkter som behandlas i betänkandet. För det första vill jag ta upp förslaget om att bevilja driftsstöd eller investeringar för att göra gruvorna konkurrenskraftiga."
"SV2_8","SV",2,"Jag vill diskutera tre punkter som behandlas i betänkandet.","Den enda anledningen till att de har överlevt hittills är de ständiga tillskotten av offentliga medel och offentliga subventioner. Enligt vårt förslag till förordning får medlemsstaterna därför möjlighet att bevilja ytterligare driftsstöd, men nu endast i syfte att underlätta en gradvis nedläggning av kolgruvor som inte är konkurrenskraftiga.","För det första vill jag ta upp förslaget om att bevilja driftsstöd eller investeringar för att göra gruvorna konkurrenskraftiga. Det fanns redan en liknande bestämmelse i den tidigare förordningen om stöd till denna sektor."
"SV2_9","SV",2,"För det första vill jag ta upp förslaget om att bevilja driftsstöd eller investeringar för att göra gruvorna konkurrenskraftiga.","Enligt vårt förslag till förordning får medlemsstaterna därför möjlighet att bevilja ytterligare driftsstöd, men nu endast i syfte att underlätta en gradvis nedläggning av kolgruvor som inte är konkurrenskraftiga. Jag vill diskutera tre punkter som behandlas i betänkandet.","Det fanns redan en liknande bestämmelse i den tidigare förordningen om stöd till denna sektor. Den tidigare förordningen uppnådde emellertid i stort sett inte de önskade effekterna."
"SV2_10","SV",2,"Det fanns redan en liknande bestämmelse i den tidigare förordningen om stöd till denna sektor.","Jag vill diskutera tre punkter som behandlas i betänkandet. För det första vill jag ta upp förslaget om att bevilja driftsstöd eller investeringar för att göra gruvorna konkurrenskraftiga.","Den tidigare förordningen uppnådde emellertid i stort sett inte de önskade effekterna. Snarare än att styra kolgruvorna mot lönsamhet gav den i viss mån upphov till en moralisk risk."
"SV2_11","SV",2,"Den tidigare förordningen uppnådde emellertid i stort sett inte de önskade effekterna.","För det första vill jag ta upp förslaget om att bevilja driftsstöd eller investeringar för att göra gruvorna konkurrenskraftiga. Det fanns redan en liknande bestämmelse i den tidigare förordningen om stöd till denna sektor.","Snarare än att styra kolgruvorna mot lönsamhet gav den i viss mån upphov till en moralisk risk. Gruvorna subventionerades i den fåfänga förhoppningen att de så småningom skulle bli lönsamma."
"SV2_12","SV",2,"Snarare än att styra kolgruvorna mot lönsamhet gav den i viss mån upphov till en moralisk risk.","Det fanns redan en liknande bestämmelse i den tidigare förordningen om stöd till denna sektor. Den tidigare förordningen uppnådde emellertid i stort sett inte de önskade effekterna.","Gruvorna subventionerades i den fåfänga förhoppningen att de så småningom skulle bli lönsamma. Nu måste vi ta itu med konsekvenserna: Vi måste förlänga detta specialsystem för kolproduktion, eftersom dessa gruvor inte har blivit lönsamma, men inte heller har lagts ned."
"SV2_13","SV",2,"Gruvorna subventionerades i den fåfänga förhoppningen att de så småningom skulle bli lönsamma.","Den tidigare förordningen uppnådde emellertid i stort sett inte de önskade effekterna. Snarare än att styra kolgruvorna mot lönsamhet gav den i viss mån upphov till en moralisk risk.","Nu måste vi ta itu med konsekvenserna: Vi måste förlänga detta specialsystem för kolproduktion, eftersom dessa gruvor inte har blivit lönsamma, men inte heller har lagts ned. De gruvor som har trovärdiga utsikter till lönsamhet behöver i vilket fall inte något statligt stöd, utan kan få det nödvändiga kapitalet från kapital- eller finansmarknaderna."
"SV2_14","SV",2,"Nu måste vi ta itu med konsekvenserna: Vi måste förlänga detta specialsystem för kolproduktion, eftersom dessa gruvor inte har blivit lönsamma, men inte heller har lagts ned.","Snarare än att styra kolgruvorna mot lönsamhet gav den i viss mån upphov till en moralisk risk. Gruvorna subventionerades i den fåfänga förhoppningen att de så småningom skulle bli lönsamma.","De gruvor som har trovärdiga utsikter till lönsamhet behöver i vilket fall inte något statligt stöd, utan kan få det nödvändiga kapitalet från kapital- eller finansmarknaderna. För det andra vill jag förklara varför vi i vårt förslag anser det vara nödvändigt att ha en plan för att minimera miljökonsekvenserna."
"SV2_15","SV",2,"De gruvor som har trovärdiga utsikter till lönsamhet behöver i vilket fall inte något statligt stöd, utan kan få det nödvändiga kapitalet från kapital- eller finansmarknaderna.","Gruvorna subventionerades i den fåfänga förhoppningen att de så småningom skulle bli lönsamma. Nu måste vi ta itu med konsekvenserna: Vi måste förlänga detta specialsystem för kolproduktion, eftersom dessa gruvor inte har blivit lönsamma, men inte heller har lagts ned.","För det andra vill jag förklara varför vi i vårt förslag anser det vara nödvändigt att ha en plan för att minimera miljökonsekvenserna. Detta tas upp i artikel 3.1 i vårt förslag."
"SV2_16","SV",2,"För det andra vill jag förklara varför vi i vårt förslag anser det vara nödvändigt att ha en plan för att minimera miljökonsekvenserna.","Nu måste vi ta itu med konsekvenserna: Vi måste förlänga detta specialsystem för kolproduktion, eftersom dessa gruvor inte har blivit lönsamma, men inte heller har lagts ned. De gruvor som har trovärdiga utsikter till lönsamhet behöver i vilket fall inte något statligt stöd, utan kan få det nödvändiga kapitalet från kapital- eller finansmarknaderna.","Detta tas upp i artikel 3.1 i vårt förslag. Statligt stöd snedvrider konkurrensen."
"SV2_17","SV",2,"Detta tas upp i artikel 3.1 i vårt förslag.","De gruvor som har trovärdiga utsikter till lönsamhet behöver i vilket fall inte något statligt stöd, utan kan få det nödvändiga kapitalet från kapital- eller finansmarknaderna. För det andra vill jag förklara varför vi i vårt förslag anser det vara nödvändigt att ha en plan för att minimera miljökonsekvenserna.","Statligt stöd snedvrider konkurrensen. Därför innehåller fördraget bestämmelser där sådant stöd förklaras oförenligt med den inre marknaden i en lång rad fall."
"SV2_18","SV",2,"Statligt stöd snedvrider konkurrensen.","För det andra vill jag förklara varför vi i vårt förslag anser det vara nödvändigt att ha en plan för att minimera miljökonsekvenserna. Detta tas upp i artikel 3.1 i vårt förslag.","Därför innehåller fördraget bestämmelser där sådant stöd förklaras oförenligt med den inre marknaden i en lång rad fall. Driftsstöd kan bara godkännas om det sannolikt kommer att ha positiva effekter."
