sentenceid,speechno,language,_golden,subsidy_scale,subsidy_scale_gold,subsidy_scale_gold_reason,screener,sentence_text,pre_sentence,post_sentence
11,0,GR,TRUE,,-1,"Αυτή η δήλωση είναι κατά των επιδοτήσεων, επειδή υποστηρίζει την πρόταση της Επιτροπής για την κατάργησή τους από το 2014 παρά την επέκτασή τους το 2018 ή αργότερα.",FALSE,Αυτά τα κεφάλαια δεν δαπανούνται για την ανάπτυξη βιώσιμων και ανταγωνιστικών βιομηχανιών για το μέλλον.,"
Υποστηρίζω την πρόταση της Επιτροπής για τη σταδιακή κατάργηση των κρατικών ενισχύσεων το 2014 για τα ορυχεία που δεν είναι ανταγωνιστικά από την εν λόγω ημερομηνία. Το κόστος της υποστήριξης μη ανταγωνιστικών θέσεων εργασίας είναι πολύ υψηλότερο από σχεδόν οποιοδήποτε άλλο τομέα.","
Ως εκ τούτου, πιστεύω ότι είναι σωστή η σταδιακή κατάργηση των κρατικών επιδοτήσεων για μη ανταγωνιστικά ορυχεία το 2014, και η επένδυση των χρημάτων που καθίστανται διαθέσιμα στον τομέα έρευνας & ανάπτυξης και στον τομέα  εκπαίδευσης &  κατάρτισης."
12,0,GR,TRUE,,-1,"Αυτή η δήλωση είναι κατά των επιδοτήσεων, επειδή υποστηρίζει την πρόταση της Επιτροπής για την κατάργησή τους από το 2014 παρά την επέκτασή τους έως το 2018 ή αργότερα.",FALSE,Αυτός είναι ο λόγος που το σχέδιο για τον τερματισμό των επιδοτήσεων από το 2014 είναι μια εξαιρετικά λογική πρόταση.,"Για το λόγο αυτό, συμφωνώ με την έρευνα εκτίμησης των επιπτώσεων. Σε αντίθετη περίπτωση, το αποτέλεσμα θα είναι να υπονομεύσουμε περαιτέρω ανταγωνιστικό περιβάλλον μας, κάτι που κανείς δεν θέλει.",
13,0,GR,TRUE,,-1,"Αυτή η δήλωση είναι κατά των επιδοτήσεων, επειδή υποστηρίζει την πρόταση της Επιτροπής για την κατάργησή τους από το 2014, παρά την επέκτασή τους το 2018 ή αργότερα.",FALSE,"Συνεπώς, η πρόταση μας εγκαθιστά μια σταδιακή μείωση των ενισχύσεων, με στόχο να  αφαιρεθούν εντελώς από το 2014.","Τέλος, το τελευταίο μου σημείο είναι ότι όταν ο στόχος της ενίσχυσης λειτουργίας είναι να συμβάλει σε μια μετάβαση προς το κλείσιμο των μη-ανταγωνιστικών ορυχείων, είναι σαφές ότι αυτό το κλείσιμο θα πρέπει να είναι τελικός στόχος μας. Τα στάδια πρέπει να καθορίζουν σαφώς το σχέδιο παύσης λειτουργίας, ενώ  το σχέδιο πρέπει επίσης να περιλαμβάνει το ποσοστό μείωσης των ενισχύσεων κατά τη διάρκεια της μεταβατικής περιόδου.","Έχοντας πει όλα αυτά, θα ήθελα να ευχαριστήσω και πάλι τον κ Rapkay και όλους όσοι συνέβαλαν στην έκθεση που εξετάζουμε."
14,0,GR,TRUE,,-1,"Αυτή η δήλωση είναι κατά των επιδοτήσεων, επειδή υποστηρίζει την πρόταση της Επιτροπής για την κατάργησή τους από το 2014 παρά την επέκτασή τους έως το 2018 ή αργότερα.",FALSE,"Για τους λόγους αυτούς, υποστηρίζουμε την πρόταση για σταδιακή κατάργηση των επιδοτήσεων ως το 2014, αλλά όχι για περισσότερο χρόνο.",Το σχέδιο που αναφέρεται στην πρόταση της Επιτροπής είναι καλά τεκμηριωμένο με στοιχεία. Αυτά τα στοιχεία περιγράφονται σαφώς  στην έρευνα επιπτώσεων.,"
Το σχέδιο για τον τερματισμό των προαναφερόμενων μη βιώσιμων ρυθμίσεων μέχρι το 2014 είναι ήδη ένας συμβιβασμός. Θα πρέπει να συμφωνήσουμε με αυτή την λογική πρόταση αντί να συνεχίζουμε να καθυστερούμε το αναπόφευκτο."
15,0,GR,TRUE,,0,"Αυτή η δήλωση είναι μια ουδέτερη αναφορά που δεν παίρνει θέση υπέρ ή κατά των επιδοτήσεων, της έκθεσης της Επιτροπής ή ένος χρονοδιάγραμματος για τη σταδιακή κατάργηση των κρατικών ενισχύσεων.",FALSE,Ήταν μια νέα συμφωνία.,"Υπάρχει το επιχείρημα ότι το καθεστώς κρατικών ενισχύσεων που εδραιώθηκε το 2002, το οποίο πρόκειται να λήξει, ήταν μια ρύθμιση για τη σταδιακή κατάργηση  της εξόρυξης άνθρακα. Αυτό δεν είναι εντελώς ακριβές.","Το ξέρω αυτό, επειδή ήμουν εκεί και ήμουν ο εισηγητής του Κοινοβουλίου το 2002. Επίσης εκεί ήταν πολλοί από τους συναδέλφους μου."
16,0,GR,TRUE,,0,"Αυτή η δήλωση είναι μια ουδέτερη αναφορά που δεν παίρνει θέση υπέρ ή κατά των επιδοτήσεων, της έκθεσης της Επιτροπής ή ένος χρονοδιάγραμματος για τη σταδιακή κατάργηση των κρατικών ενισχύσεων.",FALSE,Θα ήθελα να αναφερθώ σε τρία σημεία της έκθεσης.,"Ωστόσο, κατά την κατάρτιση του κανονισμού, πήραμε επίσης όλα τα διαθέσιμα στοιχεία υπόψη. Στην πρότασή μας για μια ρύθμιση, θα επιτρέπεται στα κράτη μέλη να χορηγούν πρόσθετη ενίσχυση λειτουργίας, αλλά σε αυτή την περίπτωση, με επίκεντρο το θέμα του χρονικού πλαισίου.","Πρώτον, η πρόταση για τη χορήγηση λειτουργικών ενισχύσεων ή επενδύσεων προκειμένου να γίνουν τα ορυχεία ανταγωνιστική. Υπήρχε ήδη μια παρόμοια διάταξη στον προηγούμενο κανονισμό σχετικά με τις ενισχύσεις στον τομέα."
17,0,GR,TRUE,,0,"Αυτή η δήλωση είναι μια ουδέτερη αναφορά που δεν παίρνει θέση υπέρ ή κατά των επιδοτήσεων, της έκθεσης της Επιτροπής ή ένος χρονοδιάγραμματος για τη σταδιακή κατάργηση των κρατικών ενισχύσεων.",FALSE,Πρέπει να λάβουμε υπόψη δύο επιπλέον ζητήματα.,"Ο στόχος της πρότασής μας είναι να διασφαλίσουμε ότι οι προθεσμίες αυτές τηρούνται άπαξ και δια παντός. Αυτή είναι μια στιγμή που, σε αντίθεση με το πλαίσιο στο οποίο γίνονταν συζητήσεις στο παρελθόν, θα πρέπει να λαμβάνεται υπόψη η ενίσχυση της εξόρυξης άνθρακα.","Η πρώτη είναι η πρόκληση της κλιματικής αλλαγής, την οποία έχουμε συζητήσει πολλές φορές και για την οποία η Ευρωπαϊκή Ένωση έχει πολύ συγκεκριμένους στόχους. Το δεύτερο ζήτημα είναι ο αντίκτυπος της κρίσης και ο προκύπτων δανεισμός των κρατικών προϋπολογισμών, σε εθνικό επίπεδο, καθώς αυτό θέτει ακόμη μεγαλύτερη πίεση στα δημόσια οικονομικά."
18,0,GR,TRUE,,0,"Αυτή η δήλωση είναι μια ουδέτερη αναφορά που δεν παίρνει θέση υπέρ ή κατά των επιδοτήσεων, της έκθεσης της Επιτροπής ή ένος χρονοδιάγραμματος για τη σταδιακή κατάργηση των κρατικών ενισχύσεων.",FALSE,Όπως γνωρίζετε -ο κ Kovacs αναφέρθηκε νωρίτερα - αυτός είναι ένας κανονισμός του Συμβουλίου.,"Υπάρχει επίσης μια συζήτηση στο Συμβούλιο, και εμείς θα περιμένουμε για τη συνεδρίαση του Συμβουλίου στις αρχές Δεκεμβρίου για να δούμε ποια είναι η θέση του Συμβουλίου. Βεβαίως υπήρξε μια συζήτηση στην Επιτροπή, και θα υπάρξει και άλλη.","Η γνώμη του Ευρωπαϊκού Κοινοβουλίου είναι πολύ σημαντική, αλλά η Συνθήκη ορίζει ότι,σε θέματα κρατικών ενισχύσεων ο κανονισμός είναι κανονισμός του Συμβουλίου. Το Συμβούλιο θα καθορίσει τη θέση του."
19,0,GR,TRUE,,0,"Αυτή η δήλωση είναι μια ουδέτερη αναφορά που δεν παίρνει θέση υπέρ ή κατά των επιδοτήσεων, της έκθεσης της Επιτροπής ή ένος χρονοδιάγραμματος για τη σταδιακή κατάργηση των κρατικών ενισχύσεων.",FALSE,Το Συμβούλιο θα καθορίσει τη θέση του.,"Η Συνθήκη ορίζει ότι, σε θέματα κρατικών ενισχύσεων, ο κανονισμός είναι κανονισμός του Συμβουλίου.","Αυτή τη στιγμή - κατά την τελευταία συνεδρίαση της Επιτροπής των Μόνιμων Αντιπροσώπων - η ομάδα εξέφρασε μια ξεκάθαρη θέση. Εκτός εάν το Συμβούλιο αποφασίσει ομόφωνα, η πρόταση της Επιτροπής δεν μπορεί να τροποποιηθεί νομικά."
20,0,GR,TRUE,,0,"Αυτή η δήλωση είναι μια ουδέτερη αναφορά, που επισημαίνονει τις δύο πλευρές της συζήτησης.",FALSE,Έχουμε όλοι εξετάσει τα επιχειρήματα τόσο υπέρ όσο και κατά της πρότασης για τη συνέχεια των επιδοτήσεων για τα ανθρακωρυχεία.,"Το κλείσιμο ανθρακωρυχείων μπορεί να έχει σημαντικές κοινωνικές επιπτώσεις. Την ίδια στιγμή, το κλείσιμο ορυχείων θα έχει επίσης σημαντικό αντίκτυπο στον τομέα της ενέργειας.","Ωστόσο, εμείς αποφασίζουμε και άποψή μας είναι ότι πρέπει να επιτύχουμε μια λεπτή ισορροπία μεταξύ της ανάγκης για ανταγωνιστικότητα και την ανάγκη να ελαχιστοποιήσουμε τις δυνητικά δυσμενείς κοινωνικοοικονομικές συνέπειες του κλεισίματος."
21,0,GR,TRUE,,0,"Αυτή η δήλωση είναι μια ουδέτερη αναφορά που δεν παίρνει θέση υπέρ ή κατά των επιδοτήσεων, της έκθεσης της Επιτροπής ή ένος χρονοδιάγραμματος για τη σταδιακή κατάργηση των κρατικών ενισχύσεων.",FALSE,Αυτό είναι τόσο αξιοθαύμαστο όσο και αξιοσημείωτο.,"Υπάρχουν καλοί λόγοι για τους οποίους εσείς και ο Πρόεδρος της Επιτροπής, κύριε Barroso, λάβατε μέρος στη συζήτηση. Χαίρομαι που η Επιτροπή είναι σε θέση να συζητήσει θέματα τόσο ανοιχτά από άποψη ρυθμιστική.",Είμαστε πολύ ευγνώμονες για τη συμβολή σας.
22,0,GR,TRUE,,0,"Αυτή η δήλωση είναι μια ουδέτερη αναφορά που δεν παίρνει θέση υπέρ ή κατά των επιδοτήσεων, της έκθεσης της Επιτροπής ή ένος χρονοδιάγραμματος για τη σταδιακή κατάργηση των κρατικών ενισχύσεων.",FALSE,Θα ήθελα να παρουσιάσω μια διαφορετική προοπτική.,"Κυρία Πρόεδρε, έχουμε ήδη ακούσει τις απόψεις των συναδέλφων μου οι οποίοι τόνισαν πόσο σημαντικός είναι άνθρακας για την ενεργειακή ασφάλεια της ευρωπαϊκής οικονομίας.","Σε ορισμένες χώρες, υπάρχει μια αυξανόμενη ανησυχία για τις περιβαλλοντικές επιπτώσεις της χρήσης μη-ανανεώσιμων πηγών ενέργειας. Ταυτόχρονα, υπάρχει αυξανόμενη ανησυχία για τους κινδύνους της πυρηνικής ενέργειας."
23,0,GR,TRUE,,0,"Αυτή η δήλωση είναι μια ουδέτερη αναφορά που δεν παίρνει θέση υπέρ ή κατά των επιδοτήσεων, της έκθεσης της Επιτροπής ή ένος χρονοδιάγραμματος για τη σταδιακή κατάργηση των κρατικών ενισχύσεων.",FALSE,"Σε αυτό το πλαίσιο, θα ήθελα να συγχαρώ τον εισηγητή, κ Rapkay","Τέλος, έχει αναφερθεί η οικονομία του 21ου αιώνα. Πιστεύω ότι θα πρέπει να συμμετέχουμε σε αυτή την οικονομία αλλά ταυτόχρονα, θα πρέπει να επικεντρωθούμε στη διαφοροποίηση του σημερινού δυναμικού της.",
24,0,GR,TRUE,,0,"Αυτή η δήλωση είναι μια ουδέτερη αναφορά που δεν παίρνει θέση υπέρ ή κατά των επιδοτήσεων, της έκθεσης της Επιτροπής ή ένος χρονοδιάγραμματος για τη σταδιακή κατάργηση των κρατικών ενισχύσεων.",FALSE,Έχω μόνο ένα αίτημα από την Επιτροπή.,Το ερώτημα τώρα είναι αν το 2014 ή το 2018 είναι η κατάλληλη προθεσμία. Έχουμε ακούσει όλοι μια σειρά έξυπνων επιχειρημάτων που δεν θα επαναλάβω.,Το βάρος πέφτει τώρα σε μας να πάρουμε μια σωστή απόφαση. Ελπίζω ότι οι συνάδελφοί μου θα εξετάσουν τα θέματα πολύ προσεκτικά.
25,0,GR,TRUE,,0,"Αυτή η δήλωση είναι μια ουδέτερη αναφορά που δεν παίρνει θέση υπέρ ή κατά των επιδοτήσεων, της έκθεσης της Επιτροπής ή ένος χρονοδιάγραμματος για τη σταδιακή κατάργηση των κρατικών ενισχύσεων.",FALSE,Πρόκειται για έναν κανονισμό του Συμβουλίου.,"Θα ήθελα να ευχαριστήσω την ομάδα εργασίας για τις προσεκτικές προσπάθειές της, σε στενή συνεργασία με την ομάδα των  Χριστιανοδημοκρατικών.  Η διαδικασία εξακολουθεί να βασίζεται στον Κανονισμό 17 που χρονολογείται από το 1965.","Υπάρχει ένα παραθυράκι στη Συνθήκη της Λισαβόνας, η οποία σημαίνει ότι οι κανονισμοί βάσει του δικαίου του ανταγωνισμού δεν αποτελούν μέρος της διαδικασίας συναπόφασης του Ευρωπαϊκού Κοινοβουλίου. Ως εκ τούτου, χρειαζόμαστε τώρα - τουλάχιστον σε ό, τι αφορά τη δήλωση μας - μια ευρεία πλειοψηφία."
26,0,GR,TRUE,,0,"Αυτή η δήλωση είναι μια ουδέτερη αναφορά που δεν παίρνει θέση υπέρ ή κατά των επιδοτήσεων, της έκθεσης της Επιτροπής ή ένος χρονοδιάγραμματος για τη σταδιακή κατάργηση των κρατικών ενισχύσεων.",FALSE,"Κυρία Πρόεδρε, αυτό δεν είναι ένα απλό ζήτημα.",,"Επομένως, είναι σημαντικό για εμάς στο Κοινοβούλιο να δημιουργήσουμε μια καλά ισορροπημένη θέση. Υπάρχουν δύο κύριες πτυχές που πρέπει να ληφθούν υπόψη."
27,0,GR,TRUE,,0,"Αυτή η δήλωση είναι μια ουδέτερη αναφορά που δεν παίρνει θέση υπέρ ή κατά των επιδοτήσεων, της έκθεσης της Επιτροπής ή ένος χρονοδιάγραμματος για τη σταδιακή κατάργηση των κρατικών ενισχύσεων.",FALSE,Η συζήτηση επικεντρώθηκε σε τρία βασικά σημεία,Είναι εξαιρετικά σημαντικό όλες αυτές τις ευκαιρίες να αξιοποιηθούν πλήρως από τις εθνικές και περιφερειακές αρχές.  Επενδύσεις μεγάλης κλίμακας σε ενεργές πρωτοβουλίες για την αγορά εργασίας και εκτενή μέτρα περιβαλλοντικής αποκατάστασης είναι απαραίτητα ώστε το τελικό αποτέλεσμα να είναι αποδεκτό από τις περιοχές αυτές.,"Πρώτον, έχει προταθεί ότι τα ανθρακωρυχεία που γίνονται ανταγωνιστικά κατά τη διάρκεια της περιόδου αποκλεισμού θα πρέπει να μπορούν να συνεχίσουν να λειτουργούν. Κατά τη γνώμη μου, το θέμα αυτό απαιτεί πολύ προσεκτική εξέταση."
28,0,GR,TRUE,,0,"Αυτή η δήλωση είναι μια ουδέτερη αναφορά που δεν παίρνει θέση υπέρ ή κατά των επιδοτήσεων, της έκθεσης της Επιτροπής ή ένος χρονοδιάγραμματος για τη σταδιακή κατάργηση των κρατικών ενισχύσεων.",FALSE,"Έτσι, πρέπει να ψηφίσουν με τρόπο που εκφράζει τις απόψεις τους.",Έχουμε ζητήσει μια ξεχωριστή ψηφοφορία για τις τροπολογίες 25 και 27.,"Ό, τι και αν αποφασίσουμε εδώ σήμερα, θα πρέπει να στείλουμε ένα σαφές μήνυμα προς την Επιτροπή. Πρέπει να δείξουμε ότι το Κοινοβούλιο είναι σε θέση να εξετάζει το παρελθόν αλλά και να έχει το βλέμμα στραμμένο στο μέλλον."
29,0,GR,TRUE,,0,"Αυτή η δήλωση είναι μια ουδέτερη αναφορά που δεν παίρνει θέση υπέρ ή κατά των επιδοτήσεων, της έκθεσης της Επιτροπής ή ένος χρονοδιάγραμματος για τη σταδιακή κατάργηση των κρατικών ενισχύσεων.",FALSE,Το Συμβούλιο θα καθορίσει τη θέση του.,"Όπως αναφέρθηκε προηγουμένως, αυτός είναι ένας κανονισμός του Συμβουλίου. Η γνώμη του Ευρωπαϊκού Κοινοβουλίου είναι πολύ σημαντική, αλλά η Συνθήκη ορίζει ότι, σε θέματα κρατικών ενισχύσεων ο κανονισμός είναι κανονισμός του Συμβουλίου.",Αυτή τη στιγμή - κατά την τελευταία συνεδρίαση της Επιτροπής των Μόνιμων Αντιπροσώπων - συζητήσαμε διεξοδικά και σαφώς την μελέτη επιπτώσεων που βλέπετε μπροστά σας σήμερα.
30,0,GR,TRUE,,1,"Η δήλωση αυτή υποστηρίζει ότι οι κρατικές ενισχύσεις πρέπει να παραταθούν αντί να καταργηθούν σταδιακά μέχρι το 2014, σύμφωνα με την πρόταση της Επιτροπής.",FALSE,"Για τους λόγους αυτούς, η δικαιολογία για την επιτάχυνση του κλεισίματος είναι λάθος.","Το περιβαλλοντικό μας αποτύπωμα μας είναι πολύ χειρότερο με τον εισαγόμενο άνθρακα, διότι πρέπει να μεταφερθεί εδώ από τον Καναδά, την Αυστραλία ή άλλες περιοχές του κόσμου.","Ο περιορισμός της ικανότητάς μας να παράγουμε ευρωπαϊκό άνθρακα από τα ευρωπαϊκά ορυχεία θα οδηγήσει τελικά σε περισσότερη ρύπανση και μεγαλύτερη απελευθέρωση διοξειδίου του άνθρακα, όχι λιγότερη. Από αυτή την άποψη, οι απόψεις που εκφράζουν υποστήριξη για τη σταδιακής κατάργηση είναι εσφαλμένη."
