"sentenceid","sentence_text","policy_area_gold","econ_scale_gold","soc_scale_gold","_golden","pre_sentence","post_sentence","policy_area_gold_reason","codesneeded","econ_scale_gold_min","econ_scale_gold_max","soc_scale_gold_min","soc_scale_gold_max"
"20005911","Our Rent-a-Room scheme will help satisfy the need, particularly among single, young people, for rented accommodation and will make it easier for them to travel to seek work",,,,,"We will build on the YTS to turn youth training into a fully comprehensive, high quality vocational and educational programme for 16-19 year olds We will offer a job guarantee for our young people who have been unemployed for over a year","We will abolish the 18-24 income support rate so that all single people will receive the same rate of personal allowance We will review the duties of local authorities to house the homeless and in the first instance will aim to give 16-18 year olds leaving local authority care, a statutory right to be housed",,1,,,,
"20006761","these schemes would be run by their tenants as co-operatives with the support of local councils and Housing Associations.",,,,,"We will require each housing authority to draw up a housing strategy to determine what are the areas of need and how they can best be met working with voluntary organisation, housing associations, building societies and the private sector, as Alliance groups on local councils are already doing We will open up a new 'partnership' sector of rented housing funded by building societies and institutions with a central government contribution to keep rents at reasonable levels","In the long run we want public support for housing costs to be even-handed between those who rent and those who buy We will target our housing assistance on those who most need it.",,1,,,,
"30000121","Under the Tories there have been: Eight years of record unemployment, relentless industrial closures and redundancies, of flooding imports and shrunken investment.",,,,,"It will decide whether Britain is part of the international process of nuclear build down or ruled by a government uniquely intent upon nuclear build-up. We already know what a third term for Mrs Thatcher would mean for the people of Britain.","Eight years of the highest ever tax burden on the family and the nation as VAT, National Insurance, rates and fees have all been put up in a shift to taxes on spending and employment. Eight years of cuts and closures and charges, of intensified means tests and reduced services.",,1,,,,
"30001751","Our Charter for Womens' Health will include a network of Well-Women Clinics, and a computerised call and recall screening system as a universal service for all women at risk of cervical and breast cancer.",,,,,"We will develop local family health care teams and more local health centres. Women's health care has been seriously neglected.","We shall see that all women have the chance to see a woman doctor if they choose. We will step up the fight against AIDS by increasing research resources to find a vaccine or cure and also ensure adequate resources for the supply of drugs capable of arresting the affliction.",,1,,,,
"30001781","We will improve outpatient and emergency facilities and ambulance services and repair and build hospitals.",,,,,"We shall see that all women have the chance to see a woman doctor if they choose. We will step up the fight against AIDS by increasing research resources to find a vaccine or cure and also ensure adequate resources for the supply of drugs capable of arresting the affliction.","We intend to improve both the quantity and quality of services for the National Health. The Tories have increased prescription charges twelve fold.",,1,,,,
"30002001","We will make nursery education available for all three- and four-year-olds whose parents want this opportunity.",,,,,"We must see that it is democratic and just, that it is creative and compassionate, and that it is one in which they can fully exploit the advantages of science and technology with confidence and in safety. In pursuit of those objectives, Labour will invest in education so that the abilities of all children and adults from all home back grounds and in every part of our country are discovered and nourished.","We will make provision for smaller classes and ensure that children have up-to-date books, equipment and buildings without having to depend on fund-raising for those essentials. The entitlement to free school meals and the restoration of nutritional standards are, like the strengthening of the school health service, commitments which are necessary to safeguard the physical and social wellbeing of growing children.",,1,,,,
"30002021","The entitlement to free school meals and the restoration of nutritional standards are, like the strengthening of the school health service, commitments which are necessary to safeguard the physical and social wellbeing of growing children.",,,,,"We will make nursery education available for all three- and four-year-olds whose parents want this opportunity. We will make provision for smaller classes and ensure that children have up-to-date books, equipment and buildings without having to depend on fund-raising for those essentials.","We will see that teachers are recognised properly as well qualified professionals, in their systems of rewards, in the procedures for negotiation of their employment conditions and in participation in the development of education. In addition we shall work with local education authorities to secure a flexible but clear core curriculum agreed at national level, a School Standards Council, and a new profile of achievement recording individual progress through school for all pupils.",,1,,,,
"30002091","These policies will all contribute to raising standards of performance in schools.",,,,,"There will be maintenance allowances for 16- to 18-year- olds whose family circumstances would other wise impede their further education. We will spread the provision of a comprehensive tertiary system of post-school education.","At the same time as we improve the quality of publicly provided education, we shall end the 11 plus everywhere and stop the diverting of precious resources that occurs through the Assisted Places Scheme and the public subsidies to private schools. Labour values the research and teaching contribution made by Britain's higher education system.",,1,,,,
"30002431","Drug trafficking is increasing.",,,,,"Millions of women are scared to go out at night. Many old people lock themselves into their homes.","Labour will take urgent action to make people safer. Our crime prevention programme will: Help local councils to implement a Safer Streets policy, with more street-lighting, more caretakers, park-keepers and other public employees whose presence deters crime.",,1,,,,
"30003321","We will legislate for them to have the same hourly rates, rights to sick pay, paid holidays and job security as full-time workers.",,,,,"In particular, women must have the right to work and equal rights at work. In addition to our new provision for training opportunities and protection against discrimination, Labour will help the large number of women who are part-time workers.","We will give homeworkers the status and rights of employees introduce effective laws for equal pay for work of equal value provide better-paid leave for parents when their child is born and encourage a shorter, more flexible working week. Democracy in the Workplace. Workers' rights have been eroded, or in some cases removed entirely, during the Thatcher years.",,1,,,,
"30003401","We shall make the legislation apply from the time of employment.",,,,,"New laws will strengthen the legal rights of representation, bargaining and trade unionism that are essential in a modern democracy.  Improve the protection available against unfair dismissal.","Reinstatement will be the normal outcome of a successful finding of unfair treatment. We will ensure that justice is done in cases where miners have been unfairly dismissed.",,1,,,,
"30003471"," Take steps to develop stable and effective negotiating machinery, promote trade union membership and organisation, and encourage union recognition by employers.",,,,," Restore provision for fair pay, such as the Fair Wages Resolution, Schedule 11 of the 1975 Employment Protection Act and the powers of the Wages Councils.  Strengthen ACAS to put more emphasis on conciliation and arbitration."," Restore the right to belong to a trade union to every employee - including those at GCHQ.  Ensure that the law guarantees the essential legal freedom of workers and their unions to organise effective industrial action.",,1,,,,
"30003511","These will be based on a right for union members to have a secret ballot on decisions relating to strikes, and for the method of election of union executives to be based on a system of secret ballots.",,,,," Ensure that the law guarantees the essential legal freedom of workers and their unions to organise effective industrial action.  Provide a statutory framework of measures to underpin the participative rights of union members, for example by laying down general principles for inclusion in union rule books."," In consultation with the TUC, we will establish a new independent tribunal, presided over by a legally-qualified person. This will have the duty of acting on complaints by union members if they consider that these statutory principles have been breached.",,1,,,,
"30003631","We will make producers strictly liable for defective products.",,,,,"Labour's Charter for Consumers will provide proper safeguards suited to modern conditions. There will be firmer protection against unsafe goods.","We will provide easier means of redress for purchasers and stiffer penalties to deter illegal practices. We will take action to make sure that public bodies respond better to the needs and complaints of people who use their services.",,1,,,,
"30003901","We will support the imposition by the UN Security Council of comprehensive mandatory economic sanctions and provide help to the Front Line States who bear the brunt of South African military and economic attack.",,,,,"The Thatcher government has made no real effort to foster freedom in South Africa and Namibia. Labour will make the arms embargo complete, halt investment and commercial loans and ensure that British measures against apartheid embrace those already adopted by the US Congress, the Commonwealth and the EEC.","We uphold the principle that it is wrong for one country to dominate or threaten another. We oppose the Soviet presence in Afghanistan.",,1,,,,
"30004151","Trident's cost of up to £10 billion will take up so much of our defence budget as to deny modern and necessary equipment to our front line forces.",,,,,"The Polaris system of nuclear delivery is ageing and will soon be obsolete. The Tories are buying the expensive American Trident system - a policy which increases nuclear armament without increasing security and, at the same time, diminishes our effective defences.","Indeed, this process is already happening. Labour rejects this dishonest and expensive policy.",,1,,,,
"40000191","We have turned around our economic fortunes.",,,,,"The nation state is under threat. We must respond to these challenges.","We have fewer people out of work and more in work than any other major European economy. British people now have the opportunity of a prosperous future.",,1,,,,
"40000271","We have strengthened choice and personal ownership for families, and rolled back the state from areas where it was interfering unnecessarily in our lives.",,,,,"It means a continuing fight to keep burdens off business, maintaining our opt-out of the European Social Chapter. If we relax for one moment, our hard won success will slip away again.","But we now have the opportunity to achieve a massive expansion in wealth and ownership so that more families can enjoy the self-respect and independence that comes with being self-sufficient from the state. Our far-reaching proposals for personal pension funds are central to achieving this - so too are our plans to increase support for the family in our tax system.",,1,,,,
"40000311","To turn the have nots into the haves.",,,,,"Our far-reaching proposals for personal pension funds are central to achieving this - so too are our plans to increase support for the family in our tax system. Our aim is to spread opportunity for all to succeed, whoever they are and wherever they come from, provided they are prepared to work hard.","To support the family in providing security and stability. We have modernised and reformed many of the areas where the state still has a vital role.",,1,,,,
"40001581","We are also tackling a problem that hits small businesses particularly hard - the late payment of bills.",,,,,"No businessman has time to fill out reams of forms. We will continue to simplify the administration of NICs and PAYE for small firms, allowing them to concentrate on satisfying customers not bureaucrats.","On top of our programme to ensure government departments and local authorities pay on time we have legislated to require companies to publish their payment policy and to report their record on how quickly they pay their bills to small businesses. We have already abolished over a thousand regulations.",,1,,,,
"40002251","There are now around 10 million private shareholders, up from about 3 million at the time of the last Labour government.",,,,,"The Government has spent £6 billion through housing associations to provide homes for rent. Between 1992 and 1995 housing associations provided 178,000 new lettings - 25,000 more than promised in the 1992 Manifesto.","2.5 million people now have tax free savings in PEP accounts, and 4.5 million in TESSAs. Since 1979, the success of private pension provision has raised the average income of pensioners by 60% more than inflation.",,1,,,,
"40002301","Their value is greater than the pension funds in all other EU countries added together.",,,,,"Almost 90% of recently retired pensioners now have incomes over and above state benefits. Savings in private pension funds have increased to £650 billion - more than 4 times the level in 1979.","Over the period 1979 to 1995, education spending per pupil rose from £515 to £1,890 - an increase in real terms of 48%. Real spending on books and equipment per pupil rose 56%.",,1,,,,
"40002471","The next Conservative government intends to reform the tax system so that it gives substantially more help to families.",,,,,"We have already achieved much - the average family's disposable income has gone up by 40% since 1979. But we want to go further.","We also want to encourage people to save so they have the security and self-respect that comes from being able to rely on their own resources rather than immediately turning to the state. We have already made much progress here too with widening ownership of homes, pensions, and the new PEPs and TESSAs.",,1,,,,
"40002961","Older people currently in the workforce would be unaffected - they will continue to contribute as now and receive the normal state pension when they retire.",,,,,"But they will be guaranteed a pension at least equal to the current bask state pension, increased in line with inflation. This will be one of the most significant improvements in the state pension system since it was introduced.","This policy would come into effect early in the new millennium. Gradual phasing in of the new system over 40 years will make the impact on public finances affordable.",,1,,,,
"40003001","And eventually, the new policy will produce massive public expenditure savings.",,,,,"Gradual phasing in of the new system over 40 years will make the impact on public finances affordable. Even at its peak, the net revenue forgone will be only a fraction of the savings from the recent Pensions Act.","This far-sighted idea is in the best Conservative tradition. The growing wealth of the nation will provide for the next generation through private funding, underpinned by a state guarantee.",,1,,,,
"40003031","British people will be able to look forward to retirement with even greater confidence.",,,,,"This far-sighted idea is in the best Conservative tradition. The growing wealth of the nation will provide for the next generation through private funding, underpinned by a state guarantee.","And our young people will have a pensions opportunity unrivalled in the world. Support for Families. Conservatives believe that a healthy society encourages people to accept responsibility for their own lives.",,1,,,,
"40003161","Social workers working with children will receive special training to cope with the often heart-rending cases they face.",,,,,"The Bill will provide for greater openness and accountability in social services. We will provide new guidance to ensure social workers properly reflect the values of the community - focusing their efforts on those families who most need support, and minimising unnecessary interference.","We will raise standards through a new regulatory framework which will apply the same standards in both the public and private sector. We will also remove the power of local authorities to operate care homes where this is in the best interests of the people for whom they are responsible.",,1,,,,
"40003681","We will bring the structure of benefits for lone parents into line with that for two-parent families.",,,,,"We will protect the value of Child Benefit and Family Credit which help with the cost of bringing up children. This is our Family Benefits Guarantee.","We will continue to help lone parents obtain maintenance, and assist with childcare in work: both these measures help lone parents obtain work. We will pilot our Parent Plus Scheme that gives special help to lone parents who want to work, and extend it if it proves successful.",,1,,,,
"40004051","We also want to give women more financial independence, particularly when they retire.",,,,,"For those who need or want to work, we will seek further ways to minimise the barriers to affordable, high quality childcare. For those who wish to be full-time parents, our proposals to enable them to transfer their unused personal allowance to their spouse will be worth up to an extra £17.50 a week.","We propose, as explained elsewhere, to improve flexibility in saving for retirement and to allow courts to split pensions on divorce. Looking Outwards. The spread of share ownership, the transformation of pension provision, and the sale of council houses are revolutionising our nation.",,1,,,,
"40005291","If Britain is to win, we need to encourage learning and give people the opportunity to go where their interests and inquiring minds take them.",,,,,"We will encourage more employers to become involved in Investors in People, with the public sector matching the performance of the private sector. Competitive markets demand high skills.","World Class Health and Public Services. Our Record - Health and Public Services. Government spending has concentrated on priorities, not wasteful bureaucracy and overmanning. Despite tough overall public spending plans, real spending on the NHS has risen nearly 75% since 1979, on schools by 50% and on the police by more than 100%.",,1,,,,
"40005561","Growing Resources for a Modern Health Service. This progress has been possible because we have increased spending since 1979 by nearly 75% more than inflation, to almost £43 billion.",,,,,"Between 1979 and 1995 life expectancy at birth in England has increased from 70.4 years to 74.3 years for men and from 76.4 years to 79.6 years for women. We are getting healthier and we are better looked after when we are sick.","And we are not stopping there. The next Conservative Government will honour a firm guarantee to the NHS.",,1,,,,
"40005751","That is why we will continue to encourage the spread of fundholding among GPs.",,,,,"We will publish more information on how successfully hospitals are treating patients so that they and their GPs can make more informed choices between services in different hospitals and help stimulate better performance. Better Primary Care. Our vision of the NHS is one in which hospitals and family doctors gain greater power to run their own affairs.","Labour by contrast would destroy the new freedoms that fundholding doctors enjoy by imposing a new layer of bureaucracy on top of them. However, we do not want the benefits of better healthcare to be confined to patients of GP fundholders.",,1,,,,
"40005841","We will continue to develop a full range of services - including 24-hour nursed hostels and secure units - that can care for them in a way which is most appropriate to them and the interests of the wider community.",,,,,"We will extend nationwide our plans to enable more nurses to prescribe a wider range of drugs for patients, recognising their contribution to primary care. Mental Health. The last decade has also seen major changes in the care of mentally ill people.","We will not dose any long-stay mental hospitals unless it can be shown that adequate care services exist in the community. We will strengthen co-operation between health and social services in the delivery of mental health services.",,1,,,,
"40006621","The impact of local government is multiplied when they work in this way.",,,,,"We believe local government should take a lead in the planning and development of their communities. To achieve that, we have encouraged them to work in partnership with central government, with private enterprise, and other organisations in their community.","To encourage this partnership, we have developed the new approach of Challenge Funding. We set up a fund to meet a particular objective and then invite competing bids for the money.",,1,,,,
"40006641","We set up a fund to meet a particular objective and then invite competing bids for the money.",,,,,"The impact of local government is multiplied when they work in this way. To encourage this partnership, we have developed the new approach of Challenge Funding.","Those who form effective partnerships are far more likely to win those bids. The Single Regeneration Budget Fund, for example, has stimulated many working partnerships that are bringing new life to their communities.",,1,,,,
"40006671","We will push Challenge Funding further to reward effective local government.",,,,,"Those who form effective partnerships are far more likely to win those bids. The Single Regeneration Budget Fund, for example, has stimulated many working partnerships that are bringing new life to their communities.","This innovation has the potential to transform the financing of the public sector. In addition, we are encouraging higher standards and more cost-effective provision of local services.",,1,,,,
"40006681","This innovation has the potential to transform the financing of the public sector.",,,,,"The Single Regeneration Budget Fund, for example, has stimulated many working partnerships that are bringing new life to their communities. We will push Challenge Funding further to reward effective local government.","In addition, we are encouraging higher standards and more cost-effective provision of local services. Local authorities can enable things to happen rather than necessarily running them themselves.",,1,,,,
