"sentenceid","sentence_text","policy_area_gold","econ_scale_gold","soc_scale_gold","_golden","pre_sentence","post_sentence","policy_area_gold_reason","codesneeded","econ_scale_gold_min","econ_scale_gold_max","soc_scale_gold_min","soc_scale_gold_max"
"10000551","Today we are able to shape world efforts to sustain trade and promote international monetary co-operation.",,,,,"Success has followed. Prudent financial policies have made Britain one of the world's largest creditors.","We gave a lead in NATO and installed Cruise missiles. Today, as a result, the Soviet Union is at last prepared to negotiate to remove its own missiles targeted against us.",,4,,,,
"10000731","Or that the Liberals or the Social Democrats would have fought so hard for our rebate from the European Community?",,,,,"How many of the alternative governments on offer would have stood firm, overcome, or even survived such difficulties? Does anyone suppose that the Labour Party would have resisted, let alone defeated, the violence and intimidation in the coal strike?","Or that any of the Opposition parties would have persevered through all these difficulties to break the back of inflation and restore honest money? A Strong and Stable Government. How has it been done?",,4,,,,
"10000821","We will continue: to pursue policies of sound financial management, the conquest of inflation, the promotion of enterprise and the growth of employment",,,,,"In this election, only the Conservative Party is offering strong, decisive and united government. The Next Moves Forward. The next Conservative Government will build on the achievements of the past eight years with a full programme of positive reform.","to spread the ownership of homes, shares, pensions and savings ever more widely to give families greater financial independence to give people greater choice and responsibility over their own lives in important areas such as housing and education",,4,,,,
"10000911","They would take the important decisions - as tenants, home-owners, parents, employees, and trade unionists rather than having them taken for them.",,,,,"Wider Ownership and Greater Opportunity. Conservatives aim to extend as widely as possible the opportunity to own property and build up capital, to exercise real choice in education, and to develop economic independence and security. Our goal is a capital-owning democracy of people and families who exercise power over their own lives n the most direct way.","Of course, it is not possible to give people independence. That is something we must all achieve by our own efforts.",,4,,,,
"10001161","We are determined to make it larger still.",,,,,"Two out of every three homes are now owned by the people who live in them. This is a very high proportion, one of the largest in the world.","Some people are still deterred by the costs and complications of house purchase. That is why we must look for new ways to make house-buying simpler and easier.",,4,,,,
"10001371","and by providing a new 30 per cent housing association grant to build hostels for young workers.",,,,,"by bringing in and widening the scheme for assured tenancies by our system of shortholds","We have also directly tackled the problem of homelessness through new grants to housing associations and other measures. More must now be done.",,4,,,,
"10001391","More must now be done.",,,,,"and by providing a new 30 per cent housing association grant to build hostels for young workers. We have also directly tackled the problem of homelessness through new grants to housing associations and other measures.","The next Conservative Government, having already implemented the right to buy, will increase practical opportunities to rent. We must attract new private investment into rented housing - both from large institutions such as building societies and housing associations as well as from small private landlords.",,4,,,,
"10001641","We believe that a similar approach could be adopted for housing in some places.",,,,,"The success of Estate Action and Housing Action Areas shows how a carefully targeted approach can transform an area of poor housing and give people there new hope. Our Urban Development Corporations have been successful in restoring derelict industrial areas.","We will take powers to create Housing Action Trusts initially as a pilot scheme to take over such housing, renovate it, and pass it on to different tenures and ownerships including housing associations, tenant co-operatives, owner-occupiers or approved private landlords. We will reform the structure of local authority housing accounts so that public funds are directed at the problems of repair and renovation",,4,,,,
"10002251","Second, within five years governing bodies and head teachers of all secondary schools and many primary schools will be given control over their own budgets.",,,,,"Parents, teachers and pupils will then know how well each child is doing. We will consult widely among those concerned on establishing the curriculum.","They know best the needs of their school. With this independence they will manage their resources and decide their priorities, covering the cost of books, equipment, maintenance and staff.",,4,,,,
"10002341","That would be the best guarantee of higher standards.",,,,,"We have already done much through the 1980 and 1986 Education Acts so that parents can make their voice heard. But parents still need better opportunities to send their children to the school of their choice.","To achieve this: We will ensure that Local Education Authorities (LEAs) set school budgets in line with the number of pupils who will be attending each school. Schools will be required to enrol children up to the school's physical capacity instead of artificially restricting pupil numbers, as can happen today.",,4,,,,
"10002501","They would become independent charitable trusts.",,,,,"If, in a particular school, parents and governing bodies wish to become independent of the LEA, they will be given the choice to do so. Those schools which opt out of LEA control will receive a full grant direct from the Department of Education and Science.","In the area covered by the Inner London Education Authority, where entire borough councils wish to become independent of the LEA, they will be able to submit proposals to the Secretary of State requesting permission to take over the provision of education within their boundaries. Village Schools. We recognise the important contribution made by small rural primary schools to education and to the community life of our villages.",,4,,,,
"10002551","Formal nursery education is not necessarily the most appropriate experience for children.",,,,,"We will ensure, therefore, that the future of these schools is judged by wider factors than merely the number of pupils attending them. Pre-School Education. Eighty per cent of all three- and four-year-olds in this country attend nursery classes, reception classes or playgroups.","Diversity of provision is desirable. LEAs should look to support the voluntary sector alongside their own provision.",,4,,,,
"10003001","We have massively rebuilt our international assets.",,,,,"We have been careful not to spend money before we earned it. We have brought the nation back to living within its means.","We have refused to be drawn into an auction of pledges for higher spending that the country simply could not afford. We have balanced the books.",,4,,,,
"10003241","There is no better yardstick of a party's fitness to govern that its attitude to inflation.",,,,,"The Opposition parties opposed nearly every aspect of this strategy. If even some of their policies were implemented today, higher borrowing and higher spending would once again unleash inflation.","Nothing is so politically immoral as a party that ignores that yardstick. The Conservative Government will continue to put the conquest of inflation as our first objective.",,4,,,,
"10003841","Indeed, the eighties have seen almost three-quarters of a million people become self-employed.",,,,,"Today we have the highest number of self-employed for over 60 years. One worker in ten is now his own boss - or her own boss, since a quarter of the self-employed are women.","More and more of our young people today seek self-employment as a worthwhile career. It is particularly encouraging that almost half the growth in self-employment since 1983 has been in the northern part of our country.",,4,,,,
"10003921","The new Job Training Scheme (JTS), which started in April this year, will offer a chance to any person over 18 who has been unemployed for six months or more, who wants to work and train with an employer for a recognised qualification.",,,,,"The Youth Training Scheme (YTS) caters for school-leavers aged 16 and 1 7 who wish to participate in training and work experience. Every trainee is given the opportunity of working towards a recognised qualification.","This year it will help nearly a quarter of a million people. Under our Community Programme, each year over 300,000 people who have been out of work for some time gain valuable experience working on community projects.",,4,,,,
"10003991","Many of them have now become employers themselves.",,,,,"We shall pay those working on the programme an allowance giving a premium over and above their social security payments. Under the Enterprise Allowance Scheme, 230,000 unemployed people have started to work for themselves.","JobClubs were first opened in 1985 to help the unemployed help themselves back into jobs. Over 1,000 have been established.",,4,,,,
"10004111","The First Guarantee. We will now guarantee a place on the Youth Training Scheme to every school-leaver under 18 who is not going directly into a job.",,,,,"In 1983 we introduced the first Youth Training Scheme. It is now a national two-year programme aimed at giving young people qualifications for work.","As a result, none of these school-leavers need be unemployed. They can remain at school, move to college, get a job, or receive a guaranteed training.",,4,,,,
"10004751","We will introduce further measures to impose tighter controls on pyramid selling.",,,,,"But competition must be supplemented by legal protection for consumers. Those who make their living from their ideas and creations also require protection against theft.","We will introduce measures to reform the law on copyright, design and performance protection. The City. The City of London is the world's leading market place in foreign exchange, international bank lending and international insurance. ",,4,,,,
"10004891","Parliament has just approved our proposals for establishing a Serious Fraud Office to improve the work of investigating and prosecuting the worst cases of fraud and for streamlining court procedure.",,,,,"The Conservative Party is the party of law and order. That applies just as much to City fraud as to street crime.","After the election we will reintroduce our proposals to reform the outdated rules on evidence, as recommended by the Roskill Committee. Trade. Britain exports 30 per cent of all that it produces.",,4,,,,
"10004901","After the election we will reintroduce our proposals to reform the outdated rules on evidence, as recommended by the Roskill Committee.",,,,,"That applies just as much to City fraud as to street crime. Parliament has just approved our proposals for establishing a Serious Fraud Office to improve the work of investigating and prosecuting the worst cases of fraud and for streamlining court procedure.","Trade. Britain exports 30 per cent of all that it produces. If this country is to remain a key trading nation, industry must remain competitive.",,4,,,,
"10005131","But it is an advantage that will not last indefinitely.",,,,,"Energy. Britain is the only major Western industrial country that is a net exporter of energy. This owes much to North Sea oil so successfully developed by free enterprise.","Coal will continue to meet much of the steadily rising demand for electricity. Renewable sources of energy can make some contribution to the nation's energy needs, which is why government-sponsored research has been increased.",,4,,,,
"10005571","we now give grants to plant hedgerows, not dig them up.",,,,,"We have recognised the new needs of the countryside and rural economies in two ways. First, we now place more emphasis on support for the environment and the beauty of the countryside","Second, we encourage alternative uses of land and more diverse job opportunities to maintain thriving communities in the rural economy. We will therefore: emphasise environmental protection and promotion of non-farming rural businesses in the planning system",,4,,,,
"10005771","Better Health, Better Care. Achievements in Health. The health of the British people is steadily improving.",,,,,"It imposes tight new controls on the use of animals for experiments. The number of experiments has declined in each of the last nine years, and we expect that decline to continue.","Quite simply, we live longer. Life expectancy has increased and infant mortality has declined.",,4,,,,
"10005781","Quite simply, we live longer.",,,,,"The number of experiments has declined in each of the last nine years, and we expect that decline to continue. Better Health, Better Care. Achievements in Health. The health of the British people is steadily improving.","Life expectancy has increased and infant mortality has declined. Over the last eight years the Government has spent more on the Health Service than any previous government, Labour or Conservative.",,4,,,,
"10005931","Much progress has been made in the past eight years.",,,,,"We will continue to improve the Health Service. Future Tasks for the Health Service. Our policies rest on six principles: First, we will give greater emphasis to the prevention of avoidable illness and the promotion of good health to make the NHS more truly a health service and not merely a sickness service.","The improvement of the maternity services has helped to reduce by a third the death rate among babies in the weeks around birth. The expansion of vaccination and immunisation has prevented illness and death among children.",,4,,,,
"10006041","Nurses wanted the assurance that, without recourse to strike action, they would receive fair treatment over pay.",,,,,"backing the newly established and powerful Health Education Authority. Second, we will continue to show our support for the million people working in the NHS, of whom half are nurses.","That is why we set up the independent Nurses' Pay Review Body. After the latest award, we will have increased nurses' pay by 30 per cent since 1979, after allowing for inflation.",,4,,,,
"10006791","Their income from these has grown by over 7 per cent on average every year since 1979.",,,,,"Pensioners have benefited from our success against inflation. Almost three-quarters of all pensioners have savings.","Income from savings fell by 3Y2 per cent every year under the last Labour Government, eaten away by inflation. Occupational pensions, pensioners' savings, social security benefits and the state retirement pension have all increased.",,4,,,,
"10007581","institute a thorough review of the workings of the parole system.",,,,,"maintain the operational independence of the police and resist pressure from the Opposition parties to politicise the police by letting local authorities decide policing priorities continue our present prison building programme and achieve more professional and efficient working practices in the prison service","Our approach in all these cases is strongly supported by the general public. We will go further in drawing on that support by promoting crime prevention.",,4,,,,
"10007651","Tackling Drug Abuse. We have taken the battle against drugs into every corner of the globe where production or trafficking flourishes.",,,,,"We will build on the support of the public by establishing a national organisation to promote the best practices in local crime prevention initiatives. We will seek ways to strengthen the special constabulary.","We have more than doubled the number of customs specialist drug investigators. We have strengthened the effectiveness of the police in the fight against drug abuse.",,4,,,,
"10007701","We have funded about 200 new drug treatment facilities.",,,,,"Traffickers can now be sentenced to life imprisonment. They also stand to lose all the wealth generated by their evil trade under the most far-reaching asset seizure provisions anywhere in the world.","Our prevention campaign, targeted on youngsters at risk, is encouraging a strong resistance to hard drugs amongst teenagers. The battle against drugs can and must be won.",,4,,,,
"10007881","Immigrant communities have already shown that it is possible to play an active and influential role in the mainstream of British life without losing one's distinctive cultural traditions.",,,,,"Progress towards better community relations must be on a basis of equality. Reverse discrimination is itself an injustice and if it were to be introduced it would undermine the achievement and example of those who had risen on their merits.","We also want to see all ethnic minorities participating fully in British culture. They will suffer permanent disadvantage if they remain in linguistic and cultural ghettos.",,4,,,,
"10008341","Business ratepayers will pay a Unified Business Rate at a standard rate pegged to inflation.",,,,,"The less-well-off and students will not have to pay the full charge but everyone will be aware of the costs as well as the benefits of local services. This should encourage people to take a greater interest in the policies of their local council and in getting value for money.","We will require local authorities to put out to tender a range of services, including refuse collection, the cleaning of streets and buildings, vehicle maintenance, catering and ground maintenance. Ratepayers expect councils to provide their services as efficiently as possible.",,4,,,,
"10008471","We have roughly doubled the resources to reclaim derelict land.",,,,,"We are setting up five new Urban Development Corporations which will have the powers, resources and management structure to reclaim and redevelop great tracts of derelict land: these new Corporations will follow the model successfully applied in London Docklands and on Merseyside. Our Unified Business Rate will ensure that companies and jobs are not driven out of inner city areas by the high rates of profligate councils.","We will improve procedures to accelerate the process of bringing vacant and under-used public sector land back into productive use. We will build on the experience of Urban Development Corporations by creating new mini-UDCs.",,4,,,,
"10008741","We have already reduced tax on lead-free petrol and will encourage its wider use",,,,,"We will: continue our <U+00A3>600 million programme of modifying power stations, to combat acid rain adopt improved standards, in concert with Europe, for reducing pollution from cars.","introduce new laws on air pollution and dangerous wastes double the funding for Environmentally Sensitive Areas",,4,,,,
"10009151","We will remove the current exemption enjoyed by broadcasters under the Obscene Publications Act 1959.",,,,,"But there is deep public concern over the display of sex and violence on television. We will therefore bring forward proposals for stronger and more effective arrangements to reflect that concern.","Britain and The World. Britain is once again giving a lead in world affairs. We are forthright in support of freedom and justice.",,4,,,,
"10009911","Overseas Aid. We have the sixth largest aid programme in the western world, and the third largest in Europe, spending about <U+00A3>1,300 million each year.",,,,,"But trade and economic sanctions would only serve to entrench apartheid, increase the risk of bloodshed and inflict severe hardship on black South Africans without bringing a settlement any nearer. Negotiations between the leaders of the South African people are the best way to resolve the problems of that unhappy country.","Britain pioneered the reform of Europe's food aid policy, to make it more rapid and effective. We have substantially increased our support for the disaster, famine and refugee relief activities of voluntary agencies, as well as for their long-term development work.",,4,,,,
"10010001","It would also be bad for Britain.",,,,,"We ourselves have made positive and practical proposals for international action to help some of the poorest and most indebted countries of sub-Saharan Africa. Labour's proposal of selective import controls would damage developing countries, open the door to protectionism and harm those poorest countries which most need our help.","The best contribution Britain can make to developing countries is to champion open trade and free enterprise abroad and to practise them at home. A Fateful Choice. For decades there was basic agreement between political parties on defence and foreign policy.",,4,,,,
"20000191","They already dominate some of the Town Halls.",,,,,"Unable to contemplate five more years of uncaring government under Mrs Thatcher, they still do not trust the Labour Party. Mr Kinnock tries hard but for how long can he keep the lid on the extremists of the Left?","When the election is over, will they emerge again to claim the rewards of their silence? Many of these people feel that the Alliance is the answer - but they ask what chance does it have of changing things?",,4,,,,
"20000471","Governments should learn to listen to the people to whom they are accountable.",,,,,"however governments should be ready to enter into partnership with these organisations to tackle the problems that neither it nor they can solve alone.  Decisions of Government should be taken democratically at the most local level compatible with effective action.","Governments should exercise the creative leadership to enable society as a whole to match its needs and resources with the work to be done - of which there is an abundance in Britain today. Government must challenge and curb all those who threaten individual freedom by the abuse of monopoly power, by the denial of rights or by crime and violence.",,4,,,,
"20000931","The Government's alternative of a poll tax is unacceptable because it is grossly unfair: it does not relate taxation to the ability to pay.",,,,,"We shall publish an early Green Paper with proposals for an elected Greater London regional assembly and setting out the proposals, as the need and demand is established, for the creation of democratically elected regional governments in England. Local government needs a fair system of local finance which the rates no longer provide.","We are committed to the planned introduction of a local income tax as the main source of local government revenue in place of domestic rates. We believe that business rates should be related to ability to pay and we will consult with industry and commerce as to how this can be achieved.",,4,,,,
"20001551","Our commitment to incorporate the European Convention on Human Rights into UK law will strengthen individual rights in Northern Ireland and we would reform the Diplock courts so that three judges preside over non-jury trials",,,,,"We wish to see a UK/Irish Parliamentary Council, and a devolved assembly where responsibilities and power will be shared. We would improve arrangements far considering Northern Ireland legislation at Westminster.","in this and other respects we believe that the passing of identical anti-terrorist measures in Northern Ireland and the Republic can increase the authority those measures carry in a divided community. We also support the establishment of a joint security commission.",,4,,,,
"20001781","We oppose the police monitoring units by which some Labour councils attempt to undermine the police.",,,,,"Proportional representation for local government would stop unrepresentative extremists from controlling police authorities. It would mean more sensible police authorities and make possible a democratically accountable police authority for London.","The Alliance fully accepts the need for chief officers to have full operational control of their force. The Alliance supports a fully independent system for investigating complaints against the police.",,4,,,,
"20001851","We will establish a family court system and set up a new legal services council.",,,,,"Upholding the Law. We will create a new Ministry of Justice. Its responsibilities will include the strengthening of the rights of the citizen to legal aid and advice and improving court and tribunal procedures.","Sentencing Policy. Sentencing is often seen as arbitrary, with the same crime attracting widely divergent punishments. For the criminals, sentences become more of a lottery than a deterring force.",,4,,,,
"20001961","Insuring Against Crime. We aim to make insurance available to all council tenants, who are twice as likely to be burgled as home owners and far less likely to be insured.",,,,,"Crime Prevention Units. There would be a duty on all local authorities to establish Crime Prevention Units, and to work closely with the police to help in setting up Neighbourhood Watch schemes. They would advise on security in all new planning and building.","Curbing the Sale of Offensive Weapons. We will curb the sale of knuckle dusters, battle knives, spiked shoe straps, cross-bows and catapults.",,4,,,,
"20002141","Projects to make crime danger spots safe and to provide effective street lighting and more caretakers on estates",,,,,"Police Posts should be established where no station is close by Security grants to pay for entry phones and security locks","New housing estates designed to minimise opportunities for crime, and hazardous public areas will be redesigned A legal obligation imposed on British Telecom to keep all public telephones in constant repair.",,4,,,,
"20002411","They should be more widely used.",,,,,"Offenders should recompense their victims, either directly or indirectly. Community service orders oblige offenders to undertake work for the community.","These changes should ease the frustration that threatens to erupt in the prisons, and enable prison officers to do the professional job they want to do. We welcome 'Fresh Start', which proposes shorter hours and less reliance on overtime, but recognise that unless overcrowding is tackled, this reform may not work.",,4,,,,
"20002791","It can be reduced in Britain.",,,,,"We would remove the tax on the use of workplace nurseries and encourage wider provision of child-care facilities. UNEMPLOYMENT. Unemployment at present levels is not the inevitable result of new technology or world recession - Japan has only 2.5% unemployment and US unemployment has fallen by two million since 1983.","The key is to ensure that in creating new jobs the nation does not embark on another round of severe inflation which will damage competitiveness and cost us jobs in the long run. Labour ignores this danger and the Conservatives use it as an excuse for allowing unemployment to remain high.",,4,,,,
"20003061","We will encourage employers to take on more staff by a 25% cut in their National Insurance Contribution payments targeted on assisted areas and areas of high unemployment",,,,,"We will work in partnership with industry and put industry first. There will be a new Cabinet Industrial Policy Committee responsible for overseeing the development and implementation, in co-operation with industry, of a broad industrial strategy with long-term priorities","We will introduce a training incentive with rebates for companies who spend more money on training and contributions from those who do not provide it themselves our new Department of Education and Training will monitor standards and turn youth training into a fully comprehensive, high quality vocational and educational programme for 16-19 years old",,4,,,,
"20003111","We will give more backing to exports using the Export Credit Guarantee Department and the Aid and Trade Provision (funded from the DTI) more effectively than the present Government has done in recent years because of its ambivalent attitude towards public sector support.",,,,,"We will increase the lamentably low funding of civil research and development, placing emphasis both on commercial exploitation of new technology using the British Technology Group, and on boosting basic scientific research we would give greater support to European Community joint research programmes","We will press the European Community to take stern action against dumping. We will launch a more determined attack on unfair restrictions on our trade, including those imposed by Japan on a wide range of products and services and by the US on our high-technology exports",,4,,,,
"20003131","We will launch a more determined attack on unfair restrictions on our trade, including those imposed by Japan on a wide range of products and services and by the US on our high-technology exports",,,,,"We will give more backing to exports using the Export Credit Guarantee Department and the Aid and Trade Provision (funded from the DTI) more effectively than the present Government has done in recent years because of its ambivalent attitude towards public sector support. We will press the European Community to take stern action against dumping.","We will insist on a strong competition policy to promote efficiency and give consumers a fair deal: the Office of Fair Trading will be strengthened and will take on the responsibilities of the Monopolies and Mergers Commission and companies seeking mergers will have to justify them individuals and institutions will have power to seek redress in court against anti-competitive practices",,4,,,,
"20003161","We will continue to judge whether industries should be in the public or private sector on objective criteria related to competition and efficiency.",,,,,"We will insist on a strong competition policy to promote efficiency and give consumers a fair deal: the Office of Fair Trading will be strengthened and will take on the responsibilities of the Monopolies and Mergers Commission and companies seeking mergers will have to justify them individuals and institutions will have power to seek redress in court against anti-competitive practices","We opposed the privatisation of British Gas and British Telecom although we would not reverse it but instead concentrate on improving consumer choice and protection. We supported the privatisation of Rolls Royce.",,4,,,,
"20003701","Farm-based processing and marketing co-operatives will be assisted to retain more of the selling price of foodstuffs in rural communities.",,,,,"We are committed to supporting the less favoured areas, and ensuring that the upland beef and sheep industries are safeguarded through differential premia and retention of the sheepmeat regime. We shall increase Government support for effective marketing schemes for farm produce at home and abroad.","We will encourage conservation, the reduced use of chemical inputs, organic farming and less intensive methods of livestock production. The Government's cuts in agricultural research, education and advice will be reversed.",,4,,,,
"20005371","and that an independent review body would be established to make proposals on teachers' pay and conditions as a basis of negotiation.",,,,,"after an agreed settlement, disruption ceased in Scottish schools. The Alliance believes that the Government should make it clear that teachers pay and conditions would be imposed for the current settlement only","We understand and sympathise with the teachers' anger at the removal of their negotiating rights. We would restore them.",,4,,,,
"20005401","But the action by the teachers unions should cease.",,,,,"We understand and sympathise with the teachers' anger at the removal of their negotiating rights. We would restore them.","It does nothing to achieve their aims. It is damaging pupils' education, is alienating public opinion and undermining the standing of teachers in the community.",,4,,,,
"30002051","We will improve links between schools and home so that parents and teachers act in partnership to foster the best interests of children.",,,,,"We will see that teachers are recognised properly as well qualified professionals, in their systems of rewards, in the procedures for negotiation of their employment conditions and in participation in the development of education. In addition we shall work with local education authorities to secure a flexible but clear core curriculum agreed at national level, a School Standards Council, and a new profile of achievement recording individual progress through school for all pupils.","We shall foster achievement with other policies such as providing proper funding for the GCSE curriculum and examination, for improved supply of teachers and equipment for science subjects so that girls as well as boys increase science learning. There will be maintenance allowances for 16- to 18-year- olds whose family circumstances would other wise impede their further education.",,4,,,,
"30002181","Millions of dwellings are in serious disrepair.",,,,,"Real Choice in Housing. Public funding for housing has fallen by 60 per cent during Mrs Thatcher's eight years in office. Far fewer homes are being built.","Yet there is record unemployment among building workers. This policy is immoral and grossly inefficient.",,4,,,,
"30002421","Many old people lock themselves into their homes.",,,,,"The clear-up rate fell to 32 per cent. Millions of women are scared to go out at night.","Drug trafficking is increasing. Labour will take urgent action to make people safer.",,4,,,,
"30002821","We shall establish a new democratically-elected strategic authority for London and consult widely about the most effective regional structure of government and administration in England and Wales.",,,,," Update animal protection legislation - for example, to eliminate unnecessary experimenting on live animals. Strengthening Democracy. We will seek to strengthen parliamentary democracy and introduce state aid for political parties, along the lines of the Houghton Report.","Scotland. We shall legislate in the first Parliamentary session to establish a democratically-elected Scottish Assembly in Edinburgh. This will have a wide range of powers over health, education and housing and over significant aspects of industrial and economic policy.",,4,,,,
"30002831","Scotland. We shall legislate in the first Parliamentary session to establish a democratically-elected Scottish Assembly in Edinburgh.",,,,,"Strengthening Democracy. We will seek to strengthen parliamentary democracy and introduce state aid for political parties, along the lines of the Houghton Report. We shall establish a new democratically-elected strategic authority for London and consult widely about the most effective regional structure of government and administration in England and Wales.","This will have a wide range of powers over health, education and housing and over significant aspects of industrial and economic policy. It will take responsibility for changes in the structure of Scottish local government.",,4,,,,
"30002991","Employment, and sensible and sensitive investment in local communities and their services, have been damaged.",,,,,"Local Democracy. The Tory government has undermined local democracy and plans to continue to diminish the importance of votes in local elections. It has made huge cuts in rate support grant and imposed financial penalties to prevent councils maintaining and improving the quality of essential local services.","Labour will restore the right of councils to decide their own policies and plans, which will be subject to the decisions of local people at annual local elections. We will halt the cuts in rate support grant and end financial penalties.",,4,,,,
"30003081","Experience has shown that the Conservatives' City Action Teams have never had the means or the purpose of making any real impact on inner city problems.",,,,,"We will establish a new Quality Commission to ensure the spread of 'best practice', efficiency and high standards of local authority provision and response to the public. New Life for Inner Cities. Except where it has turned areas over to speculators so that they can create luxury accommodation at astronomical prices, this government has left inner-city areas to rot.","Tory cuts in funding and in housing, together with mass unemployment, have turned too many of our urban areas into dingy, hopeless places. Yet the people who live there, given the chance, have the zest and initiative to make these areas thrive socially and economically.",,4,,,,
"30003301","In particular, women must have the right to work and equal rights at work.",,,,,"Women's Rights. More than half of Britain's people - the women of our country - are still denied many essential rights. Labour's Ministry for Women will make sure that, in framing their policies, all government departments listen and respond to women's needs and concerns.","In addition to our new provision for training opportunities and protection against discrimination, Labour will help the large number of women who are part-time workers. We will legislate for them to have the same hourly rates, rights to sick pay, paid holidays and job security as full-time workers.",,4,,,,
"30003621","There will be firmer protection against unsafe goods.",,,,,"A Better Deal for Consumers. When people make a purchase, they often feel they are treated unfairly, or even cheated. Labour's Charter for Consumers will provide proper safeguards suited to modern conditions.","We will make producers strictly liable for defective products. We will provide easier means of redress for purchasers and stiffer penalties to deter illegal practices.",,4,,,,
"30004391","We will set up a Department of Overseas Development and Co-operation, headed by a Cabinet Minister.",,,,,"The War We Must Fight. The world is aware, as never before, of the horrors of famine and poverty in many countries. A Labour Britain will play its full part in defeating these scourges.","We will double Britain's aid budget in order to achieve the United Nations' target of 0.7 per cent of national income within five years. We will restore funding for development education.",,4,,,,
"40000531","The Enterprise Centre of Europe. Our Record. The UK is on course to grow faster than both France and Germany for the sixth successive year in 1998 - a post-war record.",,,,,"We have come a very long way. We must be sure that we do not throw away what we have gained, or lose the opportunities we have earned.","Inflation has now been below 4% for well over 4 years, the longest period of low inflation for almost half a century. Mortgage rates are at their lowest levels for 30 years.",,4,,,,
"40000671","Exports account for 28% of GDP as against 9% for Japan, 11 % for USA and 24% for Germany and France.",,,,,"in 1979 the figure was 29,500,000: nearly 100 times that figure. Britain ranks fifth in the world in international trade, and exports more per head than America or Japan.","Britain's current account is broadly in balance, reflecting our increased competitiveness and improved trading. 1. Doubling Living Standards. The free market is winning the battle of ideas the world over.",,4,,,,
