"sentenceid","sentence_text","policy_area_gold","econ_scale_gold","soc_scale_gold","_golden","pre_sentence","post_sentence","policy_area_gold_reason","codesneeded","econ_scale_gold_min","econ_scale_gold_max","soc_scale_gold_min","soc_scale_gold_max"
"50003671","We will provide victims with the practical support they need to prevent repeat attacks.",,,,,"We will promote restorative justice, under which offenders can be required to compensate victims for the damage they have caused. We will ensure that the Victim Support movement and the Witness Support schemes play a full role in the criminal justice system.","Strengthen public confidence in the police. We will make police authorities more responsive to local communities by increasing their elected membership and creating an accountable police authority for London.",,10,,,,
"20006881","Once more homes are available because of the Alliance's housing strategy, we will extend the statutory duty of local authorities to provide for the homeless, phasing in extensions to the 1977 act beginning with single people over 40 and young aged 16-18 leaving care or who are otherwise homeless.",,,,,"We will incorporate rights for council tenants to control and improve their houses in a statutory tenants' charter We will set up a national mobility scheme covering all sectors of housing","Rent-A-Room. There is a desperate need for rented accommodation, particularly for single people and couples. There are millions of owner-occupied houses and council houses in Britain with spare rooms.",,10,,,,
"20008421","We must have sustainable growth.",,,,,"The Conservative Party concentrates all its attention on inflation and ignores unemployment and its consequences. The Labour Party concentrates all its attention on unemployment and ignores the fact that increased inflation undermines expansion and inevitably puts brakes on efforts to get people back to work.","That is why our proposals for expanding the economy are accompanied by plans for an incomes strategy and for a firm monetary and exchange rate discipline through entry to the exchange rate mechanism of the European Monetary System. But in the long term we will only succeed if we give the top priority to industry.",,10,,,,
"60001191","They are specific.",,,,,"We understand that after 18 years of one-party rule, people want change, believe that it is necessary for the country and for democracy, but require faith to make the change. We therefore set out in the manifesto that follows ten commitments, commitments that form our bond of trust with the people.","They are real. Judge us on them.",,20,,,,
"40010571","We will continue to support Britain's defence industry, and we will work with companies to identify the technologies of the future.",,,,,"We will also enable the reserve forces to play a more active role in operations. We appreciate the enormous value of cadet forces, and our current plans include resources to encourage their further development.","NATO will remain the cornerstone of our security. We will resist attempts to bring the Western European Union under the control of the European Union, and ensure that defence policy remains a matter for sovereign nations.",,10,,,,
"60007661","This must be balanced, however, with the needs of people who live and work in rural areas.",,,,,"We favour a moratorium on large-scale sales of Forestry Commission land. We recognise that the countryside is a great natural asset, a part of our heritage which calls for careful stewardship.","The total failure of the Conservatives to manage the BSE crisis effectively and to secure any raising of the ban on British beef has wreaked havoc on the beef and dairy industries. The cost to the taxpayer so far is £3.5 billion.",,15,,,,
"60008171","They have debased democracy through their MPs who have taken cash for asking questions in the House of Commons.",,,,,"The Conservatives seem opposed to the very idea of democracy. They support hereditary peers, unaccountable quangos and secretive government.","They are opposed to the development of decentralised government. The party which once opposed universal suffrage and votes for women now says our constitution is so perfect that it cannot be improved.",,10,,,,
"60005711","We will attack the drug problem in prisons.",,,,,"We will pilot the use of compulsory drug testing and treatment orders for offenders to ensure that the link between drug addiction and crime is broken. This will be paid for by bringing remand delays down to the national targets.","In addition to random drug testing of all prisoners we will aim for a voluntary testing unit in every prison for prisoners ready to prove they are drug-free. Victims. Victims of crime are too often neglected by the criminal justice system.",,15,,,,
"60008631","The responsibilities of the UK Parliament will remain unchanged over UK policy, for example economic, defence and foreign policy.",,,,,"In the Scottish referendum we will seek separate endorsement of the proposal to create a parliament, and of the proposal to give it defined and limited financial powers to vary revenue. The Scottish parliament will extend democratic control over the responsibilities currently exercised administratively by the Scottish Office.","The Welsh assembly will provide democratic control of the existing Welsh Office functions. It will have secondary legislative powers and will be specifically empowered to reform and democratise the quango state.",,10,,,,
"40002231","The Government has spent £6 billion through housing associations to provide homes for rent.",,,,,"Opportunity and Ownership for Individuals and Families. Our Record - Opportunity. The right to buy has allowed 1.5 million council tenants to become homeowners. There are over 4 million more homeowners today than in 1979.","Between 1992 and 1995 housing associations provided 178,000 new lettings - 25,000 more than promised in the 1992 Manifesto. There are now around 10 million private shareholders, up from about 3 million at the time of the last Labour government.",,15,,,,
"40002331","Teachers' real pay rose 57%: from £270 per week in 1979 to £420 in 1995.",,,,,"Over the period 1979 to 1995, education spending per pupil rose from £515 to £1,890 - an increase in real terms of 48%. Real spending on books and equipment per pupil rose 56%.","In 1979, 40% of three and four year olds attended nursery school in 1995 the figure was 59%.",,10,,,,
"60009371","Retain Trident: strong defence through NATO ",,,,,"We will give Britain leadership in Europe. Referendum on single currency  Lead reform of the EU ","A reformed United Nations  Helping to tackle global poverty Britain, though an island nation with limited natural resources, has for centuries been a leader of nations.",,10,,,,
"50007641","Third, the British people must have agreed to it in a referendum.",,,,,"First, the single currency must be firmly founded on the Maastricht criteria. Second, Britain must meet those criteria.","Strengthen the European framework for peace and security. Britain's security and national interests are best pursued in partnership with its European neighbours.",,10,,,,
"40010551","We will also enable the reserve forces to play a more active role in operations.",,,,,"We will continue to target our efforts on recruiting for the armed forces. We will set up an Army Foundation College, which will provide 1,300 places for 16 and 17 year olds who want to join the Army.","We appreciate the enormous value of cadet forces, and our current plans include resources to encourage their further development. We will continue to support Britain's defence industry, and we will work with companies to identify the technologies of the future.",,10,,,,
"40005861","We will strengthen co-operation between health and social services in the delivery of mental health services.",,,,,"We will continue to develop a full range of services - including 24-hour nursed hostels and secure units - that can care for them in a way which is most appropriate to them and the interests of the wider community. We will not dose any long-stay mental hospitals unless it can be shown that adequate care services exist in the community.","Our recent Green Paper showed how this can be done. And we will monitor the progress of Health Authorities in developing proper mental health care plans.",,10,,,,
"20008681","All this is possible, and our Joint Programme sets out the main steps we will take.",,,,,"We will be able to house many of the homeless through more imaginative housing policies involving partnership between public and private housing. We will pursue policies on defence and foreign affairs which will make Britain a force for good in the world, recognising our interdependence with other nations.","These aims and values are also a clear guide to the way we would use the power we had if no party had an overall majority. We would insist that the views of the substantial section of the electorate who had voted for us went into the process by which the programme of a new government was decided.",,10,,,,
"20007351","and we would seek to help the industry through the present crisis by positive financial support and a determination to ensure fair play in world shipping markets.",,,,,"The Conservative Government has presided over a decline in our merchant fleet which threatens our national economic and security interest. We would entrust the lead role in co-ordinating maritime policy to a senior member of the Cabinet","ARTS, BROADCASTING AND RECREATION. We will ensure that people have the opportunity to enjoy the arts and physical recreation and to develop their own potential through these activities. To help achieve this aim we will double arts funding within the lifetime of one Parliament.",,10,,,,
"50008541","Publicity -£50m. ",,,,,"Liberal Democrats would decrease Government spending on:  Private consultants -£120m. ","Empty properties -£25m.  Main income tax changes. Around 70% of Adults will pay lower or unchanged income tax under our proposals.",,10,,,,
"60001131","The means will be modern.",,,,,"What counts is what works. The objectives are radical.","So the party is transformed. The vision is clear.",,10,,,,
"40006041","We will promote the Private Finance Initiative which will unleash a new flow of investment funds into the modernisation of the NHS.",,,,,"Since 1979 capital investment in the NHS has proceeded at an unprecedented rate. In the future we believe these requirements will be best met in a partnership with the private sector which allows the private sector to improve the facilities in which NHS healthcare is delivered.","The NHS is a British success story. It commands universal support in Britain.",,10,,,,
"60005121","Good health. A new minister for public health will attack the root causes of ill health, and so improve lives and save the NHS money.",,,,,"Labour is opposed to the privatisation of clinical services which is being actively promoted by the Conservatives. Labour will promote new developments in telemedicine - bringing expert advice from regional centres of excellence to neighbourhood level using new technology.","Labour will set new goals for improving the overall health of the nation which recognise the impact that poverty, poor housing, unemployment and a polluted environment have on health. Smoking is the greatest single cause of preventable illness and premature death in the UK.",,10,,,,
"10007791","We will tighten the existing law to ensure that the control over settlement becomes even more effective.",,,,,"Immigration and Race Relations. Immigration for settlement is now at its lowest level since control of Commonwealth immigration first began in 1962. Firm but fair immigration controls are essential for harmonious and improving community relations.","We now require visas for visitors from the Indian sub-continent, Nigeria and Ghana, both to protect genuine travellers and to guard against bogus visitors seeking to settle here illegally. We are tackling the problem of those who fraudulently pose as refugees and who seek to exploit Britain's long tradition of giving refuse to the victims of persecution.",,15,,,,
"60000031","This is why new Labour is new'.",,,,,"'The vision is one of national renewal, a country with drive, purpose and energy'. 'In each area of policy a new and distinctive approach has been mapped out, one that differs from the old left and the Conservative right.","'New Labour is a party of ideas and ideals but not of outdated ideology. What counts is what works.",,10,,,,
"20008551","We do not rule out the possibility that after the next election there could be an informal Lab-Con pact to keep the Alliance out, as there has been on several local councils: it would be the old parties way of attempting to stagger on as if nothing had happened after the two-party system had suffered a shattering defeat.",,,,,"In the House of Commons they have voted together against electoral reform, and against some of the measures designed to put trades unions fully under the control of their members. They work with each other in an attempt to preserve the appearance of a two-party system long after it is dead: Conservatives carefully protect Labour's privileges in the House of Commons to ensure that latterly only Labour and Conservative working peers have been appointed to the Lords, in vain hope of silencing the Alliance voice.","Indeed we believe that Labour and Conservative supporters should now be asking their candidates In a balanced Parliament will you work with the Alliance or with our traditional opponents? That is why our prime aim is an Alliance majority government, an aim that can certainly be realised at this election.",,10,,,,
"60001091","But the definition of radicalism will not be that of doctrine, whether of left or right, but of achievement.",,,,,"how to put public and private sector together in partnership to give us the infrastructure and transport system we need. We will be a radical government.","New Labour is a party of ideas and ideals but not of outdated ideology. What counts is what works.",,14,,,,
"20007921","A strengthened European pillar, involving effective defence co-operation and improved conventional strength would better enable Western Europe to move towards the elimination of dependence on first use of nuclear weapons.",,,,,"We would seek a battlefield-nuclear-weapon-free zone in Central Europe extending 150km in each direction from the East-West divide. We believe that NATO relies too heavily on nuclear weapons at all levels for deterrence.","NATO should adopt strategies and weapons which are more self-evidently defensive in intent and which are concerned with minimum deterrence. We want to see a new initiative achieve Mutual and Balanced Force Reductions and we would be prepared to include Britain's nuclear weapons in disarmament negotiations.",,10,,,,
"20007611","On defence and disarmament, Britain should be firmly committed to the achievement of multilateral disarmament and firm in our acceptance of our responsibility towards collective security through NATO: the Alliance rejects the one-sided approach which characterises both the escalation of our present nuclear capacity through Trident and Labour's decision to remove all nuclear weapons from British soil without securing the removal of those weapons which could threaten us.",,,,,"Britain should have a sufficiently mature relationship with the United States for the British Prime Minister to make clear where British foreign policy departs from that of the President of the day. The British Prime Minister should disavow such ventures as the bombing of Libya and support for the Contras, as so many Americans do, rather than allying with the most conservative forces in the White House.","The Alliance believes that Britain should take a lead in seeking international efforts to tackle the basic problems of the poorest countries of the world, particularly the burden of debt which is crippling their efforts to feed their own people and the need to get a fairer system of international trade which is not biased against the poorer countries. Europe. The European Community must be the basis of a united Europe which has common policies on trade, technology and social policy, and encourages Europe's scientific and industrial development.",,10,,,,
"20008621","But we will also be able to get on with the job of bringing down unemployment while managing the economy on a sound basis so as to prevent inflation from increasing dramatically again.",,,,,"Our commitment to fair elections is clear. We are the only political grouping who, if given a majority, would use that majority power forthwith to reform the system under which we gained it.","We will be able to embark on immediate improvements in basic services like education and health, while we open the way to the longer-term proposals in these and other fields which will give people more chance to realise their full potential and build a caring community. We will be able through our tax and benefit proposals to improve the lot of those who now find themselves on or near the poverty line.",,10,,,,
"30004171","Labour rejects this dishonest and expensive policy.",,,,,"Trident's cost of up to £10 billion will take up so much of our defence budget as to deny modern and necessary equipment to our front line forces. Indeed, this process is already happening.","We say that it is time to end the nuclear pretence and to ensure a rational conventional defence policy for Britain. So Labour will decommission the obsolescent Polaris system.",,10,,,,
"30001751","Our Charter for Womens' Health will include a network of Well-Women Clinics, and a computerised call and recall screening system as a universal service for all women at risk of cervical and breast cancer.",,,,,"We will develop local family health care teams and more local health centres. Women's health care has been seriously neglected.","We shall see that all women have the chance to see a woman doctor if they choose. We will step up the fight against AIDS by increasing research resources to find a vaccine or cure and also ensure adequate resources for the supply of drugs capable of arresting the affliction.",,15,,,,
"20008161","But for them the spirit of compromise, if it operates at all, has to be concealed, kept within the party and denied in public.",,,,,"It involves two political parties working together, and taking along with them the great mass of people who are dissatisfied with the politics of recent years, the kind of politics which is so dismally displayed in the shouting match of the House of Commons at Prime Minister's Question Time. All political parties involve compromises between different views and different strands of opinion - the Labour and Conservative parties each embrace an enormously wide range of opinion.","We make no secret of the fact that our programme draws on the ideas of our two parties and that we are keen to work together to achieve shared goals. Like the others we seek to put our entire programme forward for endorsement and to form a majority Alliance Government, but unlike the others the whole approach of the Alliance underlines our belief that if we are in a balanced Parliament we must heed the message of the voters and work with the other parties to seek an agreed programme which commands the widest possible support.",,20,,,,
"40011231","We will accordingly continue to pursue a policy of dialogue and negotiation with and between the democratic Northern Ireland parties.",,,,,"We want to see this brought about in a form which carries the broadest agreement possible. And we want to see the rights, traditions and interests of all parts of the community recognised within any such agreement.","We will continue to underpin such negotiations with the guarantee that the constitutional position of Northern Ireland cannot and will not be changed without the broad consent of the people of Northern Ireland. At the same time we will continue to take whatever security measures are required to protect the people of Northern Ireland from those who seek to achieve their political goals by violent means.",,10,,,,
"50007451","Make EU institutions more democratic and accountable.",,,,,"Reform that fundamentally changes Britain's place in Europe should only proceed if it has the explicit support of Britain's people. If there is any substantial change in Britain's relationship with the EU, the British people must give their consent through a referendum.","We will give the House of Commons a more effective role in scrutinising European policy. We also want the Council of Ministers and the EC Commission to be more accountable to the elected European Parliament.",,10,,,,
"40006071","It is widely admired all over the world.",,,,,"The NHS is a British success story. It commands universal support in Britain.","Conservatives are proud of the part we are playing in improving the NHS still further. 6. Better Public Services. The public sector is being transformed the world over.",,10,,,,
"40004691","A few, though, let their pupils down.",,,,,"The vast majority of teachers do an outstanding job. They have played a key part in implementing the reforms that we have introduced.","We will establish a more rigorous and effective system of appraising teachers, which reflects how well their pupils perform in tests and exams: this will identify which teachers need more help and, where necessary, which teachers need to be replaced. Many feel that the professional standing of teachers would be strengthened by the creation of a single body which could speak with authority on professional standards.",,10,,,,
"60009891","Strong defence through NATO. The post-Cold War world faces a range of new security challenges - proliferation of weapons of mass destruction, the growth of ethnic nationalism and extremism, international terrorism, and crime and drug trafficking.",,,,,"We must therefore play a full part in the debate to influence it in Britain's interests. In any event, there are three pre-conditions which would have to be satisfied before Britain could join during the next Parliament: first, the Cabinet would have to agree, then Parliament, and finally the people would have to say 'Yes' in a referendum.","A new Labour government will build a strong defence against these threats. Our security will continue to be based on NATO.",,10,,,,
"60007711","Our policies include greater freedom for people to explore our open countryside.",,,,,"Labour aims to reform the Common Agricultural Policy to save money, to support the rural economy and enhance the environment. Our initiatives to link all schools to the information superhighway will ensure that children in rural areas have access to the best educational resources.","We will not, however, permit any abuse of a right to greater access. We will ensure greater protection for wildlife.",,13,,,,
"40003341","Good preparation for marriage can be an important aid to a successful family, while timely help in meeting difficulties can often avoid family breakdown.",,,,,"We will create an imaginative, fair partnership between individuals and the public sector to resolve this problem. In the first session of the next Parliament we will implement our partnership scheme for long term care, making it easier for people to afford the cost of care in old age without giving up their lifetime savings.","These are matters for voluntary effort, not the state, but we will continue to support such effort. We need to make sure efforts to help struggling families does not turn into unnecessary meddling.",,10,,,,
"60009911","Our security will continue to be based on NATO.",,,,,"Strong defence through NATO. The post-Cold War world faces a range of new security challenges - proliferation of weapons of mass destruction, the growth of ethnic nationalism and extremism, international terrorism, and crime and drug trafficking. A new Labour government will build a strong defence against these threats.","Our armed forces are among the most effective in the world. The country takes pride in their professionalism and courage.",,10,,,,
"20006151","Much more research and development work on renewable energy sources, including wind, solar, wave and geothermal energy",,,,,"Continued modernisation and development of the coal industry, including new coal-fired power stations with measures to prevent acid rain and more help to areas affected by pit closures the power to license coal mines would be transferred from British Coal to the Department of Energy to prevent abuse of monopoly","we will vigorously pursue proposals for tidal barrages such as those suggested for the Severn and the Mersey, subject to taking the environmental impact into account Far more effort into energy efficiency and conservation, including higher standards of insulation in homes and encouragement of Combined Heat and Power schemes",,10,,,,
"20006871","We will set up a national mobility scheme covering all sectors of housing",,,,,"We will insist on higher design standards in public housing, more and greater recognition of the contribution that good community architecture can make to the quality of life and we want investment directed at improving existing properties wherever justified rather than demolition We will incorporate rights for council tenants to control and improve their houses in a statutory tenants' charter","Once more homes are available because of the Alliance's housing strategy, we will extend the statutory duty of local authorities to provide for the homeless, phasing in extensions to the 1977 act beginning with single people over 40 and young aged 16-18 leaving care or who are otherwise homeless. Rent-A-Room. There is a desperate need for rented accommodation, particularly for single people and couples.",,10,,,,
"30003761","We will establish a Ministry for the Arts and Media with responsibility for the arts, crafts, public libraries, museums, film, publishing, the press, the record industry, the development of broadcasting and access to it, fashion, design, architecture and the heritage.",,,,,"We will encourage schools to open up their recreational facilities to the whole community and prevent the selling off of school and other sports grounds. We will set up a Sports Trust to channel resources into the development of community sporting facilities and the attraction of major international sporting events to Britain.","The Home Office will remain responsible for regulatory and statutory powers in relation to broadcasting. The development of central and local government support for the arts, culture and entertainment is essential to the extension of choice, access and participation, and to the development of the related industries.",,10,,,,
"60005341","We propose a new approach to law and order: tough on crime and tough on the causes of crime.",,,,,"This is the worst record of any government since the Second World War - and for England and Wales the worst record of any major industrialised country. Last year alone violent crime rose 11 per cent.","We insist on individual responsibility for crime, and will attack the causes of crime by our measures to relieve social deprivation. The police have our strong support.",,10,,,,
"50006671","We will increase the role of parents in education by extending home/school/pupil links, and develop home-school partnership arrangements, to assist in addressing the needs of the child.",,,,,"Promote good parenting. We will encourage the provision of parenting classes for young adults.","Expand parental rights. We will introduce a statutory right to parental leave and develop Maternity Benefit into a new, flexible parental benefit to be shared between partners.",,10,,,,
"50006531","But the nature of families is changing.",,,,,"We will require local Councils to provide a statutory youth service in partnership with the voluntary sector.  Families. Families, in all their forms, are a basic building block of society.","This has brought new stresses which must be addressed. But it has also brought new attitudes, such as the sharing of family responsibilities, which should be encouraged.",,10,,,,
"10004831","At the same time, the Conservative Government has introduced a legal framework to protect investors and consumers: The Companies Acts of 1980 and 1981 strengthened the powers of investigators and increased the courts' power to disqualify directors for misconduct in the City as elsewhere.",,,,,"This has brought nearer the day when shares can be bought and sold over the counter in every high street. We have also given building societies greater freedom to make a wider range of financial services available to the average family.","The Insolvency Act of 1985 made it easier to disqualify directors who had been guilty of unlawful trading. And now the Financial Services Act of 1986 provides the first comprehensive system of investor protection we have had in this country.",,10,,,,
"60005011","Boards will become more representative of the local communities they serve.",,,,,"Higher-quality services for patients. Hospitals will retain their autonomy over day-to-day administrative functions, but, as part of the NHS, they will be required to meet high-quality standards in the provision of care. Management will be held to account for performance levels.","A new patients' charter will concentrate on the quality and success of treatment. The Tories' so-called 'Efficiency Index' counts the number of patient 'episodes', not the quality or success of treatment.",,10,,,,
"50004211","We will encourage the use of 'planning for real' strategies, in which local people can make a direct input into major planning projects in their community.",,,,,"We will give local Councils greater control over their own affairs. We will create a strategic authority for London.","Arts and media. Flourishing arts and a diverse culture are essential for a lively and open society. They can be engines of innovation that bring life to the economy.",,10,,,,
"20001501","Acceptance that Northern Ireland should not cease to be a part of the UK unless a majority of the people of Northern Ireland so wish.",,,,,"Rejection of violence.  Recognition that both Unionist and Nationalist traditions have their legitimate place. ","The government of Northern Ireland must be based on a partnership between the two traditions. The Alliance welcomes the Anglo-Irish agreement as a genuine attempt to achieve the objectives we set out.",,10,,,,
"30000311","No party other than Labour can possibly win enough seats to form a government.",,,,,"Britain can stop the rot - but only by voting Labour. There is no other way to prevent thirteen years of Thatcherism.","The Liberals and SDP know that. Their hope is to profit from confusion.",,20,,,,
"50006571","We will take nearly 500,000 low earners out of tax altogether, by raising tax thresholds.",,,,,"But it has also brought new attitudes, such as the sharing of family responsibilities, which should be encouraged. We will: Give families more security.","We will replace Income Support and Family Credit with a simpler, more efficient Low Income Benefit that helps people back to work.  We aim to improve the support for those caring for older people and people with disabilities.",,10,,,,
"40005281","Competitive markets demand high skills.",,,,,"We will continue to support the network of Training and Enterprise Councils, which have created a valuable partnership between business and government. We will encourage more employers to become involved in Investors in People, with the public sector matching the performance of the private sector.","If Britain is to win, we need to encourage learning and give people the opportunity to go where their interests and inquiring minds take them. World Class Health and Public Services. Our Record - Health and Public Services. Government spending has concentrated on priorities, not wasteful bureaucracy and overmanning.",,10,,,,
"40005871","Our recent Green Paper showed how this can be done.",,,,,"We will not dose any long-stay mental hospitals unless it can be shown that adequate care services exist in the community. We will strengthen co-operation between health and social services in the delivery of mental health services.","And we will monitor the progress of Health Authorities in developing proper mental health care plans. Health of the Nation. A modern health service is not just about treating illness, it is also about keeping people healthy.",,10,,,,
"40009951","A British Conservative Government will not allow Britain to be part of a federal European state.",,,,,"A Conservative Government will seek a partnership of nation states. Some others would like to build a federal Europe.","The diversity of Europe's nations is its strength. As more nations join the European Union, it needs to become flexible not more rigid. ",,10,,,,
"10007381","We are providing more money to help local Victim Support Schemes.",,,,,"Police treatment of rape victims has been made more sensitive. More criminals now pay compensation to their victims.","We have launched a determined drive to improve the administration of justice by providing for time limits by which the cases of those held in custody must be heard. 58 more Circuit Judges have been appointed and 43 court building projects have been completed.",,15,,,,
"40003171","We will raise standards through a new regulatory framework which will apply the same standards in both the public and private sector.",,,,,"We will provide new guidance to ensure social workers properly reflect the values of the community - focusing their efforts on those families who most need support, and minimising unnecessary interference. Social workers working with children will receive special training to cope with the often heart-rending cases they face.","We will also remove the power of local authorities to operate care homes where this is in the best interests of the people for whom they are responsible. We believe that families who use social services should be able to exercise choice wherever practicable.",,10,,,,
"40008601","We have modernised our nuclear deterrent by replacing Polaris with Trident.",,,,,"We have continued to stand up for British interests in Europe, protecting our opt-out from the Social Chapter, maintaining our border controls, and preserving our budget rebate - worth £18 billion since it was introduced. We have the most professional armed forces in the world.","8. The Best Place in the World to Live. Britain is admired the world oven. Every year, millions of tourists travel here to enjoy our heritage and culture, our cities and countryside, our way of life.",,10,,,,
"20006121","More prudent use of our oil and gas resources so that they are not depleted too quickly",,,,,"Britain is in a better position than many other countries to do this because of the natural assets we have. Alliance energy policy avoids dependence on any single source of supply and is based on:  ","Continued modernisation and development of the coal industry, including new coal-fired power stations with measures to prevent acid rain and more help to areas affected by pit closures the power to license coal mines would be transferred from British Coal to the Department of Energy to prevent abuse of monopoly",,10,,,,
"50005261","We will draw up a Charter that sets out carers' rights and responsibilities.",,,,,"We will extend the Carer's Benefit, as resources allow, to those over retirement age and work to improve advice, information, training and counselling for carers. We will seek to increase access to respite care and ensure that carers and users are involved in decisions about care.","Establish high national standards for all community care services. Our new independent Inspectorate of Health and Social Care will publish codes of practice for residential and nursing homes, and have the power to close any home that consistently falls short of national standards.",,15,,,,
"60004991","Higher-quality services for patients. Hospitals will retain their autonomy over day-to-day administrative functions, but, as part of the NHS, they will be required to meet high-quality standards in the provision of care.",,,,,"We will introduce three- to five-year agreements between the local primary care teams and hospitals. Hospitals will then be better able to plan work at full capacity and co-operate to enhance patient services.","Management will be held to account for performance levels. Boards will become more representative of the local communities they serve.",,10,,,,
"30002721"," Take action to deal with acid rain.",,,,," Invest more in land reclamation and cleaning up, in recycling and conservation, in development of new products, processes and pollution control equipment. This will not only make the country cleaner but will create jobs as well."," Stop radio-active discharges into our seas and oppose the dumping of nuclear waste at sea.  Provide for better monitoring, inspection and enforcement of pollution control, to cover areas ranging from air pollution to beaches, from hazardous chemicals to food additives, and from water quality to vehicle emissions.",,20,,,,
"50005741","Strengthen local government.",,,,,"Create the framework to make existing regional decision-making in England democratically accountable, and enable the establishment of elected regional assemblies, where there is demonstrated public demand. We will create a strategic authority for London.","We will establish a 'power of general competence', giving Councils wider scope for action. We will allow local authorities to raise more of their funds locally, give them greater discretion over spending and allow them, within strict limits, to go directly to the markets to raise finance for capital projects.",,10,,,,
"40001171","Since 1979 it has increased by £100 a week",,,,,"People are reaping the rewards of their hard work as their take home pay increases. Between 1974 and 1979, the take home pay for a family on average earnings rose, in real terms, by just £1 a week in today's prices.","this year alone it will increase by £7 a week. The goal which we set ourselves in 1995 is to double living standards over 25 years.",,14,,,,
"20007011","Court procedures will be speeded up to ensure that possession in all genuine cases is obtainable in that time.",,,,,"We will legislate to impose a duty on local authorities to issue and regularly review licences to approved agencies, such as housing associations, housing aid centres, or commercial agencies, in their area to operate the scheme. Such agencies will enter into contracts with both landlord and tenant, and will be responsible to the landlord for ending any tenancy arrangement within a fortnight.","The Rent-a-Room scheme will benefit many people. First, it will help single people and couples, particularly the young, and those moving in order to get work to find suitable accommodation, where at the moment it is both scarce and expensive.",,10,,,,
