"sentenceid","sentence_text","policy_area_gold","econ_scale_gold","soc_scale_gold","_golden","pre_sentence","post_sentence","policy_area_gold_reason","codesneeded","econ_scale_gold_min","econ_scale_gold_max","soc_scale_gold_min","soc_scale_gold_max"
"10001261","This restricts housing choice and hinders the economy.",,,,,"A Right To Rent. Most problems in housing now arise in the rented sector. Controls, although well-meant, have dramatically reduced the private rented accommodation to a mere 8 per cent of the housing market.","People looking for work cannot easily move to a different area to do so. Those who find work may not be able to find rented accommodation nearby.",,5,,,,
"10001271","People looking for work cannot easily move to a different area to do so.",,,,,"Controls, although well-meant, have dramatically reduced the private rented accommodation to a mere 8 per cent of the housing market. This restricts housing choice and hinders the economy.","Those who find work may not be able to find rented accommodation nearby. Those who would prefer to rent rather than buy are forced to become reluctant owner-occupiers or to swell the queue for council houses.",,5,,,,
"10001281","Those who find work may not be able to find rented accommodation nearby.",,,,,"This restricts housing choice and hinders the economy. People looking for work cannot easily move to a different area to do so.","Those who would prefer to rent rather than buy are forced to become reluctant owner-occupiers or to swell the queue for council houses. Some may even become temporarily homeless.",,5,,,,
"10001291","Those who would prefer to rent rather than buy are forced to become reluctant owner-occupiers or to swell the queue for council houses.",,,,,"People looking for work cannot easily move to a different area to do so. Those who find work may not be able to find rented accommodation nearby.","Some may even become temporarily homeless. And it is not only these people and their families who suffer from the shortage of homes for rent.",,5,,,,
"10001311","And it is not only these people and their families who suffer from the shortage of homes for rent.",,,,,"Those who would prefer to rent rather than buy are forced to become reluctant owner-occupiers or to swell the queue for council houses. Some may even become temporarily homeless.","The economy as a whole is damaged when workers cannot move to fill jobs because there are no homes to rent in the neighbourhood. This must be remedied.",,5,,,,
"10001321","The economy as a whole is damaged when workers cannot move to fill jobs because there are no homes to rent in the neighbourhood.",,,,,"Some may even become temporarily homeless. And it is not only these people and their families who suffer from the shortage of homes for rent.","This must be remedied. We have already taken some modest steps in this direction by making it easier to part-own and part-rent homes through shared ownership",,5,,,,
"10001351","by bringing in and widening the scheme for assured tenancies",,,,,"This must be remedied. We have already taken some modest steps in this direction by making it easier to part-own and part-rent homes through shared ownership","by our system of shortholds and by providing a new 30 per cent housing association grant to build hostels for young workers.",,5,,,,
"10001361","by our system of shortholds",,,,,"We have already taken some modest steps in this direction by making it easier to part-own and part-rent homes through shared ownership by bringing in and widening the scheme for assured tenancies","and by providing a new 30 per cent housing association grant to build hostels for young workers. We have also directly tackled the problem of homelessness through new grants to housing associations and other measures.",,5,,,,
"10001401","The next Conservative Government, having already implemented the right to buy, will increase practical opportunities to rent.",,,,,"We have also directly tackled the problem of homelessness through new grants to housing associations and other measures. More must now be done.","We must attract new private investment into rented housing - both from large institutions such as building societies and housing associations as well as from small private landlords. To do this we intend, in particular, to build on two initiatives we have already taken.",,5,,,,
"10001431","First, to encourage more investment by institutions, we will extend the system of assured tenancies.",,,,,"We must attract new private investment into rented housing - both from large institutions such as building societies and housing associations as well as from small private landlords. To do this we intend, in particular, to build on two initiatives we have already taken.","This will permit new lettings in which rents and the period of lease will be freely agreed between tenants and landlords. The tenant will have security of tenure and will renegotiate the rent at the end of the lease, with provision for arbitration if necessary.",,5,,,,
"10001441","This will permit new lettings in which rents and the period of lease will be freely agreed between tenants and landlords.",,,,,"To do this we intend, in particular, to build on two initiatives we have already taken. First, to encourage more investment by institutions, we will extend the system of assured tenancies.","The tenant will have security of tenure and will renegotiate the rent at the end of the lease, with provision for arbitration if necessary. Second, to encourage new lettings by smaller landlords, we will develop the system of shorthold.",,5,,,,
"10001461","Second, to encourage new lettings by smaller landlords, we will develop the system of shorthold.",,,,,"This will permit new lettings in which rents and the period of lease will be freely agreed between tenants and landlords. The tenant will have security of tenure and will renegotiate the rent at the end of the lease, with provision for arbitration if necessary.","The rents of landlords will be limited to a reasonable rate of return, and the tenant's security of tenure will be limited to the term of the lease, which would be not less than 6 months. This will bring back into use many of the 550,000 private dwellings which now stand empty because of controls, as well as making the provision of new rented housing a more attractive investment.",,5,,,,
"10001471","The rents of landlords will be limited to a reasonable rate of return, and the tenant's security of tenure will be limited to the term of the lease, which would be not less than 6 months.",,,,,"The tenant will have security of tenure and will renegotiate the rent at the end of the lease, with provision for arbitration if necessary. Second, to encourage new lettings by smaller landlords, we will develop the system of shorthold.","This will bring back into use many of the 550,000 private dwellings which now stand empty because of controls, as well as making the provision of new rented housing a more attractive investment. And we will revise the housing benefit system to ensure that it prevents landlords from increasing rents to unreasonable levels at the taxpayer's expense.",,5,,,,
"10001491","And we will revise the housing benefit system to ensure that it prevents landlords from increasing rents to unreasonable levels at the taxpayer's expense.",,,,,"The rents of landlords will be limited to a reasonable rate of return, and the tenant's security of tenure will be limited to the term of the lease, which would be not less than 6 months. This will bring back into use many of the 550,000 private dwellings which now stand empty because of controls, as well as making the provision of new rented housing a more attractive investment.","All existing private and housing association tenants will continue to have their present protection in respect of rents and security of tenure. We will strengthen the law against harassment and unlawful eviction.",,5,,,,
"10001531","In many areas, rent arrears are high.",,,,,"We will strengthen the law against harassment and unlawful eviction. Rights for Council Tenants. Many council estates built in the sixties and seventies are badly designed, vulnerable to crime and vandalism and in bad repair.","In all, over 110,000 council dwellings stand empty. Yet it is often difficult for tenants to move.",,5,,,,
"10001541","In all, over 110,000 council dwellings stand empty.",,,,,"Rights for Council Tenants. Many council estates built in the sixties and seventies are badly designed, vulnerable to crime and vandalism and in bad repair. In many areas, rent arrears are high.","Yet it is often difficult for tenants to move. If they are ever to enjoy the prospect of independence, municipal monopoly must be replaced by choice in renting.",,5,,,,
"10001551","Yet it is often difficult for tenants to move.",,,,,"In many areas, rent arrears are high. In all, over 110,000 council dwellings stand empty.","If they are ever to enjoy the prospect of independence, municipal monopoly must be replaced by choice in renting. We will give groups of tenants the right to form tenant co-operatives, owning and running their management and budget for themselves.",,5,,,,
"10001561","If they are ever to enjoy the prospect of independence, municipal monopoly must be replaced by choice in renting.",,,,,"In all, over 110,000 council dwellings stand empty. Yet it is often difficult for tenants to move.","We will give groups of tenants the right to form tenant co-operatives, owning and running their management and budget for themselves. They will also have the right to ask other institutions to take over their housing.",,5,,,,
"10001581","They will also have the right to ask other institutions to take over their housing.",,,,,"If they are ever to enjoy the prospect of independence, municipal monopoly must be replaced by choice in renting. We will give groups of tenants the right to form tenant co-operatives, owning and running their management and budget for themselves.","Tenants who wish to remain with the local authority will be able to do so. We will give each council house tenant individually the right to transfer the ownership of his or her house to a housing association or other independent, approved landlord.",,5,,,,
"10001591","Tenants who wish to remain with the local authority will be able to do so.",,,,,"We will give groups of tenants the right to form tenant co-operatives, owning and running their management and budget for themselves. They will also have the right to ask other institutions to take over their housing.","We will give each council house tenant individually the right to transfer the ownership of his or her house to a housing association or other independent, approved landlord. In some areas more may be necessary.",,5,,,,
"10001601","We will give each council house tenant individually the right to transfer the ownership of his or her house to a housing association or other independent, approved landlord.",,,,,"They will also have the right to ask other institutions to take over their housing. Tenants who wish to remain with the local authority will be able to do so.","In some areas more may be necessary. The success of Estate Action and Housing Action Areas shows how a carefully targeted approach can transform an area of poor housing and give people there new hope.",,5,,,,
"10001611","In some areas more may be necessary.",,,,,"Tenants who wish to remain with the local authority will be able to do so. We will give each council house tenant individually the right to transfer the ownership of his or her house to a housing association or other independent, approved landlord.","The success of Estate Action and Housing Action Areas shows how a carefully targeted approach can transform an area of poor housing and give people there new hope. Our Urban Development Corporations have been successful in restoring derelict industrial areas.",,5,,,,
"10001621","The success of Estate Action and Housing Action Areas shows how a carefully targeted approach can transform an area of poor housing and give people there new hope.",,,,,"We will give each council house tenant individually the right to transfer the ownership of his or her house to a housing association or other independent, approved landlord. In some areas more may be necessary.","Our Urban Development Corporations have been successful in restoring derelict industrial areas. We believe that a similar approach could be adopted for housing in some places.",,5,,,,
"10001681","resources are directed to the areas where the problems are greatest",,,,,"We will reform the structure of local authority housing accounts so that public funds are directed at the problems of repair and renovation maintenance and management are improved","rent arrears are reduced and fewer houses are left empty.",,5,,,,
"10001701","and fewer houses are left empty.",,,,,"resources are directed to the areas where the problems are greatest rent arrears are reduced","Housing is the biggest single investment that most people make - whether in money or in time, skill and effort. In the last eight years, as a result of our policies, we have seen a dramatic increase in home-ownership.",,5,,,,
"10001711","Housing is the biggest single investment that most people make - whether in money or in time, skill and effort.",,,,,"rent arrears are reduced and fewer houses are left empty.","In the last eight years, as a result of our policies, we have seen a dramatic increase in home-ownership. In the next five years, we will complement that with policies designed to improve the supply and condition of the rented housing stock.",,5,,,,
"10001721","In the last eight years, as a result of our policies, we have seen a dramatic increase in home-ownership.",,,,,"and fewer houses are left empty. Housing is the biggest single investment that most people make - whether in money or in time, skill and effort.","In the next five years, we will complement that with policies designed to improve the supply and condition of the rented housing stock. A Capital-Owning Democracy. Share Ownership. Home-ownership leads naturally to other forms of financial provision for the future - notably to pensions and share-ownership.",,5,,,,
"10001731","In the next five years, we will complement that with policies designed to improve the supply and condition of the rented housing stock.",,,,,"Housing is the biggest single investment that most people make - whether in money or in time, skill and effort. In the last eight years, as a result of our policies, we have seen a dramatic increase in home-ownership.","A Capital-Owning Democracy. Share Ownership. Home-ownership leads naturally to other forms of financial provision for the future - notably to pensions and share-ownership. Half of the working population are in occupational pension schemes, but in 1979 only seven per cent of the population held shares.",,5,,,,
"10001781","And most tax incentives encouraged saving through institutions rather than directly.",,,,,"People were deterred by the sheer unfamiliarity of owning shares. Young people were reluctant to save for a retirement which seemed far away.","With a Conservative Government, all that has been changing. We were determined to make share-ownership available to the whole nation.",,5,,,,
"10001811","Just as with cars, television sets, washing machines and foreign holidays, it would no longer be a privilege of the few",,,,,"With a Conservative Government, all that has been changing. We were determined to make share-ownership available to the whole nation.","it would become the expectation of the many. We achieved this historic transformation in three ways: First, we introduced major tax incentives for employee share-ownership.",,5,,,,
"10001871","The results have been dramatic, and the direct consequence of government policy.",,,,,"Second, starting this year, we brought in Personal Equity Plans, which enable people to invest in British industry entirely free of tax. Third, we embarked on a major programme of privatisation, insisting that small investors and employees of the privatised companies should have a fair chance to join in the buying.","Share ownership has trebled. Almost one in five of the adult population now own shares directly.",,5,,,,
"10001891","Almost one in five of the adult population now own shares directly.",,,,,"The results have been dramatic, and the direct consequence of government policy. Share ownership has trebled.","And the figure will continue to rise. Of this total, the majority are first-time shareholders and most of them own shares in either privatised companies or the TSB group.",,5,,,,
"10001921","One-and-a-half million people hold shares in the companies where they work.",,,,,"And the figure will continue to rise. Of this total, the majority are first-time shareholders and most of them own shares in either privatised companies or the TSB group.","After eight years of Conservative Government, Britain is now at the forefront of a world wide revolution in extending ownership. One in every five British adults now owns shares compared to one in ten Frenchmen and one in twenty Japanese.",,5,,,,
