sentenceid,manifestoid,sentence_text,area,scale,policy_area_gold_reason,Ncodes,EconNeg2,EconNeg1,Econ0,EconPos1,EconPos2,SocNeg2,SocNeg1,Soc0,SocPos1,SocPos2,Neither,propEcon,propSoc,propNone,propEconLeft,propEconMiddle,propEconRight,propSocLeft,propSocMiddle,propSocRight,gold_scale,expanded_gold_scale,gold_position
20004611,LD 1987,We will increase the basic state retirement pension by £2.30 a week for a single person and £3.65 for a married couple.,Econ,Somewhat Left,Setting the state pension is a core part of economic policy. Raising the state pension is generally a  position taken by the left.,6,1,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
20004631,LD 1987,For poorer pensioners we will introduce an additional benefit of £3.70 a week for single people and £5.75 for couples.,Econ,Somewhat Left,Benefits and pensions are a core part of economic policy. Redistributing resources to aid the poor is a position taken by the left.,6,2,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
20004641,LD 1987,This will increase the incomes of poorer pensioners in total by £6 per week (single person) and £9.40 per week (couple).,Econ,Somewhat Left,Benefits and pensions are a core part of economic policy. Redistributing resources to aid the poor is a position taken by the left.,6,2,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
20004651,LD 1987,"We will introduce a Death Grant of £400, recoverable from the estate of the deceased, specifically designed to help pensioners with a small amount of savings feel confident that most of their, or their spouse's, funeral costs will be covered by the Grant",Econ,Somewhat Left,Benefits and pensions are a core part of economic policy. Redistributing resources to aid the poor is a position taken by the left.,6,1,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
20004661,LD 1987,"We will require standing charges for gas, electricity and telephones to be abolished for everyone  ",Econ,Somewhat Left,Government regulation of energy charges is a form of economic policy. Direct intervention to regulate prices or charges is a policy position taken by th left.,6,1,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
20004681,LD 1987,We will increase the bonus by paying a double pension in the first week of December.,Econ,Somewhat Left,Setting the state pension is a core part of economic policy. Raising the state pension is generally a  position taken by the left.,6,2,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
20004691,LD 1987,A single person will receive £39.50 and a married couple £63.25.,Econ,Somewhat Left,Setting the state pension is a core part of economic policy. Raising the state pension is generally a  position taken by the left.,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
20004711,LD 1987,CHILD BENEFIT. We will increase child benefit by £1 per child a week in the first year and by a further £1 per child a week in the second year.,Econ,Somewhat Left,"Child benefits, family grants, and maternity grants are welfare mechanisms, a core part of economic policy. Increasing these is generally a policy of the left.",6,1,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
20004721,LD 1987,MATERNITY GRANT. We will introduce a maternity grant of £150 for the first child born in every family and of £75 for the births of each subsequent child,Econ,Somewhat Left,"Child benefits, family grants, and maternity grants are welfare mechanisms, a core part of economic policy. Increasing these is generally a policy of the left.",6,1,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
20004731,LD 1987,FAMILIES IN WORK. We will add £5 per week to the family credit due to be introduced in April 1968 as a replacement to family income supplement.,Econ,Somewhat Left,"Child benefits, family grants, and maternity grants are welfare mechanisms, a core part of economic policy. Increasing these is generally a policy of the left.",6,1,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
20004751,LD 1987,Unlike the Conservatives we will retain at this stage free school meals and milk for family credit recipients regardless of whether the families are in work or not,Econ,Somewhat Left,"Free school lunches are a form of welfare benefits for hte poor, and form part of economic policy. Increasing these is generally a policy of the left.",6,2,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
20004761,LD 1987,this will ensure equal treatment with families dependent on benefits.,Econ,Somewhat Left,"""Benefits"" means welfare benefits, a core part of economic policy. Redistributing resources to aid the elderly is a position taken by the left.",6,1,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
20004771,LD 1987,"FAMILIES OUT OF WORK. We will increase the family premium under the income support scheme by £5 per week and, in this first phase, we will increase the net amount per child received by income support families by £2 per child per week",Econ,Somewhat Left,"Child benefits, family grants, and maternity grants are welfare mechanisms, a core part of economic policy. Increasing these is generally a policy of the left.",6,1,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
20004821,LD 1987,LONG-TERM UNEMPLOYED. We will establish a new premium under the income support scheme for the long-term unemployed without dependent children of £3.50 a week for a single person and £5 for a couple,Econ,Somewhat Left,"Unemployment benefit are a form of state welfare, a core part of economic policy. Redistributing resources to aid the less well off is a position taken by the left.",6,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
20004831,LD 1987,SOCIAL FUND. We will not place cash limits on the Social Fund and we will replace loans with grants.,Econ,Somewhat Left,Benefits and pensions are a core part of economic policy. Redistributing resources to aid the poor is a position taken by the left.,6,2,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
20004841,LD 1987,We will establish clear criteria of eligibility for special payments and a right of independent appeal and will ensure that the very poor receive extra money to cover heating costs,Econ,Somewhat Left,Benefits and pensions are a core part of economic policy. Redistributing resources to aid the poor is a position taken by the left.,6,1,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
20004851,LD 1987,HOUSING BENEFIT. We will not impose a 20% rates charge on those with very low incomes as the Conservatives plan to do from April 1988.,Econ,Somewhat Left,Benefits and pensions are a core part of economic policy. Redistributing resources to aid the poor is a position taken by the left.,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
20004861,LD 1987,We will not implement the Conservatives' proposed cuts in the funding of Housing Benefit.,Econ,Somewhat Left,Taxes form a core part of economic policy. Redistributing resources to aid the poor is a position taken by the left.,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
20005041,LD 1987,We will replace Invalid Care Allowance by a more generous Carers' Benefit.,Econ,Somewhat Left,Benefits and pensions are a core part of economic policy. Redistributing resources to aid the disabled and poor is a position taken by the left.,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
30000681,Lab 1987,This will be achieved by public investment and by reducing employers' National Insurance contribution in targeted areas.,Econ,Somewhat Left,Public investment is a core part of economic policy. Increasing public spending is usually a policy of the left.,6,2,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
30000811,Lab 1987,"We will immediately increase the single pension by £5 a week and the pension for a married couple by £8, as the first step in re-establishing a link between pensions and average earnings or living costs, whichever is the most favourable to pensioners.",Econ,Somewhat Left,Benefits and pensions are a core part of economic policy. Redistributing resources to aid the elderly is a position taken by the left.,6,2,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
30000821,Lab 1987,We will begin the abolition of the TV licence fee for pensioners.,Econ,Somewhat Left,Benefits and pensions are a core part of economic policy. Redistributing resources to aid the elderly is a position taken by the left.,6,2,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
30000831,Lab 1987,We will provide pensioners on supplementary benefit and others on low incomes with a £5 winter premium to help with fuel bills.,Econ,Somewhat Left,Benefits and pensions are a core part of economic policy. Redistributing resources to aid the elderly is a position taken by the left.,6,2,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
30000841,Lab 1987,We will begin discussions with the fuel industries with a view to phasing out standing charges.,Econ,Somewhat Left,Government regulation of energy charges is a form of economic policy. Direct intervention to regulate prices or charges is a policy position taken by th left.,6,1,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
30000851,Lab 1987,We will fully restore the State Earnings Related Pension Scheme as part of the process of achieving our objective of a pensions level of one-third average earnings for single people and half average earnings for married couples.,Econ,Somewhat Left,Benefits and pensions are a core part of economic policy. Increasing benefits for the less well off is a position taken by the left.,6,1,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
30000861,Lab 1987,We will restore and increase the death grant.,Econ,Somewhat Left,Benefits and pensions are a core part of economic policy. Increasing benefits for the less well off is a position taken by the left.,6,2,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
30000871,Lab 1987,"We will increase child benefit by £3 a week for all children, raise the allowance to the first child by £7.36, and increase one- parent family benefit by £2.20.",Econ,Somewhat Left,"Direct benefits are a form of state welfare, a core part of economic policy. Raising these is usually a policy of the left.",6,2,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
30000881,Lab 1987,We will restore and increase the maternity grant.,Econ,Somewhat Left,"Direct benefits are a form of state welfare, a core part of economic policy. Raising these is usually a policy of the left.",6,2,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
30000891,Lab 1987,We will start to phase in a new disability income scheme and provide resources to give special support to young people with disabilities.,Econ,Somewhat Left,Benefits and pensions are a core part of economic policy. Redistributing resources to aid the disabled and poor is a position taken by the left.,6,2,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
30000911,Lab 1987,We will extend the long-term supplementary benefit rate to the long-term unemployed.,Econ,Somewhat Left,Benefits are a core part of economic policy. Redistributing resources to aid the poor and those out of work is a position taken by the left.,6,3,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
30000921,Lab 1987,"We will implement a comprehensive strategy for ending low pay, notably by the introduction of a statutory national minimum wage.",Econ,Somewhat Left,Setting legal minimum wages is economic policy. Setting or raising minimum wages is a policy of the left.,6,4,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
30001021,Lab 1987,We will reverse the extra tax cuts which the richest 5 per cent have received from the Tory government and allocate that money instead to the most needy.,Econ,Somewhat Left,Benefits and pensions are a core part of economic policy. Redistributing resources to aid the poor is a position taken by the left.,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,NA,0,Economic,Economic,Economic
30001031,Lab 1987,"We will also bring forward other reforms to capital taxation - including the introduction of a wealth tax, which, whilst applying to only the wealthiest one per cent of the population, will, over the years, bring a significant contribution from those in our society best able to pay.",Econ,Somewhat Left,Benefits and pensions are a core part of economic policy. Redistributing resources to aid the poor is a position taken by the left.,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,NA,0,Economic,Economic,Economic
30001251,Lab 1987," We shall extend social ownership by a variety of means, as set out in Labour's detailed proposals.",Econ,Somewhat Left,"Social ownership is a form of public ownership, an element of economic policy. Advocating public ownership (as opposed to privatisation) is a position of the left.",6,3,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
30001271,Lab 1987,"Social ownership of basic utilities like gas and water is vital to ensure that every individual has access to their use and that the companies contribute to Britain's industrial recovery, for instance, by buying British.",Econ,Somewhat Left,"Social ownership is a form of public ownership, an element of economic policy. Advocating public ownership (as opposed to privatisation) is a position of the left.",6,4,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
30001281,Lab 1987,We shall start by using the exist mg 49 per cent holding in British Telecom to ensure proper influence in their decisions.,Econ,Somewhat Left,Government regulation of utilities and service providers is a form of economic policy. Direct intervention to regulate prices or charges is a policy position taken by th left.,6,2,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
30001331,Lab 1987," Bring in a stronger regulatory framework to ensure honest practice in the City of London and introduce new safeguards on mergers, takeovers and monopolies to protect our national industrial, technological and research and development interests.",Econ,Somewhat Left,Government regulation of industry is a form of economic policy. Direct intervention to regulate prices or charges or to impose greater rules is a policy position taken by th left.,6,3,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
30001621,Lab 1987,"Labour's objective is to broaden and deepen the liberty of all individuals in our community: to free people from poverty, exploitation and fear to free them to realise their full potential to see that everyone has the liberty to enjoy real chances, to make real choices.",Econ,Somewhat Left,"Policies to erase poverty involve redistribution, a core part of economic policy. Focusing on decreasing inequalities is a policy of the left.",6,3,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
30001631,Lab 1987,It means collective provision for private use.,Econ,Somewhat Left,Public ownership of firms is an element of economic policy. Advocating public ownership (as opposed to privatisation) is a position of the left.,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,NA,0,Economic,Economic,Economic
50000441,LD 1997,"In the first year, we will double spending on books and equipment to overcome the effect of recent cuts.",Econ,Somewhat Left,Public spending is a form of economic policy. Advocating increases in public spending is a position generally taken by the left.,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
50000511,LD 1997,This will be the first call on our £2 billion annual programme of extra investment in education.,Econ,Somewhat Left,Public spending is a form of economic policy. Advocating increases in public spending is a position generally taken by the left.,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
50001981,LD 1997,"We will extend the benefits of the Social Chapter of the Maastricht Treaty to all UK employees, while resisting the adoption of new rules that unnecessarily harm job opportunities.",Econ,Somewhat Left,"The social chapter of the Maastricht Treaty is a form of regulations imposed on employment, a form of economic policy. Adocating this system of social protections is a position held by the left.",6,1,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
50006091,LD 1997,"This will be paid for by introducing a new top tax rate of 5Op on taxable income of over £100,000 per year. ",Econ,Somewhat Left,Taxes form a core part of economic policy. Increasing taxes on the best-paid is a policy of the left.,6,4,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
50008451,LD 1997,"This tax cut will be paid for by introducing a new rate of income tax of 50%, payable on taxable income of over £100,000 per year.",Econ,Somewhat Left,Taxes form a core part of economic policy. Increasing taxes on the best-paid is a policy of the left.,6,3,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
60002701,Lab 1997,We are committed to reversing this trend of spending.,Econ,Somewhat Left,Public spending is a form of economic policy. Advocating increases in public spending is a position generally taken by the left.,6,1,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
60002711,Lab 1997,"Over the course of a five-year Parliament, as we cut the costs of economic and social failure we will raise the proportion of national income spent on education.",Econ,Somewhat Left,Public spending is a form of economic policy. Advocating increases in public spending is a position generally taken by the left.,6,1,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
60003561,Lab 1997,National minimum wage to tackle low pay,Econ,Somewhat Left,Setting legal minimum wages is economic policy. Setting or raising minimum wages is a policy of the left.,6,3,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
60004261,Lab 1997,"Introduced sensibly, the minimum wage will remove the worst excesses of low pay (and be of particular benefit to women), while cutting some of the massive £4 billion benefits bill by which the taxpayer subsidises companies that pay very low wages.",Econ,Somewhat Left,Setting legal minimum wages is economic policy. Setting or raising minimum wages is a policy of the left.,6,1,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Economic,Economic,Economic
10000211,Con 1987,That the leader of the Transport and General Workers' Union was widely seen as the most powerful man in the land?,Econ,Somewhat Right,Government relations with trade unions are a part of economic policy. Advocating a more limited role for trade unions is generally a policy of the right.,6,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Economic,Economic,Economic
10000231,Con 1987,"And that Labour's much-vaunted pay pact with the unions collapsed in the industrial anarchy of the winter of discontent, n which the dead went unburied, rubbish piled up in the streets and the country was gripped by a creeping paralysis which Labour was powerless to cure?",Econ,Somewhat Right,Government relations with trade unions are a part of economic policy. Advocating a more limited role for trade unions is generally a policy of the right.,6,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Economic,Economic,Economic
10000641,Con 1987,"Remember: The year-long coal strike, with its violence and intimidation on a massive scale.",Econ,Somewhat Right,Government relations with trade unions are a part of economic policy. Advocating a more limited role for trade unions is generally a policy of the right.,6,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Economic,Economic,Economic
10000651,Con 1987,It failed and mining productivity has since soared.,Econ,Somewhat Right,Government relations with trade unions are a part of economic policy. Advocating a more limited role for trade unions is generally a policy of the right.,6,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Economic,Economic,Economic
10000901,Con 1987,Our goal is a capital-owning democracy of people and families who exercise power over their own lives n the most direct way.,Econ,Somewhat Right,Government regulations to encourage share ownership is a form of economic policy. The right has traditionally favored private ownership of private firms through owning shares (stocks).,6,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Economic,Economic,Economic
10000941,Con 1987,But what this Conservative Government has done is to make it easier for people to acquire independence for themselves: by introducing the right to buy council houses,Econ,Somewhat Right,Public provision of housing (for those unable to afford houses otherwise) is a form of economic policy. Wanting to shift ownership from the state to private residents is a policy of th eright.,6,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Economic,Economic,Economic
10000951,Con 1987,by returning nationalised industries to the people in ways that encourage the widest possible spread of ownership,Econ,Somewhat Right,Public ownership of firms is an element of economic policy. Advocating private ownership (as opposed to public ownership or nationalization) is a position of the right.,6,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Economic,Economic,Economic
10000961,Con 1987,by making it easier to buy shares in British industry through employee share schemes and Personal Equity Plans.,Econ,Somewhat Right,Government regulations to encourage share ownership is a form of economic policy. The right has traditionally favored private ownership of private firms through owning shares (stocks).,6,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Economic,Economic,Economic
10000991,Con 1987,"And because these first-time shareholders and home-owners are more independent, they develop a more independent outlook.",Econ,Somewhat Right,Government regulations to encourage invidual ownership of homes or firms is a form of economic policy. The right has traditionally favored private ownership.,6,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Economic,Economic,Economic
10001001,Con 1987,"They are no longer content that some of the most important decisions in their lives what school their children attend, for example, or whether or not to go on strike should be taken by officialdom or trade union bosses.",Econ,Somewhat Right,Government relations with trade unions are a part of economic policy. Advocating a more limited role for trade unions is generally a policy of the right.,6,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Economic,Economic,Economic
10001031,Con 1987,State power is checked and opportunities are spread throughout society.,Econ,Somewhat Right,State power here is exercised through economic policy. Wanting to reduce the reach of the state in economic affairs generally is a policy of the right.,6,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Economic,Economic,Economic
10001051,Con 1987,In this way One Nation is finally reached not by a single people being conscripted into an organised socialist programme but by millions of people building their own lives in their own way.,Econ,Somewhat Right,"Individual power here is exercised through private ownership and private economic means, making this economic policy. Advocating more private and less public ownership is a policy of the right.",6,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Economic,Economic,Economic
10001091,Con 1987,It is the foundation stone of a capital-owning democracy.,Econ,Somewhat Right,Public ownership of capital (firms) is an element of economic policy. Advocating private ownership (as opposed to public ownership or nationalization) is a position of the right.,6,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Economic,Economic,Economic
10001121,Con 1987,Home-ownership has been the great success story of housing policy in the last eight years.,Econ,Somewhat Right,Government policies to encourage private home ownership is an element of economic policy. Advocating private (as opposed to state) ownership is a position of the right.,6,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Economic,Economic,Economic
10001191,Con 1987,Our abolition of the conveyancing monopoly has already made it cheaper.,Econ,Somewhat Right,"""Conveyancing"" means the fees charged to those who sell or buy property. Government policies to encourage private home ownership is an element of economic policy. Advocating private (as opposed to state) ownership is a position of the right.",6,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Economic,Economic,Economic
10001411,Con 1987,We must attract new private investment into rented housing - both from large institutions such as building societies and housing associations as well as from small private landlords.,Econ,Somewhat Right,Government policies to encourage private home ownership is an element of economic policy. Advocating private (as opposed to state) ownership is a position of the right.,6,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Economic,Economic,Economic
10001571,Con 1987,"We will give groups of tenants the right to form tenant co-operatives, owning and running their management and budget for themselves.",Econ,Somewhat Right,Government policies to encourage private home ownership is an element of economic policy. Advocating private (as opposed to state) ownership is a position of the right.,6,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Economic,Economic,Economic
10001741,Con 1987,A Capital-Owning Democracy. Share Ownership. Home-ownership leads naturally to other forms of financial provision for the future - notably to pensions and share-ownership.,Econ,Somewhat Right,Government regulations to encourage invidual ownership of homes or firms is a form of economic policy. The right has traditionally favored private ownership.,6,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Economic,Economic,Economic
10001801,Con 1987,We were determined to make share-ownership available to the whole nation.,Econ,Somewhat Right,Government regulations to encourage share ownership is a form of economic policy. The right has traditionally favored private ownership of private firms through owning shares (stocks).,6,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Economic,Economic,Economic
10001831,Con 1987,"We achieved this historic transformation in three ways: First, we introduced major tax incentives for employee share-ownership.",Econ,Somewhat Right,Government regulations to encourage share ownership is a form of economic policy. The right has traditionally favored private ownership of private firms through owning shares (stocks).,6,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Economic,Economic,Economic
10001841,Con 1987,Seven out of the last eight budgets have included measures to encourage people to purchase shares in the company in which they work.,Econ,Somewhat Right,Government regulations to encourage share ownership is a form of economic policy. The right has traditionally favored private ownership of private firms through owning shares (stocks).,6,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Economic,Economic,Economic
10001851,Con 1987,"Second, starting this year, we brought in Personal Equity Plans, which enable people to invest in British industry entirely free of tax.",Econ,Somewhat Right,Government regulations to encourage share ownership is a form of economic policy. The right has traditionally favored private ownership of private firms through owning shares (stocks).,6,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Economic,Economic,Economic
10001861,Con 1987,"Third, we embarked on a major programme of privatisation, insisting that small investors and employees of the privatised companies should have a fair chance to join in the buying.",Econ,Somewhat Right,Public ownership of firms is an element of economic policy. Advocating private ownership (as opposed to public ownership or nationalization) is a position of the right.,6,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Economic,Economic,Economic
10001961,Con 1987,This is the first stage of a profound and progressive social transformation - popular capitalism.,Econ,Somewhat Right,Government regulations to encourage share ownership is a form of economic policy. The right has traditionally favored private ownership of private firms through owning shares (stocks).,6,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Economic,Economic,Economic
10001971,Con 1987,Owning a direct stake in industry not only enhances personal independence,Econ,Somewhat Right,Government regulations to encourage share ownership is a form of economic policy. The right has traditionally favored private ownership of private firms through owning shares (stocks).,6,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Economic,Economic,Economic
10001991,Con 1987,More realistic attitudes to profit and investment take root.,Econ,Somewhat Right,Government regulations to encourage share ownership is a form of economic policy. The right has traditionally favored private ownership of private firms through owning shares (stocks).,6,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Economic,Economic,Economic
