"text_unit_id","sentence_text","pre_sentence","post_sentence","policy_area_gold","econ_scale_gold","soc_scale_gold","_gold"
50008451,"This tax cut will be paid for by introducing a new rate of income tax of 50%, payable on taxable income of over £100,000 per year.","We will increase the amount of income which people can receive before they start to pay income tax by £200 per year to £4,245.","Half a million people will be freed from income tax altogether.",2,-1,NA,"TRUE"
10000901,"Our goal is a capital-owning democracy of people and families who exercise power over their own lives n the most direct way.","WIDER OWNERSHIP AND GREATER OPPORTUNITY. Conservatives aim to extend as widely as possible the opportunity to own property and build up capital, to exercise real choice in education, and to develop economic independence and security.","They would take the important decisions - as tenants, home-owners, parents, employees, and trade unionists rather than having them taken for them.",2,1,NA,"TRUE"
10000991,"And because these first-time shareholders and home-owners are more independent, they develop a more independent outlook.","There has been a surge of home-ownership, share-ownership and self-reliance.","They are no longer content that some of the most important decisions in their lives what school their children attend, for example, or whether or not to go on strike should be taken by officialdom or trade union bosses.",2,1,NA,"TRUE"
10001801,"We were determined to make share-ownership available to the whole nation.","With a Conservative Government, all that has been changing.","Just as with cars, television sets, washing machines and foreign holidays, it would no longer be a privilege of the few",2,1,NA,"TRUE"
10001831,"We achieved this historic transformation in three ways: First, we introduced major tax incentives for employee share-ownership.","it would become the expectation of the many.","Seven out of the last eight budgets have included measures to encourage people to purchase shares in the company in which they work.",2,1,NA,"TRUE"
10001861,"Third, we embarked on a major programme of privatisation, insisting that small investors and employees of the privatised companies should have a fair chance to join in the buying.","Second, starting this year, we brought in Personal Equity Plans, which enable people to invest in British industry entirely free of tax.","The results have been dramatic, and the direct consequence of government policy.",2,1,NA,"TRUE"
10003361,"There is a strong moral case for reducing taxation.","And tax relief for charitable donations encourages more people to give and to give more generously.","High taxes deprive people of their independence and make their choices for them.",2,1,NA,"TRUE"
40000771,"If we try to protect ourselves from these challenges with more regulations, public subsidies and a cosy dependence on government then Britain will fail.","That means new markets for British goods and services, but new competitors for British companies as well.","But if we boldly embrace these new opportunities by pushing forward the economic revolution we began in 1979, then we will enter the next millennium with boundless prospects for growth and prosperity.",2,1,NA,"TRUE"
40000861,"A LOW TAX ECONOMY. For enterprise to flourish, the state must get out of the way of the wealth creators.","Our aim now is to safeguard these achievements and build on them, so Britain becomes the unrivalled Enterprise Centre of Europe.","We are the only party that can cut taxes because we are the only party which is serious about controlling public spending.",2,1,NA,"TRUE"
40001001,"Our aim is to ensure Britain keeps the lowest tax burden of any major European economy.","This is one of the reasons why we are becoming the Enterprise Centre of Europe.",".",2,1,NA,"TRUE"
40001451,"High taxes and rates deter enterprise.","Now we intend to go further, tackling the remaining problems they face.","Our low tax structure has been crucial to our industrial revival.",2,1,NA,"TRUE"
40002761,"Our goal is that by 2000, more than half of the employees of Britain's larger companies will own shares in those companies.","To encourage a further expansion of worker shares, our new Share Match Scheme will allow employees to be rewarded with additional free shares if they acquire a stake in their company.","Four and a half million people now benefit from tax free TESSAs and 2.5 million from PEP schemes to encourage the accumulation of long term saving.",2,1,NA,"TRUE"
40006461,"We will ensure private ownership, competition and regulation continue to deliver lower prices and better services for consumers.","In 1996 those now privatised companies paid taxes of £60 million per week.","We will extend competition for domestic gas users, and introduce competition in the water industry, starting with large users.",2,1,NA,"TRUE"
40006821,"Any strike action will also have to be approved by a majority of all members eligible to vote and ballots will have to be repeated at regular intervals if negotiations are extended.","Members of the public and employers will be able to seek injunctions to prevent industrial action in these circumstances.","TRANSPORT. Our railways are already improving now they have been liberated into the private sector.",2,1,NA,"TRUE"
10010101,"Today Britain is a stable and well-governed country which exercises great influence in the world.","","",1,NA,NA,"TRUE"
20001331,"Devolve power to a legislative Scottish Assembly",""," establish a Welsh Senedd and decentralise decision-making to the English regions in accordance with the wishes of their electors.",1,NA,NA,"TRUE"
40005091," arts","We will continue to encourage the establishment of more specialist schools in technology"," languages and sport.",1,NA,NA,"TRUE"
40009731," our unique global network","We will continue to support the Commonwealth"," to encourage the spread of democracy",1,NA,NA,"TRUE"
40009861,"","We want to be in Europe but not run by Europe.","",1,NA,NA,"TRUE"
40010631," experience and history.","It has been woven over the centuries - the product of hundreds of years of knowledge","",1,NA,NA,"TRUE"
40010841," and the guarantee of our freedoms.","The supremacy of parliament is fundamental to our democracy","",1,NA,NA,"TRUE"
50000141,"","Or modernise our politics to give people more say.","",1,NA,NA,"TRUE"
50005651,"","Clean up party funding.","",1,NA,NA,"TRUE"
50007511,"","We therefore favour the wider application of majority voting.","",1,NA,NA,"TRUE"
60007921,"","A Labour government will also work to bring the Olympics and other major intertiol sporting events to Britain.","",1,NA,NA,"TRUE"
60010111," language and legal systems.","The Commonwealth provides Britain with a unique network of contacts linked by history","",1,NA,NA,"TRUE"
10007211,"by providing a tough legal framework for sentencing","But Government must give a lead: by backing, not attacking the police","by building the prisons in which to place those who pose a threat to society - and by keeping out of prison those who do not",3,NA,1,"TRUE"
10007271,"We have given the police more powers to avert public disorder.","The manpower available to the police has been increased by 16,500 since 1979.","We have encouraged tougher sentences for violent criminals.",3,NA,1,"TRUE"
10007291,"The maximum penalties for trafficking in hard drugs and for attempted rape have been raised to life imprisonment.","We have encouraged tougher sentences for violent criminals.","The courts have been empowered to strip drug traffickers of their profits.",3,NA,1,"TRUE"
10007531,"BUILDING ON STRENGTH. We will continue to put a high priority on the fight against crime, so that the citizen can feel safe on the street or in his home.","We have already signed an extradition treaty with the United States which will make it more difficult for terrorists to escape British justice: now we will reform our own law on extradition so as to make still more effective the international w","We will: increase the number of police further to ensure a stronger police presence on our streets, to combat crime and to protect the public",3,NA,1,"TRUE"
10007681,"Traffickers can now be sentenced to life imprisonment.","We have strengthened the effectiveness of the police in the fight against drug abuse.","They also stand to lose all the wealth generated by their evil trade under the most far-reaching asset seizure provisions anywhere in the world.",3,NA,1,"TRUE"
40007871,"We will extend electronically monitored curfew orders nationwide for those aged 16 and over.","They have been shown to keep criminals indoors - curbing their freedom as a punishment - and keeping them out of trouble in the meantime.","Persistent offenders account for a high proportion of all crime.",3,NA,1,"TRUE"
40007891,"Prison works - not only as a deterrent, but in keeping these criminals off the street.","Persistent offenders account for a high proportion of all crime.","Those sent to prison are less likely to re-offend on release than those given a community punishment.",3,NA,1,"TRUE"
40007911,"We will provide another 8,500 prison places by the year 2000.","Those sent to prison are less likely to re-offend on release than those given a community punishment.","We will introduce minimum sentences for violent and persistent criminals to help protect the public more effectively, reversing Labour's wrecking amendments to our tough Crime Bill.",3,NA,1,"TRUE"
40007931,"Anyone convicted of a second serious sexual or violent crime, like rape or armed robbery, will get an automatic life sentence.","We will introduce minimum sentences for violent and persistent criminals to help protect the public more effectively, reversing Labour's wrecking amendments to our tough Crime Bill.","Persistent house burglars and dealers in hard drugs will receive mandatory minimum prison sentences of 3 and 7 years respectively.",3,NA,1,"TRUE"
40007951,"We will restore honesty in sentencing by abolishing automatic early release.","Persistent house burglars and dealers in hard drugs will receive mandatory minimum prison sentences of 3 and 7 years respectively.","SUPPORT FOR VICTIMS. Concern for the victim must be at the heart of our entire approach to the criminal justice system.",3,NA,1,"TRUE"
40011611,"JUVENILE CRIME: Give the courts power to impose speedy sanctions on youngsters, including an element of reparation to the victim","A SAFE AND CIVIL SOCIETY. PUBLIC SAFETY: Support local police schemes to crack down on petty crime, and continue our funding for the installation of TV security cameras in town centres and public places that want them throughout the next parlia","and continue our war against drugs.",3,NA,1,"TRUE"
40011631,"PERSISTENT CRIMINALS: Ensure persistent house burglars and dealers in hard drugs receive mandatory minimum prison sentences.","and continue our war against drugs.","A CONFIDENT, UNITED AND SOVEREIGN NATION. QUALITY OF LIFE: Continue the renaissance of our towns and cities, in particular harnessing private capital to regenerate the worst public housing estates",3,NA,1,"TRUE"
30003281,"WOMEN'S RIGHTS. More than half of Britain's people - the women of our country - are still denied many essential rights.","In addition, we will take steps to ensure that homosexuals are not discriminated against.","Labour's Ministry for Women will make sure that, in framing their policies, all government departments listen and respond to women's needs and concerns.",3,NA,-1,"TRUE"
30003571,"We will strengthen the law on public order to combat racial hatred and take firm action against the growing menace of racial attacks.","In addition, Labour will take firm action to promote racial equality, to attack racial discrimination and to encourage contract compliance and other positive means of ensuring equity for all citizens.","We will make prosecution easier in order to encourage the reporting of offences.",3,NA,-1,"TRUE"
20001701,"The Conservative Government refuses to recognise that homelessness, unemployment and aimless bed-and-breakfast regimes are breeding-grounds of delinquency.","Some Labour-controlled boroughs refuse to co-operate with the police in combating crime.","Both are wrong.",3,NA,-1,"TRUE"
20002321,"ALTERNATIVES TO PRISON. Every effort should be made to ensure that fine defaulters, elderly shoplifters and drunks are not sent to prison.","Detention centres, already under-used by the Courts, should be abolished, and the accommodation released to be used for remand centres.","Police cautions and intermediate treatment should be more widely used.",3,NA,-1,"TRUE"
20002341,"Where punishment is appropriate, it should normally be community service rather than prison","Police cautions and intermediate treatment should be more widely used.","but many of these offenders are more appropriately dealt with by rehabilitation or medical treatment.",3,NA,-1,"TRUE"
50003571,"We will concentrate resources on crime prevention and on increasing conviction rates, rather than spending billions on building prisons.","We will encourage the use of community sentences, as an alternative to prison, where the result is likely to be less reoffending, and use prison sentences where they are essential to public protection or to make punishment effective.","Focus on crime prevention.",3,NA,-1,"TRUE"
50007041,"ETHNIC MINORITIES. Despite progress over recent years, members of ethnic minorities are too often denied equal opportunities and have to face racism and discrimination on a daily basis.","As part of our £2 billion investment in education, we will increase funding for, and enforce implementation of, the Code of Practice for Special Educational Needs.","Diversity, pluralism and a multicultural society are sources of strength for Britain.",3,NA,-1,"TRUE"
50007061,"We will: Strengthen action against discrimination.","Diversity, pluralism and a multicultural society are sources of strength for Britain.","We will create a new Human Rights Commission, combining the Commission for Racial Equality and the Equal Opportunities Commission.",3,NA,-1,"TRUE"
50007131,"We will ensure that immigration policy is non-discriminatory in its application.","Free immigration laws from racial discrimination.","We will reform current immigration laws so as to enable genuine family reunions.",3,NA,-1,"TRUE"
50007221,"We will: Ensure equality before the law for lesbians and gay men through our new Human Rights Commission and the Bill of Rights.","Diversity is a source of strength.","We will create a common age of consent regardless of gender or sexual orientation.",3,NA,-1,"TRUE"
50007241,"Stop discrimination.","We will create a common age of consent regardless of gender or sexual orientation.","We will outlaw incitement to hatred and discrimination in housing and employment, including the armed forces, on grounds of sexual orientation.",3,NA,-1,"TRUE"
10000641,"REMEMBER: The year-long coal strike, with its violence and intimidation on a massive scale.","The new Conservative policies met bitter resistance every step of the way.","It failed and mining productivity has since soared.",2,1,NA,"TRUE"
10000941,"But what this Conservative Government has done is to make it easier for people to acquire independence for themselves: by introducing the right to buy council houses","That is something we must all achieve by our own efforts.","by returning nationalised industries to the people in ways that encourage the widest possible spread of ownership",2,1,NA,"TRUE"
10001841,"Seven out of the last eight budgets have included measures to encourage people to purchase shares in the company in which they work.","We achieved this historic transformation in three ways: First, we introduced major tax incentives for employee share-ownership.","Second, starting this year, we brought in Personal Equity Plans, which enable people to invest in British industry entirely free of tax.",2,1,NA,"TRUE"
10001971,"Owning a direct stake in industry not only enhances personal independence","This is the first stage of a profound and progressive social transformation - popular capitalism.","it also gives a heightened sense of involvement and pride in British business.",2,1,NA,"TRUE"
10001991,"More realistic attitudes to profit and investment take root.","it also gives a heightened sense of involvement and pride in British business.","And the foundations of British economic achievement are further strengthened.",2,1,NA,"TRUE"
10002041,"We will privatise more state industries in ways that increase share-ownership, both for the employees and for the public at large.","We will reintroduce our proposed tax incentives for profit-related pay.","RAISING STANDARDS IN EDUCATION. Parents want schools to provide their children with the knowledge, training and character that will fit them for today's world.",2,1,NA,"TRUE"
10002941,"limit further the abuse of the closed shop by providing protection against unfair dismissal for all non-union employees, and removing any legal immunity from industrial action to establish or enforce a closed shop","make independently supervised postal ballots compulsory for such elections","provide new safeguards on the use of union funds",2,1,NA,"TRUE"
10002961,"establish a new trade union commissioner with the power to help individual trade unionists to enforce their fundamental rights.","provide new safeguards on the use of union funds","BUILDING PROSPERITY AND EMPLOYMENT. Since this Government took office in 1979, we have restored honest money and established a stable economic framework in which business can flourish.",2,1,NA,"TRUE"
10002981,"We have been careful not to spend money before we earned it.","BUILDING PROSPERITY AND EMPLOYMENT. Since this Government took office in 1979, we have restored honest money and established a stable economic framework in which business can flourish.","We have brought the nation back to living within its means.",2,1,NA,"TRUE"
10003231,"If even some of their policies were implemented today, higher borrowing and higher spending would once again unleash inflation.","The Opposition parties opposed nearly every aspect of this strategy.","There is no better yardstick of a party's fitness to govern that its attitude to inflation.",2,1,NA,"TRUE"
10003281,"LOWER TAXES. We are the only Party that believes in lower taxation.","We will not be content until we have stable prices, with inflation eradicated altogether.","As the Party determined to achieve growing prosperity we recognise that it is people who create wealth, not governments.",2,1,NA,"TRUE"
10003321,"It promotes a climate of enterprise and initiative.","It encourages people to work harder, to be inventive and to take risks.","Lower tax on earnings enables people to build up savings to give them financial security in later life.",2,1,NA,"TRUE"
10003341,"Lower taxation, by increasing take-home pay without adding to industry's costs, improves competitiveness and helps with jobs.","Lower tax on earnings enables people to build up savings to give them financial security in later life.","And tax relief for charitable donations encourages more people to give and to give more generously.",2,1,NA,"TRUE"
10003371,"High taxes deprive people of their independence and make their choices for them.","There is a strong moral case for reducing taxation.","The desire to do better for one's family is one of the strongest motives in human nature.",2,1,NA,"TRUE"
10003391,"As a party committed to the family and opposed to the over-powerful State, we want people to keep more of what they earn, and to have more freedom of choice about what they do for themselves, their families and for others less fortunate.","The desire to do better for one's family is one of the strongest motives in human nature.","Governments should trust people to spend their own money sensibly and decently",2,1,NA,"TRUE"
10003401,"Governments should trust people to spend their own money sensibly and decently","As a party committed to the family and opposed to the over-powerful State, we want people to keep more of what they earn, and to have more freedom of choice about what they do for themselves, their families and for others less fortunate.","high taxation prevents them doing so.",2,1,NA,"TRUE"
10003411,"high taxation prevents them doing so.","Governments should trust people to spend their own money sensibly and decently","That is why we have: cut the basic rate of tax from 33p to 27p in the £, and increased the personal allowances (the starting point for paying tax) by 22 per cent more than inflation.",2,1,NA,"TRUE"
10003471,"abolished four taxes completely: the national insurance surcharge - the tax which Labour put on jobs - the investment income surcharge, the development land tax and the lifetime gifts tax","Giving to charities has doubled since we first took office","reformed and simplified corporation tax, and cut its rate to the lowest of any major industrial country",2,1,NA,"TRUE"
10003491,"cut the small business corporation tax rate by more than a third, and extended it to many more small businesses","reformed and simplified corporation tax, and cut its rate to the lowest of any major industrial country","reformed and reduced capital taxes as well as slashing stamp duty.",2,1,NA,"TRUE"
10003561,"We believe that it is precisely the wrong thing to do.","Indeed, all the Opposition parties Labour, Liberals and SDP - would raise taxation.","It will be our aim to do the opposite.",2,1,NA,"TRUE"
10003571,"It will be our aim to do the opposite.","We believe that it is precisely the wrong thing to do.","In the next Parliament: We aim to reduce the burden of taxation.",2,1,NA,"TRUE"
10003581,"In the next Parliament: We aim to reduce the burden of taxation.","It will be our aim to do the opposite.","In particular, we will cut income tax still further and reduce the basic rate to 25p in the £ as soon as we prudently can.",2,1,NA,"TRUE"
10003591,"In particular, we will cut income tax still further and reduce the basic rate to 25p in the £ as soon as we prudently can.","In the next Parliament: We aim to reduce the burden of taxation.","We will continue the process of tax reform.",2,1,NA,"TRUE"
10004321,"It is employers who are best equipped to assess their training needs.","The Manpower Services Commission would then become primarily a training agency.","We will increase employer representation on the Commission and its advisory bodies.",2,1,NA,"TRUE"
10004331,"We will increase employer representation on the Commission and its advisory bodies.","It is employers who are best equipped to assess their training needs.","More jobs are being created by business and industry.",2,1,NA,"TRUE"
10004351,"Nothing would destroy whole industries more effectively than a return to the overmanning and restrictive practices of the 1970s.","More jobs are being created by business and industry.","Our policies form a practical and realistic approach to help people back into work.",2,1,NA,"TRUE"
10004481,"PRIVATISATION. Over a third of the companies and industries which used to be owned by the State have been returned to free enterprise.","The Conservative Government has created a framework in which once again enterprise can flourish - by cutting red tape, by denationalising state-owned companies, by removing unnecessary restrictions, by abolishing exchange control, by enabling t","Productivity and profitability have soared in the newly privatised companies.",2,1,NA,"TRUE"
10004581,"And they have been exposed to the full commercial disciplines of the customer.","Their companies have been released from the detailed controls of Whitehall and given more freedom to manage their own affairs.","Even former monopolies now face increased competition.",2,1,NA,"TRUE"
10004611,"In particular, after the privatisation of the British Airports Authority we will return to the public the Water Authorities, leaving certain functions to a new National Rivers Authority.","We will continue the successful programme of privatisation.","Following the success of gas privatisation, with the benefits it brought to employees and millions of consumers, we will bring forward proposals for privatising the electricity industry subject to proper regulation.",2,1,NA,"TRUE"
10004651,"Accordingly, this Government has: deregulated long-distance coach services creating over 700 new services with improved quality and lower fares","It promotes efficiency, holds down costs, drives companies to innovate and ensures that customers get the best possible value for money.","removed the monopoly on conveyancing of houses in England and Wales",2,1,NA,"TRUE"
10004681,"relaxed advertising controls on accountants, solicitors, stockbrokers and vets, and permitted greater fee competition for architects and surveyors","removed the opticians' monopoly, making it easier and cheaper to buy spectacles","increased competition on air routes within the UK and between certain European countries, which has resulted in cheaper fares, a more responsive service and greater choice of carriers for the passenger",2,1,NA,"TRUE"
10004701,"deregulated telecommunications, so that customers can now choose between suppliers when buying telephones and private exchanges, and business can choose between two alternative telecommunications networks","increased competition on air routes within the UK and between certain European countries, which has resulted in cheaper fares, a more responsive service and greater choice of carriers for the passenger","suspended the Post Office monopoly of time-sensitive and valuable mail, stimulating a dramatic increase in the number of private courier companies.",2,1,NA,"TRUE"
10004801,".","The financial services sector as a whole accounts for nearly 6 per cent of our national income, generates a net £7 billion per year to our balance of payments, and employs over one million people.","This has brought nearer the day when shares can be bought and sold over the counter in every high street.",2,1,NA,"TRUE"
10005061,"We are now returning the nationalised bus companies to the private sector in many cases to management buy-outs.","We will develop it further along these lines.","We are also privatising the former British Airports Authority the world's leading international airports group.",2,1,NA,"TRUE"
10005071,"We are also privatising the former British Airports Authority the world's leading international airports group.","We are now returning the nationalised bus companies to the private sector in many cases to management buy-outs.","We are committed to a major capital investment programme through: new investment to build an extra 450 miles of motorway and trunk roads to 1989/90",2,1,NA,"TRUE"
10006741,"But retired people value their independence.","We will continue to maintain the value of the state retirement pension.","They do not want to rely on the State alone for their income nor, increasingly, are they doing so.",2,1,NA,"TRUE"
10006751,"They do not want to rely on the State alone for their income nor, increasingly, are they doing so.","But retired people value their independence.","We share Beveridge's original goal of a good basic pension from the State, together with a second income from occupational and personal pensions and savings.",2,1,NA,"TRUE"
10006901,"These measures will further increase choice for millions of employees.","In the next Parliament: We will reintroduce measures to give substantial tax incentives to personal pensions, and to enable members of occupational schemes to make additional voluntary contributions to a pension plan that is completely separate","Second, to bring more help to low income families.",2,1,NA,"TRUE"
10008431,"But in many of our inner cities the conditions for enterprise and pride of ownership have been systematically extinguished by Socialist councils.","The growth in our national prosperity in recent years has been founded on a rebirth of enterprise.","For the sake of those living in our inner cities we must remove the barriers against private investment, jobs and prosperity which such councils have erected.",2,1,NA,"TRUE"
10008461,"Our Unified Business Rate will ensure that companies and jobs are not driven out of inner city areas by the high rates of profligate councils.","We are setting up five new Urban Development Corporations which will have the powers, resources and management structure to reclaim and redevelop great tracts of derelict land: these new Corporations will follow the model successfully applied i","We have roughly doubled the resources to reclaim derelict land.",2,1,NA,"TRUE"
10007111,"FREEDOM, LAW AND RESPONSIBILITY. Conservatives have always believed that a fundamental purpose of government is to protect the security of the citizen under the rule of law.","Our increasing economic strength means that resources for care have grown and are growing - with programmes better managed, better adapted to changing demands, and better directed to those most in need.","There can be no half-heartedness, no opting out, in the fight against crime and violence: all of us, not just the Government or the police, share a responsibility to make safer our streets and homes.",3,NA,1,"TRUE"
10007441,"There are more police, better equipped to fight crime.","The great majority of those who commit serious crimes of violence are brought to book.","Those who commit serious crimes can now expect much tougher punishment.",3,NA,1,"TRUE"
10007491,"tackle, by providing for reference to the Court of Appeal, the problem of lenient sentences which undermine public confidence in the criminal justice system","raise to life imprisonment the penalty for carrying firearms while committing a crime","give victims of crime a statutory right to compensation under the Criminal Injuries Compensation Scheme",3,NA,1,"TRUE"
40000381,"We have pioneered new ways of building partnerships that engage the private sector in areas previously dependent on the public purse.","We need also to widen choice in areas where state bureaucracy has constrained it.","We now need to capture private sector investment on a massive scale to regenerate our cities, transform our crumbling local authority housing estates and modernise other public assets.",2,1,NA,"TRUE"
40000391,"We now need to capture private sector investment on a massive scale to regenerate our cities, transform our crumbling local authority housing estates and modernise other public assets.","We have pioneered new ways of building partnerships that engage the private sector in areas previously dependent on the public purse.","The only way to secure this future of opportunity is to stick with the Conservative programme of continuing reform.",2,1,NA,"TRUE"
40000801,".","That choice - between stagnation and dynamism - is the choice which faces Britain at this election.","Hard economic evidence shows how great is the divide between these two strategies.",2,1,NA,"TRUE"
40001021,"Since then, we have cut the basic rate of income tax from 25p to 23p, and extended the 20p band so that over a quarter of all taxpayers now only pay income tax at the 20p rate.",".","Achieving our public expenditure goals will mean we can sustain permanently low tax levels.",2,1,NA,"TRUE"
40001041,"Over the next parliament, our aim will be to achieve our target of a 20p basic rate of income tax, while maintaining a maximum tax rate of no more than 40p.","Achieving our public expenditure goals will mean we can sustain permanently low tax levels.","STABLE PRICES. Inflation has to be kept firmly under control for an economy to thrive.",2,1,NA,"TRUE"
40001131,"RISING LIVING STANDARDS. The only secure base for rising living standards is a strongly growing economy, low levels of public spending and taxation, and stable prices.","During the next parliament, we will maintain an inflation target of 2.5% or less.","That is exactly what Britain is achieving.",2,1,NA,"TRUE"
40001301,"Curbing the power of trade unions, opening up markets and cutting red tape, have given us a low strike, low cost economy: and as a result Britain is the number one location for foreign investment in Europe.","It is because we have pursued very different policies from those on the Continent.","Never have such policies been so important.",2,1,NA,"TRUE"
40001461,"Our low tax structure has been crucial to our industrial revival.","High taxes and rates deter enterprise.","We already have the lowest corporation tax of any major industrialised country.",2,1,NA,"TRUE"
40001481,"As we want small businesses to flourish, we will go even further.","We already have the lowest corporation tax of any major industrialised country.","We will cut the small companies rate of corporation tax in line with personal taxation as we move towards a 20p basic rate.",2,1,NA,"TRUE"
40001491,"We will cut the small companies rate of corporation tax in line with personal taxation as we move towards a 20p basic rate.","As we want small businesses to flourish, we will go even further.","Investment and enterprise are deterred if the taxman takes too much of the capital that is built up by a successful business.",2,1,NA,"TRUE"
40001501,"Investment and enterprise are deterred if the taxman takes too much of the capital that is built up by a successful business.","We will cut the small companies rate of corporation tax in line with personal taxation as we move towards a 20p basic rate.","Capital is ever more mobile, flying around the world to places where the tax on it is low: Britain must be one of those places.",2,1,NA,"TRUE"
40001521,"We will continue to reduce the burden of capital gains tax and inheritance tax as it is prudent to do so.","Capital is ever more mobile, flying around the world to places where the tax on it is low: Britain must be one of those places.","One of the heaviest burdens small businesses face is business rates.",2,1,NA,"TRUE"
40001601,"We have already abolished over a thousand regulations.","On top of our programme to ensure government departments and local authorities pay on time we have legislated to require companies to publish their payment policy and to report their record on how quickly they pay their bills to small businesse","New regulations must only be introduced if it is clear that their benefits exceed their costs and they do not place an undue burden on a small firm.",2,1,NA,"TRUE"
40001611,"New regulations must only be introduced if it is clear that their benefits exceed their costs and they do not place an undue burden on a small firm.","We have already abolished over a thousand regulations."," requirements into new regulations whenever appropriate so that they are automatically reviewed or dropped after a specific period.",2,1,NA,"TRUE"
40001621," requirements into new regulations whenever appropriate so that they are automatically reviewed or dropped after a specific period.","New regulations must only be introduced if it is clear that their benefits exceed their costs and they do not place an undue burden on a small firm.","Many businessmen suffer regulatory burdens imposed by local government and quangos.",2,1,NA,"TRUE"
40001641,"We will therefore insist that the whole of the public sector adopts the same stringent rules that we require of central government in justifying the benefits of new regulations against their costs.","Many businessmen suffer regulatory burdens imposed by local government and quangos.","REDUCING THE BURDEN ON COMPANIES. Jobs depend on British firms winning orders: the difference between success or failure can be wafer-thin.",2,1,NA,"TRUE"
40001661,"Any extra burden on business will destroy jobs.","REDUCING THE BURDEN ON COMPANIES. Jobs depend on British firms winning orders: the difference between success or failure can be wafer-thin.","Britain is enjoying more jobs and record investment, thanks to the competitive edge we have over other European countries.",2,1,NA,"TRUE"
40002601,"This will provide a targeted reduction in the tax bill to those families who need it most.","We will give priority to future reductions in personal taxation that help families looking after dependent children or relatives by allowing one partner's unused personal allowance to be transferred to a working spouse where they have these res","Around 2 million one-taxpayer couples with dependent children, or looking after elderly relatives and others needing care, would gain up to £17.50 a week - around £900 a year.",2,1,NA,"TRUE"
40002721,"It is the Conservative vision of security through personal savings - not a socialist vision of security through the state.","This is a significant increase in personal security.","We want people to enjoy Britain's success - especially by owning shares in the companies for which they work.",2,1,NA,"TRUE"
40002731,"We want people to enjoy Britain's success - especially by owning shares in the companies for which they work.","It is the Conservative vision of security through personal savings - not a socialist vision of security through the state.","We have already introduced a number of schemes to encourage employee share ownership.",2,1,NA,"TRUE"
