"sentenceid","reviewno","_golden","pub_scale","pub_scale_gold","pub_scale_gold_min","pub_scale_gold_max","pub_scale_gold_reason","screener","sentence_text","pre_sentence","post_sentence"
114,1,"","","","","","",FALSE,"For instance, both reviewers note that whether crowd sourcing is a viable alternative, and whether it really saves time and effort depends  on what the alternatives are (which are not described in much detail in the paper).","First, although you do an admirable job in demonstrating crowd sourcing might be a good alternative to expert coding, it is not clear what is being compared here - what is meant by ""expert coding"" - as Reviewer 1 notes, this can mean different things. This is mentioned both by reviewer 1 (who is positive about the paper) and reviewer 4 (who recommends reject).","As reviewer1 notes: ""if this is to work correctly, experts do have to come up with a set of clear, detailed instructions, and they need to come up with numerous ""gold questions"" to evaluate coder quality"" - then how much time and effort is actually saved? Reviewer 4 suggests that perhaps crowd sourcing may not replace expert coding, but is better used to replace ""student trained"" coding where person-power is more important than expert knowledge - but this would depend on a number of other issues as the reviewer points out."
115,1,"","","","","","",FALSE,"As reviewer1 notes: ""if this is to work correctly, experts do have to come up with a set of clear, detailed instructions, and they need to come up with numerous ""gold questions"" to evaluate coder quality"" - then how much time and effort is actually saved?","This is mentioned both by reviewer 1 (who is positive about the paper) and reviewer 4 (who recommends reject). For instance, both reviewers note that whether crowd sourcing is a viable alternative, and whether it really saves time and effort depends  on what the alternatives are (which are not described in much detail in the paper).","Reviewer 4 suggests that perhaps crowd sourcing may not replace expert coding, but is better used to replace ""student trained"" coding where person-power is more important than expert knowledge - but this would depend on a number of other issues as the reviewer points out. Second, as reviewers 3, 4 and 5 point out, although your paper demonstrates that the crowdsourcing technique may be reliable, it may not produce more valid results."
116,1,"","","","","","",FALSE,"Reviewer 4 suggests that perhaps crowd sourcing may not replace expert coding, but is better used to replace ""student trained"" coding where person-power is more important than expert knowledge - but this would depend on a number of other issues as the reviewer points out.","For instance, both reviewers note that whether crowd sourcing is a viable alternative, and whether it really saves time and effort depends  on what the alternatives are (which are not described in much detail in the paper). As reviewer1 notes: ""if this is to work correctly, experts do have to come up with a set of clear, detailed instructions, and they need to come up with numerous ""gold questions"" to evaluate coder quality"" - then how much time and effort is actually saved?","Second, as reviewers 3, 4 and 5 point out, although your paper demonstrates that the crowdsourcing technique may be reliable, it may not produce more valid results. Indeed the reviewers suggest that you really need to demonstrate that the technique you propose is really an effective competitor to existing techniques."
117,1,"","","","","","",FALSE,"Second, as reviewers 3, 4 and 5 point out, although your paper demonstrates that the crowdsourcing technique may be reliable, it may not produce more valid results.","As reviewer1 notes: ""if this is to work correctly, experts do have to come up with a set of clear, detailed instructions, and they need to come up with numerous ""gold questions"" to evaluate coder quality"" - then how much time and effort is actually saved? Reviewer 4 suggests that perhaps crowd sourcing may not replace expert coding, but is better used to replace ""student trained"" coding where person-power is more important than expert knowledge - but this would depend on a number of other issues as the reviewer points out.","Indeed the reviewers suggest that you really need to demonstrate that the technique you propose is really an effective competitor to existing techniques. The reviewers suggest that one way you might do this is to apply their data to competing data sources in political analyses."
118,1,"","","","","","",FALSE,"Indeed the reviewers suggest that you really need to demonstrate that the technique you propose is really an effective competitor to existing techniques.","Reviewer 4 suggests that perhaps crowd sourcing may not replace expert coding, but is better used to replace ""student trained"" coding where person-power is more important than expert knowledge - but this would depend on a number of other issues as the reviewer points out. Second, as reviewers 3, 4 and 5 point out, although your paper demonstrates that the crowdsourcing technique may be reliable, it may not produce more valid results.","The reviewers suggest that one way you might do this is to apply their data to competing data sources in political analyses. Do your data lead to similar or distinct political predictions than alternative sources of the same data?"
119,1,"","","","","","",FALSE,"The reviewers suggest that one way you might do this is to apply their data to competing data sources in political analyses.","Second, as reviewers 3, 4 and 5 point out, although your paper demonstrates that the crowdsourcing technique may be reliable, it may not produce more valid results. Indeed the reviewers suggest that you really need to demonstrate that the technique you propose is really an effective competitor to existing techniques.","Do your data lead to similar or distinct political predictions than alternative sources of the same data? This would certainly strengthen the persuasiveness of your core arguments in our view."
120,1,"","","","","","",FALSE,"Do your data lead to similar or distinct political predictions than alternative sources of the same data?","Indeed the reviewers suggest that you really need to demonstrate that the technique you propose is really an effective competitor to existing techniques. The reviewers suggest that one way you might do this is to apply their data to competing data sources in political analyses.","This would certainly strengthen the persuasiveness of your core arguments in our view. Indeed, we agree with the ""bottom line"" assessment that the technique you propose rivals or is superior to classic content analysis with trained coders and behavioral aggregation schemes."
121,1,"","","","","","",FALSE,"This would certainly strengthen the persuasiveness of your core arguments in our view.","The reviewers suggest that one way you might do this is to apply their data to competing data sources in political analyses. Do your data lead to similar or distinct political predictions than alternative sources of the same data?","Indeed, we agree with the ""bottom line"" assessment that the technique you propose rivals or is superior to classic content analysis with trained coders and behavioral aggregation schemes. Third, and related to the previous points, there is a question as to how well this technique travels beyond the simple textual example provided."
122,1,"","","","","","",FALSE,"Indeed, we agree with the ""bottom line"" assessment that the technique you propose rivals or is superior to classic content analysis with trained coders and behavioral aggregation schemes.","Do your data lead to similar or distinct political predictions than alternative sources of the same data? This would certainly strengthen the persuasiveness of your core arguments in our view.","Third, and related to the previous points, there is a question as to how well this technique travels beyond the simple textual example provided. Several of the reviewers point out that perhaps it does not travel well beyond English, and wonder whether the argument about the generalizability of the technique could be strengthened."
123,1,"","","","","","",FALSE,"Third, and related to the previous points, there is a question as to how well this technique travels beyond the simple textual example provided.","This would certainly strengthen the persuasiveness of your core arguments in our view. Indeed, we agree with the ""bottom line"" assessment that the technique you propose rivals or is superior to classic content analysis with trained coders and behavioral aggregation schemes.","Several of the reviewers point out that perhaps it does not travel well beyond English, and wonder whether the argument about the generalizability of the technique could be strengthened. Given this array of reviews, I would normally seriously consider rejecting the piece."
124,1,"","","","","","",FALSE,"Several of the reviewers point out that perhaps it does not travel well beyond English, and wonder whether the argument about the generalizability of the technique could be strengthened.","Indeed, we agree with the ""bottom line"" assessment that the technique you propose rivals or is superior to classic content analysis with trained coders and behavioral aggregation schemes. Third, and related to the previous points, there is a question as to how well this technique travels beyond the simple textual example provided.","Given this array of reviews, I would normally seriously consider rejecting the piece. However, I believe that this piece has enormous potential, and if properly and thoroughly revised, it COULD represent a fine addition to the APSR."
125,1,"","","","","","",FALSE,"Given this array of reviews, I would normally seriously consider rejecting the piece.","Third, and related to the previous points, there is a question as to how well this technique travels beyond the simple textual example provided. Several of the reviewers point out that perhaps it does not travel well beyond English, and wonder whether the argument about the generalizability of the technique could be strengthened.","However, I believe that this piece has enormous potential, and if properly and thoroughly revised, it COULD represent a fine addition to the APSR. For this reason, we believe that we can extend to you the opportunity to revise and resubmit the paper for further consideration."
126,1,"","","","","","",FALSE,"However, I believe that this piece has enormous potential, and if properly and thoroughly revised, it COULD represent a fine addition to the APSR.","Several of the reviewers point out that perhaps it does not travel well beyond English, and wonder whether the argument about the generalizability of the technique could be strengthened. Given this array of reviews, I would normally seriously consider rejecting the piece.","For this reason, we believe that we can extend to you the opportunity to revise and resubmit the paper for further consideration. This is not a guarantee of publication, only that we believe that there is enough potential here to warrant taking a chance on the paper."
127,1,"","","","","","",FALSE,"For this reason, we believe that we can extend to you the opportunity to revise and resubmit the paper for further consideration.","Given this array of reviews, I would normally seriously consider rejecting the piece. However, I believe that this piece has enormous potential, and if properly and thoroughly revised, it COULD represent a fine addition to the APSR.","This is not a guarantee of publication, only that we believe that there is enough potential here to warrant taking a chance on the paper. Thus, after our own reading of the paper, we agree that major revisions need to be made to the piece before resubmission."
128,1,"","","","","","",FALSE,"This is not a guarantee of publication, only that we believe that there is enough potential here to warrant taking a chance on the paper.","However, I believe that this piece has enormous potential, and if properly and thoroughly revised, it COULD represent a fine addition to the APSR. For this reason, we believe that we can extend to you the opportunity to revise and resubmit the paper for further consideration.","Thus, after our own reading of the paper, we agree that major revisions need to be made to the piece before resubmission. In a revised piece you should respond to all of the points made by this group of helpful and perceptive referees."
129,1,"","","","","","",FALSE,"Thus, after our own reading of the paper, we agree that major revisions need to be made to the piece before resubmission.","For this reason, we believe that we can extend to you the opportunity to revise and resubmit the paper for further consideration. This is not a guarantee of publication, only that we believe that there is enough potential here to warrant taking a chance on the paper.","In a revised piece you should respond to all of the points made by this group of helpful and perceptive referees."
130,1,"","","","","","",FALSE,"In a revised piece you should respond to all of the points made by this group of helpful and perceptive referees.","This is not a guarantee of publication, only that we believe that there is enough potential here to warrant taking a chance on the paper. Thus, after our own reading of the paper, we agree that major revisions need to be made to the piece before resubmission.",""
201,2,"","","","","","",FALSE,"I think this is an excellent paper that could transform the way scholars in our discipline code political texts.","","Existing methods are either expert codings - which tend to be expensive, since experts are in short supply, and (for the same reason) have replicability problems - or computer-automated analyses, which have not yet proven reliable (at least in my opinion) in inferring meaning from words (usually because the context in which the words are used is ignored). The crowd-sourcing method advocated in the current paper represents a viable alternative approach that can produce valid estimates of quantities such as issue saliency estimates and spatial positioning scores quickly and cheaply."
202,2,"","","","","","",FALSE,"Existing methods are either expert codings - which tend to be expensive, since experts are in short supply, and (for the same reason) have replicability problems - or computer-automated analyses, which have not yet proven reliable (at least in my opinion) in inferring meaning from words (usually because the context in which the words are used is ignored).","I think this is an excellent paper that could transform the way scholars in our discipline code political texts.","The crowd-sourcing method advocated in the current paper represents a viable alternative approach that can produce valid estimates of quantities such as issue saliency estimates and spatial positioning scores quickly and cheaply. The authors are extremely careful both in laying out how well the crowd-sourcing of manifestos recover expert codings both in laying out how well the crowd-sourcing of manifestos recover expert codings and in outlining the process by which such crowd-sourcing should be done."
203,2,"","","","","","",FALSE,"The crowd-sourcing method advocated in the current paper represents a viable alternative approach that can produce valid estimates of quantities such as issue saliency estimates and spatial positioning scores quickly and cheaply.","I think this is an excellent paper that could transform the way scholars in our discipline code political texts. Existing methods are either expert codings - which tend to be expensive, since experts are in short supply, and (for the same reason) have replicability problems - or computer-automated analyses, which have not yet proven reliable (at least in my opinion) in inferring meaning from words (usually because the context in which the words are used is ignored).","The authors are extremely careful both in laying out how well the crowd-sourcing of manifestos recover expert codings both in laying out how well the crowd-sourcing of manifestos recover expert codings and in outlining the process by which such crowd-sourcing should be done. I really don't have many serious criticisms of the methods used by authors, and I think that the paper, if published, will be a highly cited ""benchmark"" contribution."
204,2,"","","","","","",FALSE,"The authors are extremely careful both in laying out how well the crowd-sourcing of manifestos recover expert codings both in laying out how well the crowd-sourcing of manifestos recover expert codings and in outlining the process by which such crowd-sourcing should be done.","Existing methods are either expert codings - which tend to be expensive, since experts are in short supply, and (for the same reason) have replicability problems - or computer-automated analyses, which have not yet proven reliable (at least in my opinion) in inferring meaning from words (usually because the context in which the words are used is ignored). The crowd-sourcing method advocated in the current paper represents a viable alternative approach that can produce valid estimates of quantities such as issue saliency estimates and spatial positioning scores quickly and cheaply.","I really don't have many serious criticisms of the methods used by authors, and I think that the paper, if published, will be a highly cited ""benchmark"" contribution. That said, I would like to raise two issues."
205,2,"","","","","","",FALSE,"I really don't have many serious criticisms of the methods used by authors, and I think that the paper, if published, will be a highly cited ""benchmark"" contribution.","The crowd-sourcing method advocated in the current paper represents a viable alternative approach that can produce valid estimates of quantities such as issue saliency estimates and spatial positioning scores quickly and cheaply. The authors are extremely careful both in laying out how well the crowd-sourcing of manifestos recover expert codings both in laying out how well the crowd-sourcing of manifestos recover expert codings and in outlining the process by which such crowd-sourcing should be done.","That said, I would like to raise two issues. One is that it would be easy to conclude by the end of the paper that crowd-sourcing is very ""cheap"" in that not much valuable expert time is needed to analyze the texts."
206,2,"","","","","","",FALSE,"That said, I would like to raise two issues.","The authors are extremely careful both in laying out how well the crowd-sourcing of manifestos recover expert codings both in laying out how well the crowd-sourcing of manifestos recover expert codings and in outlining the process by which such crowd-sourcing should be done. I really don't have many serious criticisms of the methods used by authors, and I think that the paper, if published, will be a highly cited ""benchmark"" contribution.","One is that it would be easy to conclude by the end of the paper that crowd-sourcing is very ""cheap"" in that not much valuable expert time is needed to analyze the texts. But if this is to work correctly, experts do have to come up with a set of clear, detailed instructions, and they need to come up with numerous ""gold questions"" to evaluate coder quality."
207,2,"","","","","","",FALSE,"One is that it would be easy to conclude by the end of the paper that crowd-sourcing is very ""cheap"" in that not much valuable expert time is needed to analyze the texts.","I really don't have many serious criticisms of the methods used by authors, and I think that the paper, if published, will be a highly cited ""benchmark"" contribution. That said, I would like to raise two issues.","But if this is to work correctly, experts do have to come up with a set of clear, detailed instructions, and they need to come up with numerous ""gold questions"" to evaluate coder quality. I never got a good sense of how much expert work/time that process took, and whether it was any greater than (for example) the time and effort exerted by Laver and Benoit when they devised, sent out, and aggregated expert questionnaires."
208,2,"","","","","","",FALSE,"But if this is to work correctly, experts do have to come up with a set of clear, detailed instructions, and they need to come up with numerous ""gold questions"" to evaluate coder quality.","That said, I would like to raise two issues. One is that it would be easy to conclude by the end of the paper that crowd-sourcing is very ""cheap"" in that not much valuable expert time is needed to analyze the texts.","I never got a good sense of how much expert work/time that process took, and whether it was any greater than (for example) the time and effort exerted by Laver and Benoit when they devised, sent out, and aggregated expert questionnaires. Is the difference really that great, at least for a one-shot survey?"
209,2,"","","","","","",FALSE,"I never got a good sense of how much expert work/time that process took, and whether it was any greater than (for example) the time and effort exerted by Laver and Benoit when they devised, sent out, and aggregated expert questionnaires.","One is that it would be easy to conclude by the end of the paper that crowd-sourcing is very ""cheap"" in that not much valuable expert time is needed to analyze the texts. But if this is to work correctly, experts do have to come up with a set of clear, detailed instructions, and they need to come up with numerous ""gold questions"" to evaluate coder quality.","Is the difference really that great, at least for a one-shot survey? My other issue, which I think should be discussed in the conclusion of the paper, is whether the authors believe that crowd-sourcing can work equally well with other types of texts."
210,2,"","","","","","",FALSE,"Is the difference really that great, at least for a one-shot survey?","But if this is to work correctly, experts do have to come up with a set of clear, detailed instructions, and they need to come up with numerous ""gold questions"" to evaluate coder quality. I never got a good sense of how much expert work/time that process took, and whether it was any greater than (for example) the time and effort exerted by Laver and Benoit when they devised, sent out, and aggregated expert questionnaires.","My other issue, which I think should be discussed in the conclusion of the paper, is whether the authors believe that crowd-sourcing can work equally well with other types of texts. Manifestos, given their purpose, are written in language ordinary voters can understand."
211,2,"","","","","","",FALSE,"My other issue, which I think should be discussed in the conclusion of the paper, is whether the authors believe that crowd-sourcing can work equally well with other types of texts.","I never got a good sense of how much expert work/time that process took, and whether it was any greater than (for example) the time and effort exerted by Laver and Benoit when they devised, sent out, and aggregated expert questionnaires. Is the difference really that great, at least for a one-shot survey?","Manifestos, given their purpose, are written in language ordinary voters can understand. But what about legislative speeches, which (presumably) contain more technical policy-specific jargon?"
212,2,"","","","","","",FALSE,"Manifestos, given their purpose, are written in language ordinary voters can understand.","Is the difference really that great, at least for a one-shot survey? My other issue, which I think should be discussed in the conclusion of the paper, is whether the authors believe that crowd-sourcing can work equally well with other types of texts.","But what about legislative speeches, which (presumably) contain more technical policy-specific jargon? Or explanatory memoranda written by government ministers that accompany a policy proposal?"
213,2,"","","","","","",FALSE,"But what about legislative speeches, which (presumably) contain more technical policy-specific jargon?","My other issue, which I think should be discussed in the conclusion of the paper, is whether the authors believe that crowd-sourcing can work equally well with other types of texts. Manifestos, given their purpose, are written in language ordinary voters can understand.","Or explanatory memoranda written by government ministers that accompany a policy proposal? Do the authors think that crowd-sourcing would be equally reliable in the coding of those texts?"
214,2,"","","","","","",FALSE,"Or explanatory memoranda written by government ministers that accompany a policy proposal?","Manifestos, given their purpose, are written in language ordinary voters can understand. But what about legislative speeches, which (presumably) contain more technical policy-specific jargon?","Do the authors think that crowd-sourcing would be equally reliable in the coding of those texts? I suppose what I'm asking, in the interest of making this article somewhat more general, is that the authors make a statement in which they set out the limits of their proposed approach, and/or speculate about the conditions under which expert surveys (or automated content analysis) might be decidedly better than crowd-sourcing."
215,2,"","","","","","",FALSE,"Do the authors think that crowd-sourcing would be equally reliable in the coding of those texts?","But what about legislative speeches, which (presumably) contain more technical policy-specific jargon? Or explanatory memoranda written by government ministers that accompany a policy proposal?","I suppose what I'm asking, in the interest of making this article somewhat more general, is that the authors make a statement in which they set out the limits of their proposed approach, and/or speculate about the conditions under which expert surveys (or automated content analysis) might be decidedly better than crowd-sourcing."
216,2,"","","","","","",FALSE,"I suppose what I'm asking, in the interest of making this article somewhat more general, is that the authors make a statement in which they set out the limits of their proposed approach, and/or speculate about the conditions under which expert surveys (or automated content analysis) might be decidedly better than crowd-sourcing.","Or explanatory memoranda written by government ministers that accompany a policy proposal? Do the authors think that crowd-sourcing would be equally reliable in the coding of those texts?",""
301,3,"","","","","","",FALSE,"This is a path-breaking project that highlights a broader shift in how political science should be done - a revolution of sorts.","","Historically, the most ambitious research projects have involved expensive data collection efforts that depend on expert coding systems. These datasets then become the central focus of scholarship in a research area."
302,3,"","","","","","",FALSE,"Historically, the most ambitious research projects have involved expensive data collection efforts that depend on expert coding systems.","This is a path-breaking project that highlights a broader shift in how political science should be done - a revolution of sorts.","These datasets then become the central focus of scholarship in a research area. As the authors note, many such projects suffer from path dependence due to the effort involved."
303,3,"","","","","","",FALSE,"These datasets then become the central focus of scholarship in a research area.","This is a path-breaking project that highlights a broader shift in how political science should be done - a revolution of sorts. Historically, the most ambitious research projects have involved expensive data collection efforts that depend on expert coding systems.","As the authors note, many such projects suffer from path dependence due to the effort involved. Starting over is not really considered even as limits become apparent."
304,3,"","","","","","",FALSE,"As the authors note, many such projects suffer from path dependence due to the effort involved.","Historically, the most ambitious research projects have involved expensive data collection efforts that depend on expert coding systems. These datasets then become the central focus of scholarship in a research area.","Starting over is not really considered even as limits become apparent. If a dataset has limitations with respect to a particular research question, those limitations were often overlooked because 'it is the best we have'."
305,3,"","","","","","",FALSE,"Starting over is not really considered even as limits become apparent.","These datasets then become the central focus of scholarship in a research area. As the authors note, many such projects suffer from path dependence due to the effort involved.","If a dataset has limitations with respect to a particular research question, those limitations were often overlooked because 'it is the best we have'. The revolution is not just about crowdsourcing but also machine learning and even basic text scraping."
306,3,"","","","","","",FALSE,"If a dataset has limitations with respect to a particular research question, those limitations were often overlooked because 'it is the best we have'.","As the authors note, many such projects suffer from path dependence due to the effort involved. Starting over is not really considered even as limits become apparent.","The revolution is not just about crowdsourcing but also machine learning and even basic text scraping. It is about computational thinking."
307,3,"","","","","","",FALSE,"The revolution is not just about crowdsourcing but also machine learning and even basic text scraping.","Starting over is not really considered even as limits become apparent. If a dataset has limitations with respect to a particular research question, those limitations were often overlooked because 'it is the best we have'.","It is about computational thinking. Sadly, these are not methods that are taught in most political science departments at this point."
308,3,"","","","","","",FALSE,"It is about computational thinking.","If a dataset has limitations with respect to a particular research question, those limitations were often overlooked because 'it is the best we have'. The revolution is not just about crowdsourcing but also machine learning and even basic text scraping.","Sadly, these are not methods that are taught in most political science departments at this point. The methods described in this paper are not complicated or inaccessible to the average political scientist."
309,3,"","","","","","",FALSE,"Sadly, these are not methods that are taught in most political science departments at this point.","The revolution is not just about crowdsourcing but also machine learning and even basic text scraping. It is about computational thinking.","The methods described in this paper are not complicated or inaccessible to the average political scientist. The authors simply scale up a carefully designed coding project by taking advantage of easily available resources."
310,3,"","","","","","",FALSE,"The methods described in this paper are not complicated or inaccessible to the average political scientist.","It is about computational thinking. Sadly, these are not methods that are taught in most political science departments at this point.","The authors simply scale up a carefully designed coding project by taking advantage of easily available resources. Moreover, they show that simple approaches are as good as more complex ones."
311,3,"","","","","","",FALSE,"The authors simply scale up a carefully designed coding project by taking advantage of easily available resources.","Sadly, these are not methods that are taught in most political science departments at this point. The methods described in this paper are not complicated or inaccessible to the average political scientist.","Moreover, they show that simple approaches are as good as more complex ones. And the cost and time savings for getting results that are just as good, replicable, and include confidence intervals are huge."
312,3,"","","","","","",FALSE,"Moreover, they show that simple approaches are as good as more complex ones.","The methods described in this paper are not complicated or inaccessible to the average political scientist. The authors simply scale up a carefully designed coding project by taking advantage of easily available resources.","And the cost and time savings for getting results that are just as good, replicable, and include confidence intervals are huge. Three hours (ok, perhaps three months to design and validate) versus years and hundreds of thousands of dollars."
313,3,"","","","","","",FALSE,"And the cost and time savings for getting results that are just as good, replicable, and include confidence intervals are huge.","The authors simply scale up a carefully designed coding project by taking advantage of easily available resources. Moreover, they show that simple approaches are as good as more complex ones.","Three hours (ok, perhaps three months to design and validate) versus years and hundreds of thousands of dollars. Imagine how much farther NSF dollars would go if there were more projects like this."
314,3,"","","","","","",FALSE,"Three hours (ok, perhaps three months to design and validate) versus years and hundreds of thousands of dollars.","Moreover, they show that simple approaches are as good as more complex ones. And the cost and time savings for getting results that are just as good, replicable, and include confidence intervals are huge.","Imagine how much farther NSF dollars would go if there were more projects like this. The paper itself is very well researched and written."
315,3,"","","","","","",FALSE,"Imagine how much farther NSF dollars would go if there were more projects like this.","And the cost and time savings for getting results that are just as good, replicable, and include confidence intervals are huge. Three hours (ok, perhaps three months to design and validate) versus years and hundreds of thousands of dollars.","The paper itself is very well researched and written. The authors are quite transparent about the limits of their project, and they do not cut corners in terms of collecting the evidence needed to support their assertions about the limits of expert coding, awareness of the source, and the efficacy of alternative crowd sourcing approaches."
